Player,Offense,Defense,GP,Name,Squad,Viable
"Paulliam",,,167084,JMK,"zzzzzzJMK zAhsoka zzzCAT zzPadme zGK",1
"Paulliam",,,123030,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Paulliam",1,1,157725,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Paulliam",,,165151,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Paulliam",,,173886,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Paulliam",1,0,151013,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzOld Ben",1
"Paulliam",,,418868,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Paulliam",,,505721,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Paulliam",1,1,102828,NS_Alt,"zzMT Acolyte zDaka zzAV Zombie",1
"Paulliam",0,1,94234,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Paulliam",0,1,127920,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Paulliam",1,0,114522,Traya,"zzTraya zzDN zSion zzEP Sith Empire Trooper",1
"Paulliam",1,1,87595,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"Paulliam",1,0,116172,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Paulliam",0,1,138291,BH,"zzBossk zzJango zBoba Cad zDengar",1
"Paulliam",1,1,98898,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Paulliam",1,0,124011,zMaul,"zDarth Maul, zSidious zDooku Sith Marauder, Nest",1
"Paulliam",1,0,115326,Wiggs,"Wedge Biggs zEzra zzC-3PO zLeia",1
"Paulliam",0,1,83986,Phoenix,"zHera Chopper Zeb G8, Sabine zKanan",1
"Paulliam",,,276499,Malevolence,"Malevolence Hyena Bomber 4*, Vulture Droid 3*, Sun Fac SF, Soldier SF, Spy SF",0
