Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Hamburgular",148753892,6983726,3973045,3010681,131,28,241,382,2220476,1752569,166,7,391,3,233,60,74,115,130,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,23,9,10
"Mister Mxyzptlk",261333559,6477338,3881751,2595587,149,30,110,267,2170880,1710871,120,4,241,2,219,36,50,75,117,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,20,13,12
"Darthinsidioussithlord",118232932,4601669,2734071,1867598,146,-296,69,340,1308124,1425947,96,2,204,1,162,20,48,68,87,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,11,8,5
"SirRaptor",924597757,7938889,4620231,3318658,139,33,363,408,2587221,2033010,174,4,411,1,269,58,81,161,198,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,25,10,9
"Triumph",444916198,7667257,4588978,3078279,149,-73,610,464,2448323,2140655,176,6,554,4,254,82,110,135,154,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,23,9,10
"LordBobstock",966979594,7073258,4402706,2670552,164,45,111,399,2478647,1924059,165,5,448,2,222,76,82,111,141,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,21,11,10
"gravytrain",165473139,5022095,3041250,1980845,153,-110,154,277,1594629,1446621,100,5,163,0,167,17,42,65,101,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,16,11,9
"Tucnak",124678487,6849341,4078282,2771059,147,16,134,470,2267121,1811161,162,8,503,4,227,65,95,127,144,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,21,9,9
"Ronster",927269391,7089116,4160308,2928808,142,-77,156,438,2215684,1944624,163,6,464,3,206,67,93,125,148,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,19,10,9
"Frascide",115755783,6460695,3789344,2671351,141,-59,343,371,2034473,1754871,149,6,350,3,224,47,75,95,127,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,18,9,8
"Meesa Worldwide",447479146,5975334,3264840,2710494,120,44,113,281,1837403,1427437,118,0,136,0,247,13,33,108,153,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,21,13,10
"KesselRogue",186511415,7287402,4188288,3099114,135,32,195,322,2344327,1843961,135,7,331,2,246,45,67,102,157,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,23,11,9
"Sikad Jose",738426559,5824908,3602173,2222735,162,-112,133,383,1886752,1715421,152,4,261,1,176,24,57,114,130,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,18,11,9
"PseudoRndm",617753534,6874453,3917991,2956462,132,-30,165,267,2131795,1786196,170,6,164,0,255,16,54,97,138,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,22,12,11
"Council of R3D",198718156,5875967,3263484,2612483,124,-59,91,251,1752897,1510587,128,1,135,1,240,13,45,76,105,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,20,10,10
"CocoaBeanFred",885253687,6509659,3739123,2770536,134,-17,256,324,2046425,1692698,126,4,295,0,232,50,62,90,120,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,19,10,8
"Silthuz",585177351,8035710,4567273,3468437,131,-3,275,386,2515511,2051762,165,4,462,3,253,74,88,130,162,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,24,12,12
"Gul Ski",664527711,6787252,3890014,2897238,134,29,120,404,2175034,1714980,147,6,337,0,225,47,80,127,147,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,21,11,10
"Bendu",818361189,5727391,3298417,2428974,135,29,145,255,1843467,1454950,106,0,163,1,226,19,36,78,104,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,17,13,8
"Arter",925146352,6799802,3860927,2938875,131,-254,246,361,1887056,1973871,162,7,294,2,212,44,60,127,133,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,18,10,10
"Yeah",133293841,7686229,4446352,3239877,137,113,357,392,2577652,1868700,155,5,418,2,262,67,75,143,173,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,26,10,10
"CaniacYoda",198929958,6912758,4272748,2640010,161,86,189,403,2449074,1823674,165,5,340,3,229,45,85,126,141,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,18,11,7
