Player,Offense,Defense,GP,Name,Squad,Viable
"MINI EmperorDvalin",,,157002,JMK,"zzzzzzJMK zAhsoka zzzCAT zJKA zGK",1
"MINI EmperorDvalin",,,119952,Phasma,"zPhasma FOTP FOSFTP zFOST zKylo",1
"MINI EmperorDvalin",1,1,146234,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"MINI EmperorDvalin",,,568125,Executor,"Executor HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"MINI EmperorDvalin",0,1,107937,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Empire Trooper",1
"MINI EmperorDvalin",,,499411,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"MINI EmperorDvalin",,,306549,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"MINI EmperorDvalin",,,363316,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Biggs X-wing",1
"MINI EmperorDvalin",0,1,94230,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"MINI EmperorDvalin",0,1,129059,Grievous-Wat,"zzGG zB2 zB1 MagnaGuard zWat Tambor",1
"MINI EmperorDvalin",1,0,128082,CLS,"zzzCLS zHan zzChewbacca R2-D2 G8, zC-3PO",1
"MINI EmperorDvalin",1,0,110532,Troopers,"zVeers zzAdmiral Piett, zMoff Gideon, zDark Trooper, Range Trooper",1
"MINI EmperorDvalin",,,106178,Disintegration,"Aurra Greef Karga G9, Boba zzBossk The Mandalorian",1
"MINI EmperorDvalin",1,1,143847,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"MINI EmperorDvalin",,,90465,Mon Mothma,"zzMon Mothma, Bistan zCassian Chirrut Jyn",1
"MINI EmperorDvalin",1,1,116618,Revan Offense,"zzzJKR zGMY BS zJolee zHYoda",1
"MINI EmperorDvalin",1,1,79378,Ewoks,"zChirpa G9, Elder Paploo Wicket Logray",1
"MINI EmperorDvalin",1,1,121188,zEP,"zEP zzzVader Tarkin TFP zMara Jade, The Emperor's Hand",1
"MINI EmperorDvalin",,,112803,Nute-Sep,"zNute zDooku zJango zNest zDroideka",1
"MINI EmperorDvalin",0,1,63946,Phoenix,"Hera Kanan G8, Zeb G8, Ezra G9, Sabine G8",1
"MINI EmperorDvalin",1,0,15478,SionSolo (Counter),"Sion G9",1
"MINI EmperorDvalin",1,1,79868,NS,"zMT G8, AV zDaka Zombie Spirit G9",0
"MINI EmperorDvalin",1,1,81667,Carth,"zCarth Onasi, zMission Zaalbar Juhani G7, Canderous",0
"MINI EmperorDvalin",,,64252,Iden Troopers,"zIden Versio 3* G8, Shoretrooper G8, Snowtrooper G8, Magma G8, DT G8",0
"MINI EmperorDvalin",,,56460,Bad Batch,"zHunter 4* G8, zEcho 4* G8, Omega 5* G8, Tech 4* G8, zWrecker 4* G8",0
"Obsolete84",1,1,158025,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Obsolete84",0,1,96059,Qira,"zQira G9, zL3-37 zVandor Chewbacca, zMission zZaalbar",1
"Obsolete84",1,1,137836,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Obsolete84",,,529742,Executor,"Executor 5* HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Obsolete84",0,1,131646,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Obsolete84",,,464790,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"Obsolete84",1,0,142622,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzOld Ben",1
"Obsolete84",0,1,90702,DR,"zzzDR HK-47 zBSF Sith Empire Trooper G9, Sith Assassin G8",1
"Obsolete84",,,288318,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Obsolete84",,,441283,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Obsolete84",0,1,99948,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Obsolete84",0,1,103446,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Obsolete84",,,103546,Nute-Wat,"zNute zDooku zWat Tambor, zJango zNest",1
"Obsolete84",1,1,149446,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Obsolete84",,,113170,Mon Mothma,"zzMon Mothma, Wedge Lando Biggs zzJyn",1
"Obsolete84",1,1,130760,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Obsolete84",1,1,93836,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Obsolete84",0,1,131161,BH,"zzBossk zZam Dengar IG-88 zBoba",1
"Obsolete84",1,1,126521,zEP,"zzEP zzzVader Tarkin TFP zzTraya",1
"Obsolete84",0,1,96568,Phoenix,"zHera zKanan zZeb zEzra zSabine",1
"Obsolete84",1,0,67812,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G8, Jawa G9, Dathcha G8",1
"Obsolete84",1,0,14959,SionSolo (Counter),"Sion G9",1
"Obsolete84",,,128102,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",0
"Obsolete84",1,0,88444,Troopers,"Veers G9, zzAdmiral Piett, Moff Gideon G8, Dark Trooper G9, Range Trooper G7",0
"Obsolete84",,,67650,Iden Troopers,"zIden Versio G8, Shoretrooper G8, Snowtrooper G8, Magma G8, DT G7",0
"Obsolete84",,,72828,Bad Batch,"Hunter G9, Echo G9, Omega G9, Tech Wrecker G8",0
"Juice",,,170511,JMK,"zzzzzzJMK zJKA zzGMY zzShaak Ti, zGK",1
"Juice",,,122188,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Juice",1,1,157735,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Juice",,,166682,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Juice",,,490047,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 6*, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Juice",1,0,111088,CLS,"zzCLS zHan zzChewbacca R2-D2 G8, Old Ben",1
"Juice",,,335073,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Juice",0,1,97960,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Juice",0,1,122421,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Juice",1,0,113481,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper G8",1
"Juice",,,107683,Disintegration,"Aurra zGreef Karga, zBoba zzBossk The Mandalorian",1
"Juice",1,1,140168,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Juice",1,1,82300,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Juice",1,1,87588,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Juice",1,0,112979,Troopers,"zVeers Starck zMoff Gideon, zzAdmiral Piett, zDark Trooper",1
"Juice",1,0,123916,zMaul,"zDarth Maul, zSidious Dooku Sith Marauder, zNest",1
"Juice",0,1,71570,Phoenix,"Hera G8, Kanan G8, Zeb G8, zEzra Sabine G8",1
"Juice",1,1,88868,NS,"zMT AV Daka Zombie Spirit",0
"Juice",,,303090,Malevolence,"Malevolence Hyena Bomber 5*, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",0
"Juice",,,76444,Mon Mothma,"zzMon Mothma G9, Baze G8, zKyle Katarn 6* G9, zPao G8, Jyn G8",0
"Juice",,,69255,Iden Troopers,"zIden Versio G8, Shoretrooper G9, Snowtrooper G8, Magma G8, DT G8",0
"Juice",0,1,112346,BH,"zJango Cad zZam Dengar IG-88",0
"Ug",,,170708,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Ug",,,568086,Executor,"Executor HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Ug",0,1,114560,DRMalak,"zzzDR HK-47 BSF zzMalak Thrawn",1
"Ug",,,510595,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"Ug",1,0,138288,CLS,"zzzCLS zHan zChewbacca R2-D2 zOld Ben",1
"Ug",,,307667,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Ug",,,408892,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Ug",0,1,93205,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Ug",0,1,129598,Grievous-Wat,"zzGG zB2 zB1 MagnaGuard zWat Tambor",1
"Ug",,,104981,Mon Mothma,"zzMon Mothma, Wedge zPao zCara Dune, Hoth Rebel Scout",1
"Ug",1,1,142136,Revan Offense,"zzzJKR zGMY zHYoda zJolee zJKA",1
"Ug",1,1,74700,Ewoks,"zChirpa G9, Elder Paploo G9, Wicket Logray G9",1
"Ug",1,0,149148,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Ug",0,1,135591,BH,"zzBossk Cad Dengar Jango Boba",1
"Ug",1,1,106670,zEP,"zzEP zzzVader Tarkin TFP DN G8",1
"Ug",0,1,70107,Phoenix,"Hera Kanan G8, Zeb G8, Ezra Sabine G8",1
"Ug",1,1,73591,Rogue1,"Jyn Chirrut G8, Baze G8, Cassian K-2SO G8",1
"Ug",1,0,16020,NestSolo (Counter),"Nest",1
"Ug",,,62288,Phasma,"Phasma G8, Sith Trooper G7, FOO G9, KRU G9, Kylo G8",0
"Ug",1,1,80978,NS,"zMT G8, AV zDaka Zombie Spirit G8",0
"Ug",1,0,91774,Troopers,"zVeers zzAdmiral Piett, Moff Gideon 4* G7, zDark Trooper, Range Trooper",0
"Ug",1,1,75129,Carth,"zCarth Onasi, Mission G7, zZaalbar Juhani G7, Canderous",0
"Ug",,,57510,Iden Troopers,"zIden Versio 3* G8, Stormtrooper G8, Snowtrooper G8, Magma G8, DT 6* G8",0
"Ug",,,51923,Bad Batch,"zHunter 4* G8, zEcho 4* G8, Omega 5* G8, Tech 3* G8, zWrecker 4* G8",0
"Ug",1,0,11899,SionSolo (Counter),"Sion G7",0
"jamzsolo",,,172302,JMK,"zzzzzzJMK zJKA zzGMY zzShaak Ti, zGK",1
"jamzsolo",,,107392,Phasma,"zPhasma zFOTP zSith Trooper, zzKRU zKylo",1
"jamzsolo",,,162271,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"jamzsolo",0,1,93798,Qira,"zQira zL3-37 Vandor Chewbacca G8, zMission zZaalbar",1
"jamzsolo",,,174264,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"jamzsolo",1,1,108352,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"jamzsolo",,,509138,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"jamzsolo",1,0,153933,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzOld Ben",1
"jamzsolo",,,309135,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"jamzsolo",,,462356,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Biggs X-wing",1
"jamzsolo",0,1,100193,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"jamzsolo",0,1,133435,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"jamzsolo",1,0,115594,Traya,"zzTraya zzDN zSion Sith Empire Trooper G9, zzThrawn",1
"jamzsolo",,,111341,Mon Mothma,"zzMon Mothma, zPao Scarif zCara Dune, Hoth Rebel Scout",1
"jamzsolo",1,0,123687,Troopers,"zVeers zzAdmiral Piett, zzMoff Gideon, zDark Trooper, Range Trooper",1
"jamzsolo",,,482771,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",1
"jamzsolo",,,121711,Disintegration,"zzAurra zzGreef Karga, zBoba zzBossk zzThe Mandalorian",1
"jamzsolo",1,1,95402,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"jamzsolo",0,1,122685,BH,"zzJango zzEmbo Cad zZam zDengar",1
"jamzsolo",1,0,114899,501st,"zRex zARC Trooper, Echo (501st), zzFives zAhsoka",1
"jamzsolo",1,0,117008,Wiggs,"Wedge Biggs Fulcrum zzC-3PO zLeia",1
"jamzsolo",0,1,91254,Phoenix,"zHera zKanan Zeb Ezra zSabine",1
"jamzsolo",1,1,95156,Rogue1,"zJyn Chirrut Baze zCassian K-2SO G9",1
"jamzsolo",1,0,127636,zMaul,"zDarth Maul, zDooku zSidious zSavage Sith Marauder",1
"jamzsolo",1,0,134260,EP (Counter, Rebel),"zzEP Shoretrooper zKrennic zDT zzWampa",1
"jamzsolo",1,0,72459,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G9, Jawa Dathcha",1
"Mert Hull",,,164229,JMK,"zzzzzzJMK zJKA zGMY zzShaak Ti, zGK",1
"Mert Hull",,,541201,Executor,"Executor 5* HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Mert Hull",,,505341,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"Mert Hull",,,348799,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Mert Hull",1,1,105676,NS_Alt,"zzMT zAV Zombie zDaka Talia",1
"Mert Hull",,,368700,HansMF,"Home One, Han's MF, Rebel Y-wing, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Mert Hull",0,1,121731,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Mert Hull",0,1,132067,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Mert Hull",1,0,126139,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzC-3PO",1
"Mert Hull",,,124236,Disintegration,"zAurra zGreef Karga, zBoba zzBossk zThe Mandalorian",1
"Mert Hull",1,1,154673,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Mert Hull",1,1,93506,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Mert Hull",1,1,116303,zEP,"zEP zzzVader Tarkin TFP Traya",1
"Mert Hull",1,0,117905,Troopers,"zVeers zStarck zzAdmiral Piett, zDark Trooper, Range Trooper",1
"Mert Hull",0,1,65575,Phoenix,"Hera G8, Kanan G8, Zeb G8, Ezra G8, Chopper G8",1
"Mert Hull",1,0,22810,NestSolo (Counter),"zNest",1
"Mert Hull",0,1,129738,BH,"zJango Cad zZam zDengar zIG-88",0
"Ordeath",0,1,135221,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Ordeath",0,1,148298,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Ordeath",,,479118,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Ordeath",1,0,149893,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzOld Ben",1
