Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Mert Hull",278521315,4539853,2434288,2105565,115,38,468,378,1366398,1067890,85,5,249,1,157,39,52,70,84,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,16,7,7
"MINI MxF Qwer",322859125,4886980,2898391,1988589,145,-207,362,315,1450583,1447808,94,4,232,2,172,31,47,61,93,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,16,11,7
"Rick Sanchez C 137",113251936,8996086,5272696,3723390,141,-79,553,562,2805726,2466970,203,6,917,6,273,144,157,166,178,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,11,10
"Hobbes   3 7 77",839317522,5056469,2797831,2258638,123,55,175,285,1582350,1215481,88,1,197,1,218,21,47,58,86,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,17,8,7
"Krob",327932638,5844716,3364252,2480464,135,130,407,390,1964891,1399361,108,6,345,1,209,53,67,92,110,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,17,9,5
"Greedo123",642161269,5711469,3238453,2473016,130,27,83,217,1808572,1429881,87,4,181,0,217,31,32,56,93,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,19,12,10
"Fat Butcher",844284422,8867444,5201167,3666277,141,-77,453,521,2769556,2431611,190,5,739,6,279,105,144,171,187,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,10,10
"Joep",225613258,4803967,2777687,2026280,137,-71,439,327,1483347,1294340,89,3,212,1,152,29,47,68,102,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,12,6,4
"Kcchiefs2529",658584232,5108160,3048862,2059298,148,45,278,321,1716234,1332628,82,1,216,1,198,29,49,72,109,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,19,11,10
"MINI EmperorDvalin",668863615,5971845,3265177,2706668,120,-136,306,315,1691285,1573892,106,4,287,2,219,44,55,76,101,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,20,9,8
"EzSix",779664177,5262129,3034752,2227377,136,-43,36,305,1641499,1393253,84,4,185,0,204,25,41,83,94,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,20,8,10
