Player,Offense,Defense,GP,Name,Squad,Viable
"Mol Kibar",,,133035,Phasma,"zPhasma FOE FOO zzKRU zKylo",1
"Mol Kibar",0,1,78611,Geonosians,"zGBA Sun Fac G9, Geo Soldier, Geo Spy, Poggle",1
"Mol Kibar",,,294140,HansMF,"Home One, Han's MF 5*, HT 6* Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Mol Kibar",1,0,107918,CLS,"zzzCLS zHan zzChewbacca R2-D2 G8, C-3PO G9",1
"Mol Kibar",1,1,82834,Ewoks,"zChirpa Elder Paploo Teebo Wicket",1
"Mol Kibar",1,1,107155,zEP,"zzEP zzzVader Tarkin Dooku TFP G8",1
"Mol Kibar",0,1,65733,Phoenix,"Hera Ezra G9, Zeb G8, Kanan G8, Chopper",1
"Mol Kibar",1,1,54584,NS,"MT G8, AV Daka G8, Zombie 5* G8, Spirit G8",0
"Mol Kibar",1,1,64887,Revan,"JKR G7, BS GMY Jolee G8, GK G7",0
"Mol Kibar",0,1,85585,BH,"Bossk Zam Dengar Jango Boba",0
"Mol Kibar",1,0,56541,501st,"Rex G8, Clone Sergeant G8, Echo (501st) G8, Fives G8, Ahsoka",0
"Mol Kibar",1,1,45457,Rogue1,"Jyn 5* G8, Chirrut 6* G8, Baze G8, K-2SO G8, Cassian G8",0
"Ramrapster",0,1,89092,Geonosians,"zzGBA Sun Fac G9, Geo Soldier, Geo Spy, Poggle",1
"Ramrapster",0,1,101610,BH,"zBossk IG-88 G9, Jango Cad Boba",1
"Ramrapster",1,1,110244,zEP,"zzEP zzzVader Tarkin G8, TFP G8, zBSF",1
"Ramrapster",1,0,93075,CLS,"zCLS Han Leia G9, Old Ben G9, zChewbacca",1
"Ramrapster",0,1,58973,Phoenix,"Hera G8, Ezra G8, Zeb G8, Kanan G8, Chopper G8",1
"Ramrapster",,,77858,Phasma,"Phasma G8, FOE 5* FOSFTP G8, zKRU Kylo 6* G9",0
