Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Invictus Ronin",586886293,2337688,1250540,1087148,115,442,31,227,826881,423659,35,3,86,0,91,11,15,21,30,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2
"Lezene Icewalker",136351821,4562570,2787471,1775099,157,173,208,233,1657704,1129767,85,4,123,0,163,13,28,54,93,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,15,12,7
"stryderjzw",769144997,2634807,1474324,1160483,127,124,142,160,858872,615452,21,2,52,0,82,8,11,21,33,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2
"The Time Ninja",778736578,3513970,2053554,1460416,140,24,92,94,1145519,908035,34,2,36,0,113,6,7,19,45,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,6,5
"Bespoke Knave",956877547,2394323,1383387,1010936,136,23,21,88,771109,612278,18,1,11,0,118,0,4,15,26,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3
"Mol Kibar",924957122,3042339,1742801,1299538,134,-131,40,172,904714,838087,20,3,63,0,128,9,13,27,43,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3
"ddtorch",667937846,2585197,1420479,1164718,121,-171,77,214,723542,696937,21,1,57,0,113,8,15,29,47,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1
"Merth",772127472,2232860,1325229,907631,146,222,30,60,804125,521104,12,1,7,0,82,0,2,10,34,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
"EnderDragon10505",916759261,2279887,1535678,744209,206,-419,19,135,687954,847724,27,2,24,0,63,3,4,22,40,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2
"Sckurrr",439763639,1902351,1079978,822373,131,-517,46,117,457493,622485,16,0,22,0,58,3,6,12,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
