Player,Offense,Defense,GP,Name,Squad,Viable
"Gondor Man",,,172299,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Gondor Man",,,569650,Executor,"Executor 5* HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Gondor Man",1,1,97695,NestSisters,"zzAV zMT zDaka Zombie zNest",1
"Gondor Man",0,1,143669,DRMalak,"zzzDR zzHK-47 zBSF zzMalak zThrawn",1
"Gondor Man",,,489819,Negotiator,"Negotiator BTL-B Y-wing Starfighter 6*, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"Gondor Man",,,334062,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Gondor Man",0,1,97055,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Gondor Man",0,1,120398,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Gondor Man",1,1,104277,JTR,"zzzJTR Scav Rey, zBB-8 zzR2-D2 zFinn",1
"Gondor Man",1,0,117686,Traya,"zzTraya zDN zSion zDooku zzEP",1
"Gondor Man",1,0,131428,CLS,"zzzCLS zHan zzChewbacca zChewpio zzC-3PO",1
"Gondor Man",1,1,143264,Revan Offense,"zzzJKR zGMY zzHYoda zJolee zJKA",1
"Gondor Man",1,1,80348,Ewoks,"zChirpa Elder Paploo Wicket Logray G8",1
"Gondor Man",1,0,147104,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Gondor Man",0,1,149429,BH,"zzBossk zIG-88 zBoba zzJango zDengar",1
"Gondor Man",1,1,86455,Carth,"zCarth Onasi, zMission zZaalbar Juhani G8, Canderous",1
"Gondor Man",0,1,75968,FO,"zKRU Kylo G9, FOE G9, FOO G8, FOTP G9",1
"Gondor Man",0,1,69596,Phoenix,"Hera G8, Ezra G9, Zeb G8, Kanan G8, Chopper G8",1
"Gondor Man",,,304926,Malevolence,"Malevolence Hyena Bomber 5*, Vulture Droid 6*, Sun Fac SF, Soldier SF, Spy SF",0
"Gondor Man",,,87590,Mon Mothma,"zMon Mothma 4* G8, Chirrut G7, zKyle Katarn, Cara Dune G8, Lando",0
"Gondor Man",1,0,113434,Troopers,"zVeers zStarck Stormtrooper G9, zMoff Gideon, zzAdmiral Piett",0
"Gondor Man",,,67795,Bad Batch,"zHunter 4* G9, zEcho 4* G9, zOmega 5* G9, zTech 3* G8, zWrecker 6* G9",0
"Gondor Man",1,0,39837,Jawas,"Nebit G6, Jawa Engineer G6, Jawa Scavenger G7, Jawa G6, Dathcha G7",0
"MINI Bakku",0,1,97092,padme,"zzPadme zGK zJKA Ahsoka G8, zzC-3PO G8",1
"MINI Bakku",1,0,99365,CLS,"zzzCLS zHan Chewbacca G8, R2-D2 G9, zzOld Ben",1
"MINI Bakku",,,343191,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Plo Koon's Jedi Starfighter",1
"MINI Bakku",0,1,116875,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"MINI Bakku",0,1,72603,Grievous,"zzGG B2 G8, B1 G8, Droideka G9, MagnaGuard G8",1
"MINI Bakku",1,1,84572,Ewoks,"zChirpa G9, Elder Paploo G9, Wicket zLogray",1
"MINI Bakku",1,1,94559,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"MINI Bakku",0,1,106982,BH,"zBossk zBoba Cad G9, zThe Mandalorian, Jango G9",1
"MINI Bakku",1,1,126600,zEP,"zzEP zzzVader zzTarkin TFP G8, BSF",1
"MINI Bakku",0,1,91517,FO,"zzKRU zKylo G9, FOE FOO zPhasma",1
"MINI Bakku",0,1,107282,Phoenix,"zHera zEzra Zeb Kanan Chopper",1
"MINI Bakku",1,0,18835,NestSolo (Counter),"zNest",1
"MINI Bakku",1,0,87332,Traya,"Traya G9, DN G8, Sion 6* G9, zDooku zzThrawn",0
"MINI Bakku",1,1,76236,NS,"MT AV Daka Zombie G8, Spirit G8",0
"MINI Bakku",1,1,80859,Revan Offense,"JKR GMY G7, BS zJolee HYoda G3",0
"MINI Bakku",,,67583,Mon Mothma,"Mon Mothma 5* G7, Chirrut G7, zJyn G7, Baze G8, K-2SO G9",0
"MINI Bakku",1,0,78841,ShaakClones,"zzShaak Ti, Rex G7, Echo (501st) G9, Fives G9, Clone Sergeant",0
"MINI Bakku",1,0,56995,Troopers,"Veers G9, Starck G7, Stormtrooper G7, Admiral Piett 6* G9, Dark Trooper 6* G9",0
