Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Twoslot",653564588,5775457,3426969,2348488,145,162,183,271,2028341,1398628,83,4,225,1,228,35,45,67,105,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,18,9,8
"Hersh Bathens",169344771,5062157,3103774,1958383,158,268,83,319,1918874,1184900,72,5,259,0,188,43,48,62,79,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,15,9,8
"Fishku",639366169,6179454,3320162,2859292,116,-102,340,355,1747348,1572814,131,2,278,1,231,34,58,106,119,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,22,11,11
"Alburreg78",535986745,4619846,2506476,2113370,118,-197,131,177,1260434,1246042,39,2,109,0,170,16,21,39,63,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,9,10
"Dendra McLunkey Partol",958836711,6940606,4023801,2916805,137,56,345,331,2276287,1747514,136,3,327,2,256,47,68,97,131,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,26,12,12
"Ben Swolo",782972867,6890112,3959943,2930169,135,195,209,316,2376283,1583660,141,4,305,1,247,40,64,93,120,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,19,11,9
"jpark786",297614349,4632351,2818466,1813885,155,-111,109,201,1477500,1340966,83,2,121,1,183,13,24,45,66,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,11,7,6
"AK47",524931148,6296896,3742875,2554021,146,-21,392,323,2045245,1697630,122,3,304,3,199,39,65,78,103,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,17,10,9
"Ichnar",262513128,4446204,2714289,1731915,156,221,294,339,1645999,1068290,79,3,235,1,169,35,44,60,81,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,16,10,6
"Furious Siths",362547244,5292220,3055878,2236342,136,-171,189,267,1556786,1499092,105,3,163,1,218,16,38,71,83,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,17,8,8
