Player,Offense,Defense,GP,Name,Squad,Viable
"Peregine",,,170253,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Peregine",1,1,148420,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Peregine",,,583088,Executor,"Executor HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Peregine",0,1,134042,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Empire Trooper",1
"Peregine",,,504134,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"Peregine",1,0,145247,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 Old Ben",1
"Peregine",,,313028,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Peregine",,,406958,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Peregine",0,1,98433,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Peregine",0,1,123504,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Peregine",1,0,115333,Troopers,"zVeers zzAdmiral Piett, zMoff Gideon, zDark Trooper, Range Trooper",1
"Peregine",1,1,137312,Revan Offense,"zzzJKR zGMY zHYoda zJolee zJKA",1
"Peregine",1,1,75929,Ewoks,"zChirpa G9, Elder Paploo G9, Wicket Logray G9",1
"Peregine",1,0,147290,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Peregine",0,1,149169,BH,"zzBossk zzJango zDengar zIG-88 zBoba",1
"Peregine",1,1,87469,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Peregine",1,1,124679,zEP,"zzEP zzzVader Tarkin G9, TFP zSion",1
"Peregine",1,0,105833,Wiggs,"Wedge Biggs Ezra zC-3PO Leia",1
"Peregine",1,0,18541,NestSolo (Counter),"zNest",1
"Peregine",,,123023,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",0
"Peregine",1,1,79734,NS_Alt,"MT G8, zzAV Daka Talia G9, Zombie",0
"Peregine",,,95859,Mon Mothma,"zzMon Mothma, zCara Dune G8, Lando Cassian G9, zPao G8",0
"Peregine",0,1,67553,Phoenix,"Hera G9, Chopper G8, Sabine G7, Kanan G9, Zeb G8",0
"Peregine",,,76806,Bad Batch,"zHunter G9, zEcho G8, Omega G8, Tech G8, zWrecker G8",0
"Peregine",1,0,59485,Jawas,"Nebit G7, Jawa Engineer G7, Jawa Scavenger G7, Jawa G7, Dathcha G7",0
"ŤUSK",,,159313,JMK,"zzzJMK zJKA zGMY zzShaak Ti, zGK",1
"ŤUSK",,,571026,Executor,"Executor HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"ŤUSK",,,307637,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"ŤUSK",0,1,105523,DR,"zzzDR HK-47 BSF Sith Marauder, Sith Empire Trooper G8",1
"ŤUSK",,,316123,HansMF,"Home One, Han's MF, Rebel Y-wing, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"ŤUSK",0,1,91743,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"ŤUSK",0,1,133283,Grievous-Wat,"zzGG zB2 zB1 MagnaGuard zWat Tambor",1
"ŤUSK",1,0,115151,Troopers,"zVeers zzAdmiral Piett, zMoff Gideon, zDark Trooper, Range Trooper",1
"ŤUSK",1,1,147530,GAS,"zzzzGAS zRex Echo (501st), zzFives zARC Trooper",1
"ŤUSK",1,1,76548,Ewoks,"zChirpa G9, Elder Paploo G9, Wicket Logray",1
"ŤUSK",0,1,140398,BH,"zzBossk zJango Dengar Boba Cad",1
"ŤUSK",1,1,84183,Carth,"Carth Onasi, zMission zZaalbar zJuhani Canderous G8",1
"ŤUSK",1,1,127824,zEP,"zzEP zzVader Tarkin Krennic TFP",1
"ŤUSK",1,0,94702,Wiggs,"Wedge G8, Biggs G8, zCLS zHan zC-3PO",1
"ŤUSK",0,1,68053,Phoenix,"Hera G9, Chopper G9, Kanan G8, Zeb G8, Ezra",1
"ŤUSK",1,0,70803,Thragma (Counter),"Thrawn Magma G7, DT G8, Stormtrooper G8, Shoretrooper G8",1
"ŤUSK",1,0,14554,NestSolo (Counter),"Nest G9",1
"ŤUSK",1,0,13461,SionSolo (Counter),"Sion G8",1
"ŤUSK",,,51231,Phasma,"Phasma G8, FOTP G7, FOSFTP 6* G7, FOST 5* G8, Kylo G9",0
"ŤUSK",,,496833,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170 5*",0
"ŤUSK",1,1,71227,NS,"MT G8, zAV Daka G9, Zombie G8, Spirit G8",0
"ŤUSK",1,1,45790,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze G8, Cassian G8, K-2SO G8",0
"ŤUSK",,,41628,Bad Batch,"Hunter 4* G9, Echo 3* G8, Omega 5* G6, Tech 3* G7, Wrecker G7",0
"I Grimnar I",,,173625,JMK,"zzzzzzJMK zJKA zzGMY zzShaak Ti, zGK",1
"I Grimnar I",0,1,125366,DRMalak,"zzzDR HK-47 zBSF zzMalak Thrawn",1
"I Grimnar I",,,505039,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"I Grimnar I",,,291712,HansMF,"Home One, Han's MF 5*, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"I Grimnar I",0,1,100880,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"I Grimnar I",0,1,129975,Grievous-Wat,"zzGG zB2 zB1 MagnaGuard zWat Tambor",1
"I Grimnar I",,,104282,Nute-OR,"zNute Dooku zJango zZaalbar zMission",1
"I Grimnar I",1,1,155568,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"I Grimnar I",1,1,80559,Ewoks,"zChirpa G9, Elder Paploo Wicket Logray G9",1
"I Grimnar I",0,1,102033,BH,"zBossk Greef Karga, zThe Mandalorian G8, Boba Cad",1
