Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Chalupa Jr",456638194,5801151,3140828,2660323,118,-195,385,409,1580833,1559995,116,5,404,3,188,60,72,85,96,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,17,7,6
"C3P0",884979616,6151383,3494209,2657174,131,204,300,345,2104400,1389809,126,4,308,2,233,46,60,91,122,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,18,9,5
"Bespin Skywalking",846525532,5166147,2947019,2219128,132,248,217,373,1807204,1139815,84,3,309,2,176,43,59,72,96,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,13,5,6
"Veleran Separ",318952656,6642913,3974124,2668789,148,-74,299,476,2119500,1854624,90,4,518,4,217,78,95,118,136,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,20,9,8
"Filips chickens V2",354119441,6353051,3562832,2790219,127,-108,373,294,1869903,1692929,109,3,296,1,210,40,56,72,99,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,19,10,8
"WizenSlinky",827524916,6823003,3927324,2895679,135,-168,450,381,2003126,1924198,114,6,447,3,239,70,75,96,115,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,21,7,10
"Uzichow",787311459,7403803,4254248,3149555,135,103,427,389,2456444,1797804,161,5,462,3,222,66,86,110,138,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,22,9,10
"MINI DarthNynjur",343154976,6649467,3718759,2930708,126,-47,360,388,2007794,1710965,130,3,430,2,243,61,80,92,105,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,18,7,8
"MINI TheOneTruePretzel",528442299,5859249,3465402,2393847,144,281,378,351,2153292,1312110,98,3,319,2,223,45,64,78,98,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,14,7,7
"Phobos",848671248,7329492,4207199,3122293,134,-37,311,380,2282517,1924682,159,6,420,2,252,53,86,109,136,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,22,8,8
"DaPandaMonster",116152285,5946839,3389107,2557732,132,-99,410,346,1786672,1602435,103,5,339,2,211,54,63,75,106,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,19,8,10
"Seba",173661396,7511134,4436085,3075049,144,-70,281,415,2370309,2065776,166,2,535,4,241,83,95,110,132,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,22,11,11
"Daddydino",814794497,5639421,3232725,2406696,134,-24,151,344,1764048,1468677,111,6,262,2,210,31,54,88,112,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,16,8,5
"Bada Bing",142215331,4891582,2865292,2026290,141,21,205,236,1595911,1269381,53,4,159,0,204,24,31,53,79,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,16,11,8
"SirPanda",868699295,4838281,2702999,2135282,126,147,214,325,1589813,1113186,101,4,262,1,191,40,48,57,74,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,14,8,4
"BearlyAgang",233924528,6486597,3757981,2728616,137,73,268,381,2142003,1615978,117,4,426,2,206,62,75,87,106,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,21,8,10
"Winzorg",793632989,4700688,2572940,2127748,120,-168,128,277,1312594,1260346,55,3,197,1,198,30,41,50,65,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,13,8,6
"Dizzle",566511783,7699442,4380380,3319062,131,57,378,424,2479480,1900900,140,4,534,3,272,80,103,117,137,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,24,11,12
"Wogb",228156277,6060408,3433588,2626820,130,48,436,359,1935393,1498195,110,5,350,2,248,49,68,80,97,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,17,9,8
"Babadook",882439211,6033213,3304809,2728404,121,-298,293,330,1579795,1725014,101,3,323,2,219,49,60,75,93,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,19,10,10
"MINI Ruibarian",642573143,6116686,3494755,2621931,133,-166,366,380,1784463,1710292,96,3,404,2,215,63,67,85,91,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,17,8,7
"Agangofbears",866558338,7398430,4391862,3006568,146,-90,266,455,2324793,2067069,155,5,586,4,234,82,102,118,132,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,22,6,7
"Granite Fox",812363892,6274631,3458726,2815905,122,-30,419,376,1882254,1576472,106,4,372,2,262,56,76,86,97,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,18,9,8
