Player,Offense,Defense,GP,Name,Squad,Viable
"SchmoG",0,1,140977,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"SchmoG",,,462112,Negotiator,"Negotiator 6* BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"SchmoG",1,0,129562,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zOld Ben",1
"SchmoG",0,1,92988,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"SchmoG",0,1,127899,Grievous-Wat,"zzGG zB2 zB1 MagnaGuard zWat Tambor",1
"SchmoG",1,1,138147,GAS,"zzzzGAS zRex Echo (501st), zzFives zARC Trooper",1
"SchmoG",1,1,96883,Revan Offense,"zzzJKR GMY BS zJolee Ezra G8",1
"SchmoG",1,1,85053,Ewoks,"zChirpa Elder Paploo Scout zWicket",1
"SchmoG",0,1,102760,BH,"zBossk Boba IG-88 Dengar G9, Cad",1
"SchmoG",1,1,107999,zEP,"zzEP zzVader Tarkin TFP zMara Jade, The Emperor's Hand",1
"SchmoG",1,0,19464,NestSolo (Counter),"zNest",1
"SchmoG",,,280870,Malevolence,"Malevolence 5* Hyena Bomber 5*, Vulture Droid 5*, Sun Fac SF, Soldier SF, Spy SF",0
"SchmoG",0,1,62798,Phoenix,"Hera G8, Zeb G8, Kanan G8, Sabine 4* G7, Chopper G8",0
"SlapChopMyNutz",1,0,140019,CLS,"zzCLS zHan zzChewbacca zzR2-D2 Old Ben",1
"SlapChopMyNutz",,,335618,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"SlapChopMyNutz",0,1,87806,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"SlapChopMyNutz",1,1,92730,Ewoks,"zChirpa Elder zPaploo Teebo zLogray",1
"SlapChopMyNutz",0,1,91043,BH,"zBossk Jango Boba Greedo Greef Karga",1
"SlapChopMyNutz",1,0,91906,Wiggs,"Wedge Biggs Ezra G8, C-3PO Leia",1
"SlapChopMyNutz",1,0,92318,Wampa (Counter),"zRex zzWampa HYoda Jyn G7, FOO G8",1
"SlapChopMyNutz",0,1,78679,padme,"zPadme G9, zGK G8, JKA 6* G9, Ahsoka G8, zzFives",0
"SlapChopMyNutz",1,1,78835,zEP,"EP G9, zzVader Tarkin G6, Dooku G8, Traya G7",0
"ImperialGhostbuster",1,1,156400,GL Rey,"zzzzzzRey zzJTR zBB-8 zResistance Hero Poe, zResistance Hero Finn",1
"ImperialGhostbuster",0,1,96656,padme,"zzPadme G9, zGK G8, JKA Ahsoka zC-3PO",1
"ImperialGhostbuster",1,0,139278,CLS,"zzzCLS zHan zChewbacca zR2-D2 Old Ben",1
"ImperialGhostbuster",,,363658,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"ImperialGhostbuster",0,1,90748,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"ImperialGhostbuster",1,1,113205,Revan Offense,"zzzJKR GMY BS zJolee zHYoda",1
"ImperialGhostbuster",1,1,77730,Ewoks,"zChirpa Elder Paploo G9, Wicket Logray G9",1
"ImperialGhostbuster",0,1,84096,BH,"zBossk Jango G9, Boba Dengar G8, Cad",1
"ImperialGhostbuster",0,1,72707,Phoenix,"Hera G9, Ezra G9, Zeb G8, zKanan Sabine G8",1
"ImperialGhostbuster",1,0,17326,NestSolo (Counter),"Nest",1
"ImperialGhostbuster",,,67855,Phasma,"Phasma G8, FOTP G7, FOO G9, zKRU G9, Kylo G9",0
"ImperialGhostbuster",,,306162,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter 3*, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",0
"ImperialGhostbuster",,,99385,Mon Mothma,"zMon Mothma, Biggs K-2SO G6, Wedge Lando",0
"ImperialGhostbuster",1,0,75957,ShaakClones,"Shaak Ti G8, Rex Echo (501st) G9, zFives ARC Trooper G8",0
"ImperialGhostbuster",1,1,90313,zEP,"EP zzzVader Tarkin TFP G8, zTraya G4",0
"ImperialGhostbuster",1,0,77398,Troopers,"Veers Starck Range Trooper 5*, Dark Trooper 6* G9, zAdmiral Piett",0
"Phaedo",0,1,134473,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Phaedo",,,326184,HansMF,"Home One, Han's MF 5*, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Phaedo",0,1,115024,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
