Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"lil' nerf herder",552462571,2610818,1552364,1058454,146,71,238,276,883970,668394,44,2,101,0,120,17,19,33,39,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,9,7,2
"JayDee",385833339,4679226,2532972,2146254,118,40,367,314,1422848,1110124,67,2,241,0,169,41,46,53,72,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,15,9,7
"Mat KenOb1",749948518,4477923,2562637,1915286,133,-148,359,246,1320084,1242553,59,2,133,1,156,14,30,54,75,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,12,6,5
"Lattado",885967495,3126862,1625438,1501424,108,-252,461,301,795382,830056,46,2,132,1,111,20,25,43,53,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,10,8,6
"MeisterMcGee",963134988,2810864,1419259,1391605,101,-105,239,290,745998,673261,33,1,123,0,98,22,25,32,41,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,11,5,5
"TheAmazingR2D2",539675524,3473029,1867942,1605087,116,-102,283,253,983273,884669,48,2,111,1,142,11,27,39,62,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,10,7,4
"tigo13",879387195,4456088,2683149,1772939,151,388,350,282,1738256,944893,84,6,190,1,157,31,38,50,66,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,13,7,5
"MasterKenobi264",351767317,3884079,2289536,1594543,143,-120,214,280,1194766,1094770,70,3,139,1,154,15,32,49,65,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,11,9,6
"TutelaryFiddle0",239548757,3313255,1753652,1559603,112,-176,102,237,890730,862922,50,2,98,1,137,15,21,38,52,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,9,6,4
"MINI HustleSteak",951198739,4568068,2599648,1968420,132,-266,100,219,1262976,1336672,42,4,126,1,195,18,25,50,72,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,11,8,7
"DarthPlagalCadence",584947874,2921595,1655991,1265604,130,84,60,173,948183,707808,24,1,43,0,110,6,9,33,45,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,5,2
"Ethan Geilvta",575143134,3767780,2266865,1500915,151,65,238,288,1287563,979302,61,3,144,0,153,20,31,49,68,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,12,10,5
"burritoholder45",261356781,4498948,2519361,1979587,127,-114,273,285,1318355,1201006,50,3,203,1,168,31,41,47,66,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,10,6,4
"Zawisza",518657794,4102787,2144173,1958614,109,-48,214,266,1157431,986742,61,4,162,1,161,27,33,44,61,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,12,6,6
"VeritableQuandary",136663451,3664930,2102045,1562885,134,133,261,352,1229265,872780,45,2,221,1,135,35,39,46,61,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,8,5,3
"hoodink",696165744,2827063,1608028,1219035,131,197,522,358,965917,642111,53,2,142,1,92,17,29,44,54,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,9,6,3
"Unstoppable4",991579994,2438621,1170348,1268273,92,-635,529,421,461677,708671,41,2,174,0,89,32,33,35,36,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,4,1
"Gyre",614549236,3176266,1850498,1325768,139,162,253,266,1095242,755256,44,3,114,1,108,15,24,38,59,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,11,8,4
"Largus cockus",429117621,2609456,1701710,907746,187,-118,217,262,888847,812863,49,1,93,0,109,16,18,32,42,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,6,4
"VQ Deux",791276146,8256347,4846320,3410027,142,-61,565,554,2600689,2245631,170,4,780,6,277,105,145,157,165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,7,8
"AiSpeed",533723583,3665543,2190452,1475091,148,305,100,238,1373928,816524,52,3,102,0,124,14,21,46,64,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,10,8,5
"Smileeye",412845813,5971426,3609699,2361727,152,11,77,207,2001840,1607859,93,3,120,0,225,10,32,68,105,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,19,11,9
"JoeyPlague",226146986,3546132,2092554,1453578,143,12,100,175,1161097,931457,45,2,61,0,149,9,16,34,57,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,11,8,6
"Simhuelatte",817766832,4433977,2445224,1988753,122,-110,184,267,1282203,1163021,69,2,157,0,159,21,34,53,85,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,16,12,7
"sTuFf",566968287,4105833,2596851,1508982,172,-13,288,322,1424054,1172797,88,3,162,0,157,17,40,60,80,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,13,10,8
"SchmoG",644148436,3800923,1997597,1803326,110,224,305,257,1213136,784461,52,3,120,0,137,20,24,50,65,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,11,8,6
"Tyme",455792145,4379682,2407711,1971971,122,-213,145,271,1201420,1206291,42,5,165,1,171,19,34,52,64,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,13,8,7
"SlapChopMyNutz",253264343,2592143,1589003,1003140,158,410,56,199,1038026,550977,29,0,68,0,125,8,16,22,38,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4
"MINI ArtOfPhysics101",918214536,3439990,1948113,1491877,130,-43,574,405,1053630,894483,58,4,223,2,133,32,44,51,57,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,6,4,4
"Ž",215968693,4523057,2585934,1937123,133,-189,174,298,1305338,1280596,65,1,219,1,184,34,39,52,79,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,15,10,8
"Bonobofriend",212871926,3040596,1825195,1215401,150,-40,279,219,988524,836671,50,3,79,0,129,9,20,31,43,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,8,5
"WhaleHarderBruh",876468577,2972531,1577060,1395471,113,-361,202,191,729267,847793,20,1,80,0,99,13,14,27,31,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3
"UhOhNoBueno",486275482,2259129,1409628,849501,165,-304,404,393,671573,738055,67,0,54,0,79,0,29,49,52,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,4,4
"Spliffy",234656893,3189481,1947571,1241910,156,389,236,267,1262252,685319,51,2,92,0,133,17,19,48,63,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,7,6
