Player,Offense,Defense,GP,Name,Squad,Viable
"zmh",,,169059,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"zmh",,,123192,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"zmh",,,174288,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"zmh",0,1,95749,Qira,"Qira L3-37 zVandor Chewbacca, zMission zZaalbar",1
"zmh",,,569085,Executor,"Executor 5* HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"zmh",,,507102,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"zmh",1,0,150831,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzOld Ben",1
"zmh",1,1,98858,NS_Alt,"zzMT zAV Zombie Talia zDaka",1
"zmh",,,434902,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"zmh",0,1,96586,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"zmh",0,1,127993,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"zmh",1,0,117526,Traya,"zzTraya zDN zSion Sith Empire Trooper, zzThrawn",1
"zmh",,,99013,Mon Mothma,"zzMon Mothma, Scarif zPao zCara Dune, Hoth Rebel Scout",1
"zmh",1,0,124818,Troopers,"zVeers zzAdmiral Piett, zzMoff Gideon, zDark Trooper, Range Trooper",1
"zmh",,,107996,Disintegration,"Aurra G9, Greef Karga G8, zBoba zzBossk The Mandalorian G8",1
"zmh",1,1,147356,Revan Offense,"zzzJKR zzGMY zzHYoda zJolee zJKA",1
"zmh",1,1,85341,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"zmh",1,0,138269,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"zmh",0,1,131850,BH,"zzJango zIG-88 zDengar zGreedo Cad",1
"zmh",0,1,80078,Phoenix,"Hera Kanan Zeb G8, Sabine Ezra",1
"zmh",1,0,107987,Wiggs,"Wedge Biggs Fulcrum G8, zzC-3PO zLeia",1
"zmh",1,0,124805,EP (Counter, Rebel),"zzEP zKrennic DT G9, zzWampa zStarck",1
"zmh",1,0,68752,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G8, Jawa G9, Dathcha",1
"zmh",1,0,20898,NestSolo (Counter),"zNest",1
"zmh",,,148934,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zBarriss",0
"zmh",,,308564,Malevolence,"Malevolence Hyena Bomber, Vulture Droid 6*, Sun Fac SF, Soldier SF, Spy SF",0
"zmh",1,1,70816,Rogue1,"Jyn G8, Chirrut Baze G7, K-2SO G8, Cassian G9",0
"zmh",1,0,126078,zMaul,"Darth Maul, zDooku zSidious zSavage Sith Marauder",0
"PokemonRule",,,175163,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"PokemonRule",1,1,162838,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"PokemonRule",,,164001,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"PokemonRule",1,1,163140,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zHoldo zResistance Hero Finn",1
"PokemonRule",1,1,124538,NS,"zzMT zzAV zDaka Zombie Spirit",1
"PokemonRule",,,613413,Executor,"Executor HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"PokemonRule",,,162664,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"PokemonRule",,,517302,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"PokemonRule",,,335219,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"PokemonRule",,,471997,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"PokemonRule",0,1,111351,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"PokemonRule",0,1,126402,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"PokemonRule",1,0,132735,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper",1
"PokemonRule",1,0,126237,Troopers,"zVeers zzAdmiral Piett, zMoff Gideon, zDark Trooper, Range Trooper",1
"PokemonRule",,,118412,Mon Mothma,"zzMon Mothma, Scarif Wedge Bistan Biggs",1
"PokemonRule",1,0,147738,CLS,"zzzCLS zHan zzChewbacca zChewpio zzC-3PO",1
"PokemonRule",1,1,83927,Ewoks,"zChirpa G9, Elder zPaploo zWicket Logray G9",1
"PokemonRule",1,0,148668,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"PokemonRule",0,1,151091,BH,"zzBossk Boba zDengar zJango Cad",1
"PokemonRule",1,0,133101,zMaul,"zDarth Maul, zSidious zDooku Sith Marauder, zNest",1
"PokemonRule",,,75744,Iden Troopers,"zIden Versio 5*, Shoretrooper Snowtrooper Magma G9, DT",1
"PokemonRule",0,1,81805,Phoenix,"Hera Kanan Zeb Sabine Ezra",1
"PokemonRule",,,126979,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",0
"PokemonRule",0,1,71997,Qira,"zQira L3-37 G5, Vandor Chewbacca G3, zMission zZaalbar",0
"PokemonRule",1,1,73882,Rogue1,"zJyn Chirrut G8, Baze G1, zK-2SO Cassian",0
"PokemonRule",,,69815,Bad Batch,"zHunter G9, zEcho G8, Omega G1, zTech G8, zWrecker G8",0
"Snnkmtt",,,170875,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Snnkmtt",,,124273,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Snnkmtt",1,1,159563,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
