Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Sel Cee Us",781822318,7235702,4237691,2998011,141,113,356,450,2457252,1780439,165,5,514,5,241,71,98,125,142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,21,9,10
"Mugwumpus",928873919,5308420,3181731,2126689,149,-27,336,459,1733593,1448138,115,3,395,3,187,56,75,90,105,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,17,4,9
"Bagwell",369694398,8270642,4821141,3449501,139,18,477,472,2682109,2139032,180,7,628,4,267,84,118,147,178,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,26,10,10
"CaptFishmouth",824746243,8409068,4927020,3482048,141,-31,444,500,2680111,2246909,185,3,716,6,270,107,132,146,170,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,9,9
"JabbaTheSlutt",756373243,7429082,4312192,3116890,138,-238,412,509,2124992,2187200,122,8,693,3,224,109,111,129,137,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,21,7,8
"Norash",898651723,7960552,4718282,3242270,145,-83,506,507,2505608,2212674,195,4,651,4,257,93,127,147,166,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,24,8,10
"Play Boy sdw",298784759,7371078,4099961,3271117,125,-110,339,453,2149520,1950441,145,5,550,3,260,82,104,120,138,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,21,9,9
"Mol Elza",746381165,8854532,5275194,3579338,147,-82,464,526,2803332,2471862,200,7,762,4,271,107,146,168,189,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,24,9,11
"Masik",589768348,9338271,5525494,3812777,144,-102,389,579,2908671,2616823,209,7,971,6,277,139,169,178,196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,10,10
"HanZmaN",566635377,8621112,4999819,3621293,138,-92,556,482,2644412,2355407,161,4,745,5,272,110,124,143,162,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,23,8,9
