Player,Offense,Defense,GP,Name,Squad,Viable
"MickeyKnight",,,98023,Phasma,"zPhasma FOE FOO zzKRU Kylo",1
"MickeyKnight",0,1,49354,Geonosians,"GBA G9, Sun Fac G7, Geo Soldier G9, Geo Spy G7, Poggle",1
"MickeyKnight",0,1,69061,Phoenix,"Hera G9, Ezra G9, Chopper G8, Zeb G8, Kanan G8",1
"MickeyKnight",1,1,54137,NS,"MT 6* G8, AV G8, Daka Zombie 4* G8, Spirit 6* G8",0
"MickeyKnight",1,1,70408,zEP,"zEP zVader Tarkin G8, Sith Trooper 6* G8, DN 5* G8",0
"MickeyKnight",0,1,55041,BH,"Bossk 5* G8, IG-88 G8, Boba G9, Greedo 6* G8, Cad G8",0
"MickeyKnight",1,0,56731,501st,"Rex G8, Clone Sergeant G8, Echo (501st) G8, Fives G8, Ahsoka G8",0
"MickeyKnight",1,0,53996,Troopers,"Veers 5* Starck G7, Snowtrooper G8, Magma G7, Stormtrooper G8",0
"MickeyKnight",1,0,38966,Wiggs,"Wedge 5* G8, Biggs 5* G8, Leia G8, Chirrut 5* G8, Baze 5* G8",0
"AppointingPadawan",0,1,68538,Phoenix,"Hera G9, Ezra Chopper G9, Zeb G9, Kanan G8",1
"AppointingPadawan",,,48997,Phasma,"Phasma G8, FOTP G9, FOSFTP G7, FOST G8, Kylo G9",0
"AppointingPadawan",1,0,45688,Troopers,"Veers Admiral Piett 5* G8, Moff Gideon G6, Dark Trooper 5* G9, Range Trooper 5* G9",0
"Verkus",0,1,71406,Geonosians,"zGBA 6* Sun Fac G8, Geo Soldier, Geo Spy, Poggle G9",1
"Verkus",1,1,114779,zEP,"zzEP zzzVader Tarkin TFP Sith Trooper",1
"Verkus",0,1,110985,FO,"zzKRU zKylo FOST FOE FOO",1
"Verkus",0,1,63539,Phoenix,"Hera G8, Ezra Chopper G9, Zeb G8, Kanan G8",1
"Verkus",1,0,71741,CLS,"zzCLS Han Chewbacca 5* G9, R2-D2 G7, Stormtrooper Han",0
"Verkus",,,220623,HansMF,"Home One 6*, Han's MF 5*, HT Ghost 5* Phantom 5* Biggs X-wing 5*, Cassian's U-wing 6*, Wedge X-wing 5*",0
"Verkus",0,1,41307,Grievous,"GG 5* G8, B2 G8, B1 6* G7, MagnaGuard G5, Nute G7",0
"Verkus",1,1,40571,NS_Alt,"MT 5* G8, AV G8, Talia 5* G8, Daka G8, Spirit 6* G8",0
"Verkus",1,0,85819,ShaakClones,"Shaak Ti G8, zRex Echo (501st), zFives ARC Trooper G8",0
"Verkus",0,1,68992,BH,"Bossk IG-88 G8, Boba G9, Cad G8, Zam G8",0
"Verkus",1,0,44430,Wiggs,"Wedge 5* G8, Biggs G8, Leia G8, Chirrut 5* G8, Baze 6* G8",0
"Nemaris",0,1,88998,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Nemaris",0,1,69424,BH,"zBossk IG-88 G9, Boba G8, Greedo G8, Cad G8",1
"Nemaris",0,1,84907,FO,"zKRU Kylo G9, FOE zPhasma FOO",1
"Nemaris",0,1,64039,Phoenix,"Hera G9, Ezra Chopper G9, Zeb G8, Kanan G8",1
"Nemaris",1,1,40725,NS_Alt,"MT 5* G8, AV G8, Talia 5* G8, Daka G8, Spirit 5* G8",0
"Nemaris",1,1,88740,zEP,"zzEP zzVader Tarkin Sith Trooper 2* G7, Mara Jade, The Emperor's Hand 5* G8",0
"Nemaris",1,0,44103,501st,"Rex 5* G8, Clone Sergeant G8, Echo (501st) 5* G8, Fives G8, Ahsoka G8",0
"Nemaris",1,0,40117,Wiggs,"Wedge 5* G8, Biggs G8, Leia G8, Chirrut 5* G8, Baze 5* G8",0
"Wrathofolympus",0,1,54934,Geonosians,"zGBA G9, Sun Fac G7, Geo Soldier, Geo Spy G8, Poggle G8",1
"Wrathofolympus",0,1,67788,Phoenix,"Hera G8, Ezra Chopper G8, Zeb G8, Kanan G8",1
"Wrathofolympus",,,45533,Phasma,"Phasma G8, FOE 5* G8, FOO G8, KRU Kylo 5* G8",0
"Wrathofolympus",1,1,34301,NS_Alt,"MT 5* G8, AV 5* G8, Talia 5* G8, Daka 6* G8, Spirit 5* G8",0
"Wrathofolympus",1,1,76162,zEP,"EP zVader Tarkin Dooku 5* G8, TFP",0
"Wrathofolympus",0,1,78023,BH,"zBossk 6* Jango IG-88 G8, Boba Cad G9",0
"Wrathofolympus",1,0,40100,501st,"Rex 5* G8, Clone Sergeant 5* G8, Echo (501st) 5* G8, Fives 6* G8, Ahsoka G8",0
"Wrathofolympus",1,0,40079,Wiggs,"Wedge 5* G8, Biggs 5* G8, Leia G8, Chirrut 5* G8, Baze 5* G8",0
"Wrathofolympus",0,1,63716,BS,"zBS GMY zJolee 6* G8, Old Ben G8, JKA 5* G8",0
