Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Clan Skirata,547353193,0,0,0,Seps (1%): Dooku Jango GG Nute GBA
Aidangf,897763922,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
MirdrDthKl,981315277,0,0,0,Padme 3%: Padme JKA GK Ahsoka R2-D2
Aldous Huxley,578178639,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Zekemo,633931192,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
IAreTrev,478475664,0,0,0,Seps (1%): Dooku Jango MagnaGuard GG GBA
IAreTrev,478475664,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
IAreTrev,478475664,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
IAreTrev,478475664,0,0,0,SEE P1 5%: SEE Malak EP Vader Sith Marauder
IAreTrev,478475664,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
IAreTrev,478475664,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Roger Roger,993891872,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Roger Roger,993891872,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
JimBeam823,155243248,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Tyler Sahin,231345184,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tyler Sahin,231345184,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
AlexRG,425976577,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
ShinyDemon,767761876,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
ShinyDemon,767761876,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
ShinyDemon,767761876,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
ShinyDemon,767761876,0,0,0,SEE P1 5%: SEE Malak Darth Talon Sith Marauder Darth Malgus
ShinyDemon,767761876,0,0,0,JKL + JML (6%): JKL JMLS JKA GMY Old Ben
ShinyDemon,767761876,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
RafaSerinet,837425214,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
LordSpud,796569569,28,0,28,p1: Padme 3%: Padme G9 JKA G12 GK G12 Ahsoka G12 GMY R4
RafaSerinet,837425214,7,0,7,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G11
Mr Potato,557852495,12,0,12,p4: Rebels (2%): CLS Chewbacca Han Chewpio G12 R2-D2 G12
Merth14,772127472,29,0,29,p4: Seps (1%): Dooku G8 6* Jango G11 Geo Spy G12 Poggle G12 GBA
Jayck Ostra,441168491,42,0,42,p3: Imperial Troopers 5%: Veers G9 Piett G10 Starck G9 Range Trooper G11 Dark Trooper G9
JimBeam823,155243248,6,0,6,p4: Rebels (2%): CLS Chewbacca Han Chewpio C-3PO G12
AnothaGh0st,994462489,33,0,33,p4: Rebels (2%): CLS R3 Chewbacca G10 Han G11 Chewpio G10 C-3PO G10
AnothaGh0st,994462489,31,0,31,p3: Imperial Troopers 5%: Veers G11 Piett R3 Starck G10 Range Trooper G11 Dark Trooper G11
Dima,598159137,36,0,36,p4: Seps (1%): Dooku G12 Jango G7 Geo Spy G12 Sun Fac G12 GBA G11
Dima,598159137,36,0,36,p1: Padme 3%: Padme G8 JKA GK G6 Ahsoka G11 GMY G11
Dima,598159137,34,0,34,p3: Imperial Troopers 5%: Veers G12 Piett Gideon G7 6* Starck G10 Dark Trooper G9
Ms Dorree,822229194,34,0,34,p4: Rebels (2%): CLS G12 Chewbacca G12 Han G12 Chewpio G10 6* C-3PO G10
Ms Dorree,822229194,32,0,32,p3: BH 2%: Aurra G8 Greef G8 Bossk Jango G12 Boba G12
KorikoRahl,925645683,28,0,28,p4: Rebels (2%): CLS R4 Chewbacca G12 Han G12 Chewpio G10 R2-D2 G11
KorikoRahl,925645683,31,0,31,p1: Padme 3%: Padme G12 JKA G12 GK G12 Ahsoka G12 R2-D2 G11
Sirius,571367536,27,0,27,p4: Seps (1%): Dooku G11 Jango G8 5* Geo Spy R2 Sun Fac R2 GBA R1
HyPer50,847824238,30,0,30,p1: Padme 3%: Padme G12 JKA G12 GK G12 Ahsoka G12 GMY G12
Ceith Sha'Dow,454988341,20,0,20,p1: Padme 3%: Padme R3 JKA G12 GK G12 Ahsoka G12 GMY
AlexRG,425976577,20,0,20,p2: Imperial Troopers 5%: Veers R3 Piett Starck R3 Range Trooper G11 Dark Trooper G9
iThunderPanda,519344946,22,0,22,p4: Rebels (2%): CLS R3 Chewbacca R3 Han R1 Chewpio G11 R2-D2 G11
StarvingBob,497585197,18,0,18,p1: Padme 3%: Padme G12 JKA GK G12 Ahsoka G12 GMY
StarvingBob,497585197,20,0,20,p4: Rebels (2%): CLS Chewbacca G12 Han R3 Chewpio G12 C-3PO G12
Revanious,133431193,32,0,32,p4: Rebels (2%): CLS G12 Chewbacca G12 Han G12 Chewpio G10 C-3PO G12
