Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Leagumes,329614327,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Leagumes,329614327,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Leagumes,329614327,7,0,7,Dooku+Asajj: Dooku AV G5
Solid Steps,538383598,7,0,7,Geos: GBA G11 Poggle G9 Geo Soldier G11 Sun Fac G10 Geo Spy
Roger Roger,993891872,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Roger Roger,993891872,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Roger Roger,993891872,2,0,2,Dooku+Asajj: Dooku G10 AV
Jayck Ostra,441168491,12,0,12,Troopers: Veers G9 Piett G10 Starck G9 Dark Trooper G9 Range Trooper G11
Jayck Ostra,441168491,8,0,8,Dooku+Asajj: Dooku G8 AV G8
Jayck Ostra,441168491,10,0,10,Geos: GBA G10 Poggle G10 Geo Soldier G11 Sun Fac G8 Geo Spy G11
ZALATA,486682797,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
ZALATA,486682797,1,0,1,Grievous: GG G11 B2 B1 Droideka MagnaGuard
ZALATA,486682797,1,0,1,Dooku+Asajj: Dooku G11 AV
MickeyKnight,524986762,9,0,9,Troopers: Veers G11 Piett G10 Gideon G10 Dark Trooper G11 Range Trooper G9
MickeyKnight,524986762,4,0,4,Dooku+Asajj: Dooku G10 AV G10
MickeyKnight,524986762,1,0,1,Geos: GBA Poggle Geo Soldier Sun Fac G11 Geo Spy
Cad é Scannan,125276223,15,0,15,Dooku+Asajj: Dooku G6 6* AV G3
Cad é Scannan,125276223,4,0,4,Geos: GBA G11 6* Poggle Geo Soldier G11 6* Sun Fac G11 Geo Spy G11 6*
JasterMereel,664526496,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
JasterMereel,664526496,4,0,4,Dooku+Asajj: Dooku AV G8
JimBeam823,155243248,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
JimBeam823,155243248,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
iThunderPanda,519344946,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
iThunderPanda,519344946,13,0,13,Troopers: Veers G10 Piett G10 Gideon G9 Dark Trooper G11 Range Trooper G7
iThunderPanda,519344946,3,0,3,Dooku+Asajj: Dooku AV G9
