Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Tyler Sahin,231345184,18,0,18,Jedi Master Luke Skywalker: Old Ben JTR R2 C-3PO Mon Mothma G10 Chewpio JKL R2-D2 R2 Han Chewbacca Rebel Y-wing 6* Leia HYoda Wedge Biggs Lando
Dima,598159137,48,0,48,Sith Eternal Emperor: EP R6 Vader RG G12 Piett Krennic G8 Sidious G12 Darth Maul Dooku G12 Sith Marauder R5 Imperial TIE Bomber JKA Thrawn G12 Tarkin Veers G12 Starck G10
FiftyMetres,277948243,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Jayck Ostra,441168491,10,0,10,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO G12 FOTP Phasma Hux FOSFTP Sith Trooper Vet Han G12 EP Finalizer 0*
Aldous Huxley,578178639,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Clan Skirata,547353193,20,0,20,Jedi Master Kenobi: GK R7 Bo-Katan G12 Aayla Mace Negotiator 0* GG Wat Tambor G11 5* MagnaGuard Clone Sergeant QGJ GMY R6 Jango Shaak Ti R5 Cad Cody
Clan Skirata,547353193,49,0,49,Sith Eternal Emperor: EP R5 Vader R6 RG Piett G12 Krennic G11 Sidious G12 Darth Maul G12 Dooku Sith Marauder G12 Imperial TIE Bomber 5* JKA R5 Thrawn R3 Tarkin Veers G12 Starck G12
Solid Steps,538383598,24,0,24,Supreme Leader Kylo Ren: KRU Kylo FOST G12 FOE FOO FOTP G12 Phasma Hux FOSFTP G12 Sith Trooper G12 Vet Han G12 EP Finalizer 0*
Zekemo,633931192,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
Verkus,643612493,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
JΞDΙ ΚΝΙGHT,677444398,10,0,10,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper G12 Vet Han G12 EP Finalizer 4*
RafaSerinet,837425214,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
iThunderPanda,519344946,47,0,47,Supreme Leader Kylo Ren: KRU R5 Kylo FOST G12 FOE G12 FOO FOTP G12 Phasma G12 Hux FOSFTP G12 Sith Trooper G10 6* Vet Han G8 EP R4 Finalizer 5*
kebabbroodje,748158886,17,0,17,Supreme Leader Kylo Ren: KRU Kylo R5 FOST FOE FOO FOTP Phasma Hux R3 FOSFTP Sith Trooper G12 Vet Han G11 5* EP R5 Finalizer 0*
IAreTrev,478475664,0,0,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
IAreTrev,478475664,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
IAreTrev,478475664,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
IAreTrev,478475664,59,0,59,Jedi Master Luke Skywalker: Old Ben G9 JTR G12 C-3PO Mon Mothma G1 6* Chewpio JKL R2-D2 G12 Han R5 Chewbacca R5 Rebel Y-wing 0* Leia G11 HYoda Wedge G12 Biggs G12 Lando R3
MickeyKnight,524986762,45,0,45,Supreme Leader Kylo Ren: KRU Kylo FOST G12 FOE G12 FOO G12 FOTP G12 Phasma G12 Hux FOSFTP G12 Sith Trooper G12 Vet Han G11 EP R5 Finalizer 4*
ShinyDemon,767761876,0,0,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
ShinyDemon,767761876,10,0,10,Jabba the Hutt: Krrsantan Han Gamorrean Guard Greedo Skiff Guard (Lando Calrissian) JKL Jawa G11 URoRRuR'R'R G12 C-3PO Boushh (Leia Organa) Aurra Fennec Shand Boba Mob Enforcer Outrider
ShinyDemon,767761876,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
ShinyDemon,767761876,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
AlexRG,425976577,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
AlexRG,425976577,10,0,10,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious R5 Darth Maul Dooku Sith Marauder G12 Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Leagumes,329614327,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber 6* JKA Thrawn Tarkin Veers Starck
