Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Cad é Scannan,125276223,1,0,1,ROLO: ROLO Cpt Solo Han Chewbacca Lando
FacelessShadowz,973486788,4,0,4,GAS Special: GAS Ahsoka G12
FacelessShadowz,973486788,17,0,17,CLS: CLS Han G12 Chewbacca G12 Chewpio G11 C-3PO G12
FacelessShadowz,973486788,14,0,14,Shaak Ti: Shaak Ti G12 Rex R1 Echo (501st) G12 ARC Trooper G12 Fives
Clan Skirata,547353193,8,0,8,Shaak Ti: Shaak Ti Rex Echo (501st) G12 ARC Trooper G12 Fives
Roger Roger,993891872,0,0,0,GAS Special: GAS Ahsoka
Roger Roger,993891872,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Roger Roger,993891872,20,0,20,CLS: CLS G12 Han G12 Chewbacca G12 Chewpio G12 C-3PO G12
IAreTrev,478475664,0,0,0,GAS Special: GAS Ahsoka
IAreTrev,478475664,0,0,0,JKL: JKL HYoda GMY Jolee GK
IAreTrev,478475664,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
IAreTrev,478475664,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
IAreTrev,478475664,10,0,10,ROLO: ROLO Cpt Solo Biggs G12 Baze G10 Lando
Higeyama,647161156,18,0,18,ROLO: ROLO G7 Cpt Solo G7 Han CLS Chewbacca
StarvingBob,497585197,12,0,12,CLS: CLS Han Chewbacca G12 Chewpio G12 C-3PO G12
cjcrutch,827578522,20,0,20,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
Tyler Sahin,231345184,0,0,0,GAS Special: GAS Ahsoka
Tyler Sahin,231345184,0,0,0,JKL: JKL HYoda GMY Jolee GK
Tyler Sahin,231345184,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Tyler Sahin,231345184,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Tyler Sahin,231345184,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 6* Lando
ShinyDemon,767761876,0,0,0,GAS Special: GAS Ahsoka
ShinyDemon,767761876,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
ShinyDemon,767761876,0,0,0,JKL: JKL HYoda GMY JKR GK
ShinyDemon,767761876,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Aidangf,897763922,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Artean,368988999,4,0,4,ROLO: ROLO Cpt Solo Han G12 CLS Lando
Gorski144,831566299,16,0,16,CLS: CLS Han G12 Chewbacca G12 Chewpio G12 C-3PO G12
ZALATA,486682797,8,0,8,GAS Special: GAS G8 5* Ahsoka
ZALATA,486682797,20,0,20,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
JimBeam823,155243248,4,0,4,CLS: CLS Han Chewbacca Chewpio C-3PO G12
