Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Tyler Sahin,231345184,3,0,3,131296,Padme JKA Ahsoka R4 GK GMY R3
Dima,598159137,36,0,36,81959,Padme G8 JKA Ahsoka G11 GK G6 GMY G11
Mr Potato,557852495,45,0,45,76293,Padme G8 JKA G11 6* Ahsoka G9 GK G8 GMY G9
Higeyama,647161156,21,0,21,103488,Padme G10 JKA Ahsoka G11 GK G12 GMY
FiftyMetres,277948243,53,0,53,59395,Padme G10 JKA G1 4* Ahsoka G7 GK G8 GMY G11
Jayck Ostra,441168491,43,0,43,82779,Padme G8 JKA G11 Ahsoka G8 GK G8 GMY G12
Aldous Huxley,578178639,42,0,42,79653,Padme G8 JKA G11 Ahsoka G11 GK G13 GMY G5
AnothaGh0st,994462489,44,0,44,67942,Padme G8 JKA G11 Ahsoka G8 GK G7 GMY G12
Merth14,772127472,41,0,41,77939,Padme G10 JKA G10 Ahsoka G11 GK G8 GMY G10
DarthVehyl,281184365,48,0,48,52198,Padme G8 JKA G8 5* Ahsoka G8 GK G11 6* GMY G7
Coooolmann,995472173,40,0,40,88406,Padme G9 JKA G11 Ahsoka G8 GK G11 GMY G11
JasterMereel,664526496,35,0,35,86340,Padme G1 6* JKA G10 Ahsoka G8 GK GMY
Cad é Scannan,125276223,78,0,78,18557,Padme G1 5* JKA G1 3* Ahsoka G3 6* GK G6 GMY G1
KorikoRahl,925645683,30,0,30,93777,Padme G12 JKA G12 Ahsoka G12 GK G12 GMY G12
Clan Skirata,547353193,8,0,8,128932,Padme R3 JKA Ahsoka G12 GK GMY
LoneBassClarinet,817855426,58,0,58,45006,Padme G8 JKA G5 5* Ahsoka G7 GK G7 GMY G5
Solid Steps,538383598,62,0,62,35345,Padme G2 JKA G4 3* Ahsoka G7 GK G8 6* GMY G7
TyrΩ,853713825,29,0,29,105327,Padme G13 JKA G12 Ahsoka G12 GK G12 GMY G12
Fenriz Jr,864844661,24,0,24,110440,Padme G12 JKA G12 Ahsoka G12 GK GMY G12
FacelessShadowz,973486788,15,0,15,112676,Padme R3 JKA Ahsoka G12 GK GMY G11
Blucifer,427586341,33,0,33,92851,Padme G11 JKA G12 Ahsoka G11 GK G12 GMY G11
Ceith Sha'Dow,454988341,20,0,20,109328,Padme R3 JKA G12 Ahsoka G12 GK G12 GMY
HyPer50,847824238,30,0,30,95526,Padme G12 JKA G12 Ahsoka G12 GK G12 GMY G12
RadLock,125295387,37,0,37,79655,Padme G8 JKA G12 Ahsoka G12 GK G11 GMY G10
StarvingBob,497585197,18,0,18,115946,Padme G12 JKA Ahsoka G12 GK G12 GMY
JimBeam823,155243248,0,0,0,128671,Padme JKA Ahsoka GK GMY
LordSpud,796569569,28,0,28,94565,Padme G9 JKA G12 Ahsoka G12 GK G12 GMY R4
Zekemo,633931192,38,0,38,73840,Padme G9 JKA G11 5* Ahsoka G11 6* GK G10 GMY G11
Verkus,643612493,54,0,54,57234,Padme G7 JKA G11 6* Ahsoka G8 GK G7 GMY G3
JΞDΙ ΚΝΙGHT,677444398,56,0,56,47681,Padme G8 JKA G9 5* Ahsoka G8 GK G0 0* GMY G9
RafaSerinet,837425214,33,0,33,94528,Padme G12 JKA G11 Ahsoka G12 GK G12 GMY G10
Sirius,571367536,34,0,34,81633,Padme G11 JKA G11 Ahsoka G9 GK G7 5* GMY
Gorski144,831566299,29,0,29,85643,Padme G10 JKA Ahsoka G10 GK G12 GMY G11
iThunderPanda,519344946,26,0,26,99455,Padme G12 JKA G11 Ahsoka G11 GK G12 GMY
kebabbroodje,748158886,66,0,66,35212,Padme G6 JKA G1 4* Ahsoka G9 GK G7 GMY G1
FuriousLurch,384456134,30,0,30,93751,Padme G12 JKA G12 Ahsoka G12 GK G12 GMY G12
cjcrutch,827578522,28,0,28,104891,Padme R2 JKA G12 Ahsoka G12 GK G12 GMY G11
IAreTrev,478475664,0,0,0,150755,Padme JKA Ahsoka GK GMY
MickeyKnight,524986762,49,0,49,53990,Padme G8 JKA G8 6* Ahsoka G8 GK G7 GMY G10
Revanious,133431193,37,0,37,75981,Padme G9 JKA G12 Ahsoka G12 GK G8 GMY G12
Roger Roger,993891872,0,0,0,137097,Padme JKA Ahsoka GK GMY
MirdrDthKl,981315277,7,0,7,123018,Padme JKA Ahsoka GK GMY G11
ZALATA,486682797,13,0,13,115463,Padme JKA R3 Ahsoka R3 GK R4 GMY G10
Artean,368988999,33,0,33,102258,Padme G9 JKA G12 Ahsoka G12 GK G12 GMY G12
ShinyDemon,767761876,0,0,0,149012,Padme JKA Ahsoka GK GMY
Sparrowhawk,449716242,34,0,34,89914,Padme G9 JKA R3 Ahsoka G11 GK G8 GMY G12
Aidangf,897763922,27,0,27,101636,Padme G12 JKA Ahsoka G11 GK G11 6* GMY G11
Ms Dorree,822229194,45,0,45,69265,Padme G8 JKA G12 Ahsoka G8 GK G8 GMY G9
AlexRG,425976577,32,0,32,95003,Padme G8 JKA Ahsoka G12 GK G9 GMY G11
Leagumes,329614327,27,0,27,107115,Padme G9 JKA Ahsoka G12 GK G12 GMY G12
