Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Aidangf,897763922,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Aidangf,897763922,31,0,31,EP: EP G12 Mara Jade, The Emperor's Hand G11 5* Vader Thrawn G8 Shoretrooper G10
Sparrowhawk,449716242,29,0,29,EP: EP G12 Mara Jade, The Emperor's Hand G11 Vader Thrawn G8 Malak G12
Artean,368988999,29,0,29,EP: EP R2 Mara Jade, The Emperor's Hand G7 5* Vader Thrawn G12 RG G9
Artean,368988999,46,0,46,Troopers: Veers G10 Piett G10 Dark Trooper G7 3* Range Trooper G9 6* Starck G8
HyPer50,847824238,32,0,32,EP: EP G12 Mara Jade, The Emperor's Hand G11 Vader Thrawn G9 Shoretrooper G8 6*
HyPer50,847824238,42,0,42,Troopers: Veers G11 Piett G10 Dark Trooper G6 Range Trooper G12 Starck G9
LoneBassClarinet,817855426,30,0,30,EP: EP G12 Mara Jade, The Emperor's Hand G11 4* Vader R3 Thrawn G12 RG G9
Coooolmann,995472173,26,0,26,EP: EP R1 Mara Jade, The Emperor's Hand G11 5* Vader Thrawn G12 RG G9
Dima,598159137,19,0,19,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn G12 RG G12
Dima,598159137,33,0,33,Troopers: Veers G12 Piett Dark Trooper G9 Range Trooper G8 5* Starck G10
TyrΩ,853713825,13,0,13,Troopers: Veers Piett G12 Dark Trooper Range Trooper G12 Starck R4
TyrΩ,853713825,32,0,32,EP: EP G12 Mara Jade, The Emperor's Hand G11 6* Vader G12 Thrawn G12 Malak G11 6*
AnothaGh0st,994462489,31,0,31,Troopers: Veers G11 Piett R3 Dark Trooper G11 Range Trooper G11 Starck G10
AnothaGh0st,994462489,33,0,33,CLS: CLS R3 C-3PO G10 Han G11 Chewbacca G10 Chewpio G10
AnothaGh0st,994462489,36,0,36,EP: EP G12 Mara Jade, The Emperor's Hand G9 Vader R3 Thrawn G9 Shoretrooper G8 5*
cjcrutch,827578522,41,0,41,CLS: CLS G10 C-3PO G12 Han G10 Chewbacca G9 Chewpio G8 6*
ShinyDemon,767761876,0,0,0,JMK: JMK CAT GK GAS Ahsoka
ShinyDemon,767761876,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn Malak
ShinyDemon,767761876,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
ShinyDemon,767761876,2,0,2,JMLS: JMLS JKL JKR R3 GMY HYoda
ShinyDemon,767761876,11,0,11,Troopers: Veers R3 Piett Dark Trooper R2 Range Trooper R1 Starck R3
Roger Roger,993891872,30,0,30,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
Roger Roger,993891872,43,0,43,EP: EP G9 Mara Jade, The Emperor's Hand G8 4* Vader G11 Thrawn G11 RG G8
Gorski144,831566299,24,0,24,CLS: CLS C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
Jayck Ostra,441168491,27,0,27,EP: EP Mara Jade, The Emperor's Hand G9 6* Vader R3 Thrawn G9 Malak G11 5*
Jayck Ostra,441168491,42,0,42,Troopers: Veers G9 Piett G10 Dark Trooper G9 Range Trooper G11 Starck G9
Jayck Ostra,441168491,48,0,48,CLS: CLS G9 C-3PO G9 Han G9 Chewbacca G9 Chewpio G6
Ceith Sha'Dow,454988341,30,0,30,CLS: CLS G12 C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
Ceith Sha'Dow,454988341,43,0,43,Troopers: Veers G10 Piett G10 Dark Trooper G7 Range Trooper G10 Starck G10
Tyler Sahin,231345184,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
DarthVehyl,281184365,34,0,34,EP: EP G12 Mara Jade, The Emperor's Hand G10 4* Vader R3 Thrawn G10 Shoretrooper G8 5*
iThunderPanda,519344946,20,0,20,EP: EP R4 Mara Jade, The Emperor's Hand G9 Vader Thrawn G9 Malak R4
iThunderPanda,519344946,43,0,43,Troopers: Veers G10 Piett G10 Dark Trooper G11 Range Trooper G7 Gideon G9
