Player,Offense,Defense,GP,Name,Squad,Viable
"KorikoRahl",0,1,88348,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"KorikoRahl",1,0,85012,CLS,"zzCLS zHan Chewbacca Chewpio G8, R2-D2 G8",1
"KorikoRahl",1,1,91658,Revan,"zzJKR BS GMY zJolee GK G9",1
"KorikoRahl",0,1,105133,BH,"zzBossk The Mandalorian G9, Cad Jango Boba",1
"KorikoRahl",0,1,63869,Phoenix,"Hera G8, Zeb G8, Ezra Kanan G8, Chopper G8",1
"KorikoRahl",,,48109,Phasma,"Phasma G8, FOTP G6, FOO G8, KRU G9, Kylo 6* G7",0
"KorikoRahl",,,49790,Mon Mothma,"Mon Mothma G8, Lando G8, Wedge G7, Cara Dune G8, Biggs G5",0
"KorikoRahl",1,1,56594,Carth,"Carth Onasi G9, Mission G6, Zaalbar G6, Juhani G9, Canderous",0
"KorikoRahl",1,1,101401,zEP,"EP zzzVader Tarkin TFP BSF",0
"Revahkin42",,,117986,Phasma,"zPhasma FOTP FOSFTP FOST zKylo",1
"Revahkin42",1,1,149915,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"Revahkin42",0,1,89427,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Revahkin42",1,1,86529,JTR,"zJTR Scav Rey, BB-8 R2-D2 RT",1
"Revahkin42",1,1,78803,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Revahkin42",1,0,120460,ShaakClones,"zzShaak Ti, zRex Echo (501st), zzFives ARC Trooper",1
"Revahkin42",0,1,67200,Phoenix,"Hera G9, Zeb G8, Ezra Kanan G8, Chopper G8",1
"Revahkin42",1,0,83893,EP (Counter, Rebel),"EP Shoretrooper G8, DT G8, zNest Stormtrooper G8",1
"Revahkin42",0,1,80481,padme,"Padme G9, GK JKA Ahsoka C-3PO",0
"Revahkin42",1,1,42971,NS_Alt,"MT G8, AV G8, Talia 5* G8, Daka 5* G8, Spirit 5* G8",0
"Revahkin42",0,1,67604,BH,"Bossk Cad G8, Jango G7, Boba G9, Greedo 5* G8",0
"Revahkin42",1,0,57584,Wiggs,"Wedge 5* G8, Biggs 5* G8, CLS Han G9, Leia G8",0
"Revahkin42",1,0,56749,Troopers,"Veers 5* G8, Starck 5* G7, Magma G8, Snowtrooper G8, zIden Versio 5* G8",0
"Revahkin42",1,1,36515,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 5* G8, K-2SO 5* G8, Cassian 5* G8",0
"Revahkin42",1,0,12309,SionSolo (Counter),"Sion G7",0
"Chauncey Fillups",,,122205,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Chauncey Fillups",1,1,145728,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"Chauncey Fillups",0,1,90302,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Chauncey Fillups",1,0,98118,CLS,"zzCLS zHan zChewbacca Chewpio R2-D2",1
"Chauncey Fillups",0,1,102260,BH,"zzBossk zGreef Karga, The Mandalorian, Jango Boba",1
"Chauncey Fillups",0,1,71832,Phoenix,"Hera G9, Zeb G9, Ezra G9, Kanan G9, Chopper G9",1
"Chauncey Fillups",1,0,76497,Traya,"Traya 6* G8, DN 6* G8, Sion G7, Dooku G8, zzEP",0
"Chauncey Fillups",1,1,47756,NS,"MT G8, AV 6* G8, Daka G8, Zombie 6* G8, Spirit G8",0
"Chauncey Fillups",1,0,59543,ShaakClones,"Shaak Ti G8, Rex G8, Echo (501st) G8, Fives G8, Clone Sergeant G8",0
"Chauncey Fillups",1,0,50169,Wiggs,"Wedge 6* G8, Biggs G8, Leia G8, Chirrut 5* G8, Baze 6* G8",0
"Chauncey Fillups",0,1,75898,BS,"BS G9, GMY JKA 6* GK G9, Ahsoka",0
"Booperman",0,1,93889,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Booperman",1,1,98853,Revan Offense,"zzzJKR zGMY BS zJolee Ezra G9",1
"Booperman",0,1,87407,BH,"zBossk Greef Karga, Jango Boba Greedo",1
"Booperman",1,1,98016,zEP,"zEP zzVader Tarkin TFP BSF",1
"Booperman",,,35744,Phasma,"Phasma G8, FOE 5* G8, FOO 5* G8, KRU 5* G8, Kylo 5* G8",0
"Booperman",1,1,33161,NS_Alt,"MT 5* G8, AV 5* G8, Talia 5* G8, Daka 5* G8, Spirit 5* G8",0
"Booperman",1,0,84708,ShaakClones,"zzShaak Ti 6*, zRex zEcho (501st), zzFives G9, zARC Trooper G8",0
"Booperman",1,1,63232,Ewoks,"zChirpa G8, Elder Paploo Wicket 6* Logray 6*",0
"Booperman",1,1,68438,Carth,"Carth Onasi G9, Mission Zaalbar Juhani G8, Canderous G7",0
"Booperman",0,1,52712,Phoenix,"Hera G8, Zeb G8, Kanan G8, Sabine 5* G8, Chopper G8",0
"Booperman",1,0,38719,Wiggs,"Wedge 5* G8, Biggs 5* G8, Leia G8, Chirrut 5* G8, Baze 5* G8",0
"Reignspider",0,1,86683,Geonosians,"GBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Reignspider",1,0,152215,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Reignspider",,,40564,Phasma,"Phasma G8, FOE 5* G8, FOO 5* G8, KRU 5* G8, Kylo 6* G8",0
"Reignspider",1,1,44207,NS_Alt,"MT G8, AV G8, Talia 5* G8, Daka G8, Spirit 6* G8",0
"Reignspider",1,1,81987,zEP,"EP zVader Tarkin TFP 6* G8, Mara Jade, The Emperor's Hand 6*",0
"Reignspider",0,1,54928,Phoenix,"Hera 5* G8, Zeb G8, Ezra 6* G9, Kanan G8, Chopper G9",0
"Reignspider",1,1,37057,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 5* G8, K-2SO 5* G8, Cassian G8",0
"Akneekan skywooker",,,124335,Phasma,"zPhasma FOE FOO zzKRU zKylo",1
"Akneekan skywooker",0,1,91635,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Akneekan skywooker",1,0,100748,501st,"zRex ARC Trooper, zEcho (501st), zzFives Ahsoka",1
"Akneekan skywooker",0,1,76730,Phoenix,"Hera Zeb G8, Ezra Kanan zSabine",1
"Akneekan skywooker",1,1,45306,NS_Alt,"MT 6* G8, AV G8, Talia G8, Daka G8, Spirit 5* G8",0
"Akneekan skywooker",1,1,89857,zEP,"zEP zzVader Tarkin TFP G9, Sith Trooper 4*",0
"Akneekan skywooker",0,1,61602,BH,"Bossk 4* The Mandalorian 6*, Cad G8, Boba G8, Greedo 6* G8",0
"Akneekan skywooker",1,0,47028,Troopers,"Veers G9, Starck G7, Stormtrooper G8, DT 6* G8, Snowtrooper G8",0
"Akneekan skywooker",1,1,41563,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 5* G8, K-2SO G8, Cassian G8",0
"Akneekan skywooker",,,37546,Bad Batch,"Hunter 4* G8, Echo 4* G9, Omega 5* G8, Tech 4* G9, Wrecker 4* G7",0
"Akneekan skywooker",0,1,48374,BS,"BS 5* G9, GMY G9, Jolee 4* G8, GK G1, JKA G8",0
"Calypso",0,1,86875,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Calypso",1,1,111927,Revan,"zzzJKR zBS zGMY zJolee GK",1
"Calypso",0,1,88801,BH,"zzBossk Cad Boba Embo G9, Dengar G9",1
"Calypso",1,1,88080,zEP,"zEP zVader Tarkin BSF Sion G9",1
"Calypso",0,1,78154,FO,"zKRU Kylo G9, FOE FOO FOTP",1
"Calypso",1,0,91326,Wiggs,"Wedge G8, Biggs zCLS Chewbacca zEzra",1
"Calypso",1,0,47597,QiraNest,"Qira Nest HYoda G9",1
"Calypso",,,80044,Nute-OR,"Nute Dooku Jango 6* zZaalbar Mission G8",0
"Calypso",1,1,64296,Ewoks,"Chirpa Elder 6* Paploo G9, Teebo G9, Logray 5*",0
"TheWay",,,122450,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"TheWay",1,1,159956,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"TheWay",,,165960,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"TheWay",1,1,163752,GL Rey,"zzzzzzRey zGK zzzJTR zResistance Hero Poe, zResistance Hero Finn",1
"TheWay",1,1,109421,NS,"zzMT zzAV zDaka Zombie Spirit",1
"TheWay",,,559192,Executor,"Executor 5* HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Tie Adv, TIE Reaper",1
"TheWay",,,180923,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"TheWay",,,519247,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"TheWay",1,0,150418,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzOld Ben",1
"TheWay",,,316687,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"TheWay",,,414238,HansMF,"Home One, Han's MF, Rebel Y-wing, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"TheWay",0,1,100317,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"TheWay",0,1,130717,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"TheWay",1,0,116223,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper",1
"TheWay",1,0,131033,Troopers,"zVeers zzAdmiral Piett, zMoff Gideon, zDark Trooper, Range Trooper",1
"TheWay",,,108905,Mon Mothma,"zzMon Mothma, Lando Wedge Baze Biggs",1
"TheWay",1,1,82436,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"TheWay",1,0,154110,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"TheWay",1,1,95047,Carth,"zCarth Onasi, zMission zZaalbar zVandor Chewbacca, Canderous",1
"TheWay",0,1,150220,BH,"zzBossk zJango zZam zBoba zDengar",1
"TheWay",,,92192,Iden Troopers,"zIden Versio, Shoretrooper Snowtrooper Magma zDT",1
"TheWay",0,1,70942,Phoenix,"Hera G9, Zeb G8, Ezra Kanan G9, Chopper G9",1
"TheWay",1,0,127977,QGJ,"zQGJ Aayla zJKA zzHYoda zAhsoka",1
"TheWay",1,0,16161,NestSolo (Counter),"Nest",1
"TheWay",,,113978,Bad Batch,"zHunter zEcho Omega G6, zTech zWrecker",0
"TheWay",1,0,62897,Jawas,"Nebit G7, Jawa Engineer G8, Jawa Scavenger G7, Jawa G8, Dathcha G7",0
"MINI AffectedScythe",0,1,116411,padme,"zzPadme zGK JKA zAhsoka zC-3PO",1
"MINI AffectedScythe",1,0,140456,CLS,"zzzCLS zHan zzChewbacca zR2-D2 Old Ben",1
"MINI AffectedScythe",,,438983,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"MINI AffectedScythe",,,391187,HansMF,"Home One, Han's MF, Rebel Y-wing, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"MINI AffectedScythe",0,1,96031,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"MINI AffectedScythe",0,1,108364,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
"MINI AffectedScythe",1,0,100729,Troopers,"zVeers zzAdmiral Piett, zMoff Gideon, Dark Trooper, Range Trooper",1
"MINI AffectedScythe",1,1,140831,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"MINI AffectedScythe",1,1,104392,Revan Offense,"zzzJKR zGMY BS G8, zJolee G8, zHYoda",1
"MINI AffectedScythe",0,1,124394,BH,"zzBossk Jango IG-88 Boba Dengar",1
"MINI AffectedScythe",1,1,114862,zEP,"zzEP zzzVader Tarkin G8, TFP zBSF",1
"MINI AffectedScythe",0,1,68245,Phoenix,"Hera G8, Zeb G8, Ezra G8, Kanan G8, Chopper G8",1
"MINI AffectedScythe",,,63200,Phasma,"Phasma G7, FOE G8, FOO G7, KRU G8, Kylo G8",0
"MINI AffectedScythe",,,263736,Malevolence,"Malevolence Hyena Bomber 5*, Vulture Droid 5*, Sun Fac SF, Soldier SF, Spy SF",0
"MINI AffectedScythe",1,1,68843,NS,"MT G7, zzAV Daka G7, Zombie G7, Spirit G7",0
"MINI AffectedScythe",1,0,81720,Traya,"zTraya G7, DN G7, Sion G7, zDooku zThrawn",0
"MINI AffectedScythe",,,108242,Mon Mothma,"zzMon Mothma, Lando zCassian G8, Wedge Biggs",0
"MINI AffectedScythe",1,1,65681,Carth,"Carth Onasi G9, Mission G7, Zaalbar G7, Juhani Canderous",0
"MINI AffectedScythe",,,70229,Iden Troopers,"zIden Versio 5* G8, Shoretrooper Snowtrooper G9, Magma G9, DT",0
"MINI AffectedScythe",,,71381,Mando,"zThe Mandalorian (Beskar Armor), Dash Rendar 3* G7, Nest G7, IG-11 G8, Kuiil",0
"MINI AffectedScythe",,,60907,Bad Batch,"zHunter 4* G9, zEcho 6* G9, Omega 6* G8, Tech 4* G8, zWrecker 5* G9",0
"Unicorncakes",0,1,86816,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Unicorncakes",1,1,124925,Revan Offense,"zzzJKR zzGMY zBS zJolee Ezra",1
"Unicorncakes",1,1,94053,zEP,"zzEP zzzVader Tarkin TFP G8, BSF G8",1
"Unicorncakes",1,0,58702,Wiggs,"Wedge G8, Biggs G8, CLS G8, Fulcrum G8, Leia G8",1
"Unicorncakes",0,1,68334,Phoenix,"Hera Zeb G8, Kanan G9, Sabine Chopper G9",1
"Unicorncakes",,,43509,Phasma,"Phasma G8, FOE 5* G8, FOO G8, KRU 5* G8, Kylo G8",0
"Unicorncakes",0,1,78010,padme,"Padme G8, GK 6* G8, JKA G9, zAhsoka zBarriss",0
"Unicorncakes",1,1,46444,NS_Alt,"MT 6* G8, AV G8, Talia G8, Daka G8, Spirit 6* G8",0
"Unicorncakes",1,1,49935,Carth,"Carth Onasi 6* G7, Mission G7, Zaalbar G7, Juhani G7, Canderous G7",0
"Unicorncakes",1,0,67159,Troopers,"zVeers Starck G5, Dark Trooper G8, Snowtrooper G8, Moff Gideon",0
"Unicorncakes",1,0,52690,Rex (Counter),"Rex G8, DN G8, Chirrut 5* G8, Baze 6* G8, R2-D2 G9",0
"Unicorncakes",1,0,55107,Thragma (Counter),"zThrawn Magma G7, DT 6* G8, Stormtrooper G8, Shoretrooper 6* G9",0
"Ewokalypse",,,184557,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Ewokalypse",,,177665,LV,"zzzzzzLord Vader, zzAdmiral Piett, zzMaul zRG zzzVader",1
"Ewokalypse",,,113363,Phasma,"zPhasma FOTP FOSFTP FOST Kylo",1
"Ewokalypse",1,1,163666,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"Ewokalypse",,,170654,SEE,"zzzzzzSEE zBSF zzMalak zzzDR Dooku",1
"Ewokalypse",1,1,110503,NS,"zMT zAV zDaka Zombie Spirit",1
"Ewokalypse",,,578665,Executor,"Executor HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Ewokalypse",,,162389,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"Ewokalypse",,,519364,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"Ewokalypse",1,0,147894,CLS,"zzzCLS zHan zzChewbacca zR2-D2 Old Ben",1
"Ewokalypse",,,338583,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Ewokalypse",,,451103,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Ewokalypse",0,1,109551,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Ewokalypse",0,1,135106,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Ewokalypse",,,114692,Mon Mothma,"zzMon Mothma, Bistan Scarif Wedge Biggs",1
"Ewokalypse",,,116567,Disintegration,"Aurra zGreef Karga, Boba zBossk zThe Mandalorian",1
"Ewokalypse",1,1,69537,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Ewokalypse",1,0,153399,ShaakClones,"zzShaak Ti, zRex Echo (501st), zzFives zARC Trooper",1
"Ewokalypse",1,1,79689,Carth,"Carth Onasi, Mission Zaalbar Juhani G8, Canderous",1
"Ewokalypse",0,1,139547,BH,"zJango Cad Zam Dengar zNest",1
"Ewokalypse",1,0,122018,Troopers,"zVeers zStarck Dark Trooper, DT Range Trooper",1
"Ewokalypse",0,1,66505,Phoenix,"Hera Zeb Ezra Kanan Sabine G8",1
"Ewokalypse",1,0,109394,EP (Counter, Rebel),"EP Shoretrooper Krennic Wampa Stormtrooper",1
"Ewokalypse",1,0,10690,SionSolo (Counter),"Sion G8",1
"Ewokalypse",1,1,51219,Rogue1,"Jyn G8, Chirrut 6* G8, Baze G8, K-2SO G8, Cassian G8",0
"Ewokalypse",1,0,116645,zMaul,"Darth Maul, DN Sidious Sith Empire Trooper, Sith Marauder",0
"Ebwoh",0,1,122523,padme,"zzPadme zGK JKA zAhsoka C-3PO",1
"Ebwoh",0,1,93065,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Ebwoh",,,314044,HansMF,"Home One, Han's MF 6*, HT Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Ebwoh",0,1,123032,Grievous,"zGG zB2 zB1 zDroideka MagnaGuard",1
"Ebwoh",1,1,94405,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Ebwoh",0,1,106840,BH,"zBossk Cad Jango Boba Dengar G9",1
"Ebwoh",1,1,92738,zEP,"zzEP zzzVader Tarkin DT G8, TFP",1
"Ebwoh",0,1,71092,FO,"zzKRU Kylo G8, FOE G9, FOO G9, FOST G8",1
"Ebwoh",1,0,70002,Wiggs,"Wedge G8, Biggs G8, CLS G8, zEzra Leia G9",1
"Ebwoh",1,1,64265,JTR,"JTR G4, Scav Rey, BB-8 G8, R2-D2 G9, Finn G9",0
"Ebwoh",1,1,66593,GAS,"GAS 5* G7, Rex G9, Echo (501st) G8, zFives G9, ARC Trooper G8",0
"Ebwoh",1,1,56654,NS_Alt,"MT G8, AV Talia G8, Daka G8, Spirit G8",0
"Ebwoh",1,1,48432,Carth,"Carth Onasi 5* G6, Mission G7, Zaalbar G7, Juhani 3* G6, Canderous G4",0
"Ebwoh",1,0,52545,Troopers,"Veers G8, Starck G8, Stormtrooper G8, Snowtrooper G8, Admiral Piett 4* G7",0
"Ebwoh",0,1,62615,Phoenix,"Hera Zeb G8, Kanan G8, Sabine 5* G8, Chopper",0
"Ebwoh",1,1,61842,Rogue1,"Jyn G8, Chirrut G8, Baze 6* G8, K-2SO G8, Cassian G9",0
"Tzu Win",0,1,139933,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Tzu Win",0,1,93111,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Tzu Win",0,1,121151,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Tzu Win",1,1,139341,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Tzu Win",1,1,132386,Revan Offense,"zzzJKR zzGMY zBS zJolee Ezra",1
"Tzu Win",1,1,96345,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Tzu Win",1,1,116636,zEP,"zzEP zzzVader Tarkin zKrennic TFP G8",1
"Tzu Win",1,0,95470,Wiggs,"Wedge G8, Biggs G8, zzzCLS zHan Fulcrum",1
"Tzu Win",,,53678,Phasma,"Phasma G8, FOTP G7, FOSFTP G4, FOST 5* G8, Kylo G8",0
"Tzu Win",1,1,57944,NS,"MT 5* G8, zAV Daka G8, Zombie 4* G4, Spirit 5* G8",0
"Tzu Win",1,0,81909,Traya,"Traya G8, DN G9, Sion 5* G3, zDooku 6* zzThrawn",0
"Tzu Win",,,56359,Mon Mothma,"Mon Mothma 5* G4, Hoth Rebel Soldier 6* G9, K-2SO G8, Bistan G8, Hoth Rebel Scout G8",0
