Player,Offense,Defense,GP,Name,Squad,Viable
"Corran Horn",0,1,69473,Qira,"Qira G8, L3-37 G8, Vandor Chewbacca G8, zMission zZaalbar",1
"Corran Horn",,,534704,Executor,"Executor 6* HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Corran Horn",,,298731,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Corran Horn",0,1,92169,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Corran Horn",1,0,92267,CLS,"zzCLS Han Chewbacca R2-D2 G9, zzC-3PO G9",1
"Corran Horn",1,1,101733,Revan,"zzJKR BS zGMY zJolee GK G9",1
"Corran Horn",1,1,81700,Ewoks,"zChirpa Elder zPaploo Wicket zLogray",1
"Corran Horn",0,1,130098,BH,"zzBossk Cad zDengar IG-88 Boba",1
"Corran Horn",1,1,124036,zEP,"zzEP zzzVader Tarkin Krennic TFP",1
"Corran Horn",0,1,90082,BH,"zJango The Mandalorian, Zam G8, zzAurra G8, zGreef Karga",1
"Corran Horn",1,0,64734,Wampa (Counter),"Rex G8, zWampa DT G9, Jyn G8, FOO G8",1
"Corran Horn",0,1,72219,Phoenix,"Hera G9, Zeb G8, Chopper G9, zKanan G8, zEzra",1
"Corran Horn",1,0,59223,Wiggs,"Wedge G8, Biggs G8, Leia Chirrut G8, Baze G8",1
"Corran Horn",1,0,62401,Jawas,"Nebit G8, Jawa Engineer, Jawa Scavenger G8, Jawa Dathcha G9",1
"Corran Horn",1,0,13995,NestSolo (Counter),"Nest",1
"Corran Horn",,,48599,Phasma,"Phasma G8, FOTP G6, FOSFTP G5, FOST G8, Kylo G9",0
"Corran Horn",0,1,97351,DR,"DR HK-47 zBSF Sith Marauder, zzThrawn",0
"Corran Horn",1,1,50369,NS,"MT G9, AV G8, Daka G9, Zombie G8, Spirit G8",0
"Corran Horn",,,67557,Mon Mothma,"zzMon Mothma G8, Cara Dune G8, Hoth Rebel Scout G9, Kyle Katarn G9, Cassian G9",0
"Corran Horn",1,0,93779,Troopers,"Veers Starck Snowtrooper G8, zzAdmiral Piett, Range Trooper G8",0
"MasterOogway",1,1,108944,Revan,"zzzJKR zBS GMY zJolee GK G8",1
"MasterOogway",0,1,94569,BH,"zzBossk Cad Jango Boba Greef Karga",1
"MasterOogway",0,1,133217,FO,"zzKRU zKylo FOE FOST zHux",1
"MasterOogway",0,1,68136,Phoenix,"Hera G8, Zeb G8, Chopper G8, Kanan G8, Ezra G8",1
