Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Mol Eliza",213112799,2212312,1291654,920658,140,-6,108,139,710540,581114,23,0,39,0,70,5,8,15,34,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2
"blinke",685293259,2388951,1243374,1145577,108,-508,176,206,529484,713890,27,3,72,1,94,11,14,21,35,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,4,3,0
"Oryoshi",949926592,2928636,1757263,1171373,150,135,56,71,1028404,728859,29,0,4,0,141,0,1,19,39,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3
"CT 24601 JVJ",674443785,2759522,1633476,1126046,145,-390,116,134,743506,889970,27,5,31,0,106,5,6,25,41,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3
"Dj Power",397388146,6525322,3820645,2704677,141,166,123,426,2265451,1555194,114,0,442,2,240,72,81,109,121,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,20,11,11
"Insidious",822118635,2348046,1355992,992054,136,-100,213,286,714443,641549,35,2,71,0,97,11,16,37,49,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,8,7,3
"Vizsla Valarian",712487456,3003078,1562967,1440111,108,-363,460,258,721763,841204,35,3,103,1,129,12,23,34,48,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,7,5,3
"Saint Dane",481529249,2570136,1488645,1081491,137,-343,40,182,695030,793615,23,1,35,0,120,3,13,27,58,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,6,4
"Tris Tano",585139155,2215252,1319178,896074,147,146,257,304,775618,543560,32,3,82,0,88,15,17,34,48,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,10,8,4
"Icefireshoto",251122776,1588947,1049926,539021,194,-179,57,100,532689,517237,16,2,5,0,88,1,1,14,35,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,1
"Obi Lor Vorru",847682917,5501175,3019826,2481349,121,38,427,265,1694893,1324933,81,7,220,1,223,32,46,56,84,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,15,9,6
"Hawsmo",624415876,3227645,1764793,1462852,120,-182,90,114,894058,870735,23,1,34,0,164,6,10,20,44,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,7,4,3
