Player,Offense,Defense,GP,Name,Squad,Viable
"Ashen Raen",1,1,92499,NS,"zMT zAV Daka Zombie Spirit",1
"Ashen Raen",0,1,131964,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Ashen Raen",,,472351,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"Ashen Raen",0,1,101927,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Ashen Raen",0,1,122225,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Ashen Raen",1,1,141522,GAS,"zzzzGAS Rex zEcho (501st), zzFives zARC Trooper",1
"Ashen Raen",1,1,93271,Ewoks,"zChirpa Elder Paploo zWicket Logray",1
"Ashen Raen",0,1,119972,BH,"zzBossk zJango Boba G8, zDengar zZam",1
"Ashen Raen",,,97579,Bad Batch,"zHunter zEcho zzOmega Tech zWrecker",1
"Ashen Raen",,,38974,Phasma,"Phasma 5* G8, FOTP 2* G8, FOE 5* G8, KRU 5* G8, Kylo 5* G8",0
"Ashen Raen",,,280074,Malevolence,"Malevolence 5* Hyena Bomber, Vulture Droid 6*, Sun Fac SF, Soldier SF, Spy SF",0
"Ashen Raen",1,1,69586,zEP,"EP G8, Vader G8, Tarkin G8, zTraya G9, DN 6* G8",0
"Ashen Raen",1,0,42975,Wiggs,"Wedge 5* G8, Biggs G8, Han G7, Ezra 5* G8, Leia 5* G8",0
"Ashen Raen",1,1,52576,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 6* G8, Admiral Raddus 3* G8, K-2SO G8",0
"Ashen Raen",0,1,44226,Phoenix,"Hera 5* G8, Chopper 5* G8, Kanan 5* G8, Zeb G8, Sabine 5* G8",0
"Ashen Raen",1,0,11002,NestSolo (Counter),"Nest 5* G9",0
"Luffy",0,1,121008,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Empire Trooper",1
"Luffy",0,1,127532,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Luffy",,,431270,Negotiator,"Negotiator 6* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Luffy",1,0,117645,CLS,"zzzCLS Han zzChewbacca R2-D2 Old Ben",1
"Luffy",0,1,90393,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Luffy",1,1,137591,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Luffy",1,1,128258,Revan Offense,"zzzJKR zGMY BS zJolee zzHYoda",1
"Luffy",1,1,88828,Ewoks,"zChirpa Elder zPaploo Teebo zWicket",1
"Luffy",0,1,98321,BH,"zzBossk Jango Boba IG-88 Cad",1
"Luffy",1,1,90188,zEP,"zEP zzzVader Tarkin TFP G8, Traya G8",1
"Luffy",0,1,71670,Phoenix,"Hera G8, Chopper Kanan G8, Zeb G8, Ezra",1
"Luffy",1,1,90031,NS,"MT zAV Daka Zombie Spirit",0
"Luffy",0,1,104778,Grievous,"zGG zB2 zB1 MagnaGuard Nute",0
"Luffy",1,1,85467,Carth,"zCarth Onasi, zMission zZaalbar zJuhani Canderous G7",0
"Luffy",1,0,11040,SionSolo (Counter),"Sion 5* G9",0
"Lakitu",0,1,136918,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Lakitu",0,1,98463,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Lakitu",0,1,129035,Grievous,"zzGG zB2 zB1 zDroideka zMagnaGuard",1
"Lakitu",1,1,120900,GAS,"zzzzGAS zRex zEcho (501st), zFives zARC Trooper",1
"Lakitu",1,1,90199,Ewoks,"zChirpa Elder Paploo zWicket zLogray",1
"Lakitu",0,1,78738,BH,"zzJango Boba G8, IG-88 G8, Zam Greedo G8",1
"Lakitu",0,1,80583,Phoenix,"zHera Chopper Kanan G8, zZeb G8, zEzra",1
"Lakitu",,,45189,Phasma,"Phasma G8, FOE 6* G9, FOO G8, KRU 6* G8, Kylo 6* G8",0
"Lakitu",1,1,61010,NS_Alt,"MT G8, zAV Talia G8, Spirit G8, Daka G8",0
"Lakitu",1,1,66492,zEP,"EP G8, zVader G8, Tarkin TFP G9, DN 6* G9",0
"Lakitu",1,0,56692,Wiggs,"Wedge 5* G8, Biggs G8, CLS G8, Han G6, zLeia G9",0
"Lakitu",1,1,50168,Rogue1,"Jyn G8, Chirrut 5* G8, Baze 5* G8, Cassian G8, K-2SO G8",0
"Lakitu",,,48213,Bad Batch,"Hunter 4* G9, Echo 4* G9, Omega 5* G6, zTech 4* G9, Wrecker G8",0
"Gmax312",0,1,121440,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Gmax312",1,0,138378,CLS,"zzzCLS zHan zChewbacca R2-D2 Old Ben",1
"Gmax312",,,390677,HansMF,"Home One, Han's MF, Rebel Y-wing, Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Gmax312",0,1,93014,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Gmax312",1,1,73435,Ewoks,"zChirpa G8, Elder Paploo G9, Wicket Logray G9",1
"Gmax312",0,1,80873,BH,"zBossk Jango Boba G8, Greef Karga G8, Cad G8",1
"Gmax312",0,1,62291,Phoenix,"Hera G8, Chopper G8, Kanan G8, Zeb G8, Ezra",1
"Gmax312",,,52547,Phasma,"Phasma G8, FOE 5* G8, FOO G8, KRU G8, Kylo G8",0
"Gmax312",,,125958,JMLS,"BS G9, zzzzzzJMLS zHYoda zJKL Jolee G8",0
"Gmax312",,,390995,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 5*, Clone Sergeant's ARC-170 6*, Plo Koon's Jedi Starfighter",0
"Gmax312",0,1,66669,Grievous-Wat,"GG G9, B2 G8, B1 MagnaGuard G7, Wat Tambor 5* G7",0
"Gmax312",1,0,77611,Troopers,"zVeers G9, zAdmiral Piett G7, Moff Gideon G8, Dark Trooper, Range Trooper 4* G6",0
"Gmax312",,,110528,Mon Mothma,"zzMon Mothma, Lando Wedge Biggs zPao G8",0
"Gmax312",1,1,47140,NS_Alt,"MT G8, AV G8, Talia G8, Spirit G8, Daka 6* G8",0
"Gmax312",1,0,85472,ShaakClones,"Shaak Ti G8, Rex Echo (501st) G8, zFives ARC Trooper G8",0
"Gmax312",1,1,81467,zEP,"zEP G9, zzVader Tarkin G9, DT 6* G8, Mara Jade, The Emperor's Hand 3* G8",0
"Gmax312",1,1,46536,Rogue1,"Jyn 6* G8, Chirrut 5* G8, Baze 6* G8, Bistan G7, K-2SO G8",0
"Gmax312",1,0,13125,NestSolo (Counter),"Nest G7",0
"ConnorPhillipz2",1,1,130023,NS,"zzMT zzAV zDaka Zombie Spirit",1
"ConnorPhillipz2",0,1,104729,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"ConnorPhillipz2",0,1,96429,Grievous,"zzGG zB2 zDroideka zMagnaGuard IG-88",1
"ConnorPhillipz2",1,1,134528,Revan,"zzzJKR zBS zGMY zJolee GK",1
"ConnorPhillipz2",1,0,93681,501st,"zRex ARC Trooper, zEcho (501st), zzFives Ahsoka",1
"ConnorPhillipz2",0,1,102870,FO,"zzKRU zKylo zHux 6* FOE FOO",1
"ConnorPhillipz2",1,1,73508,Ewoks,"Chirpa G9, Elder Paploo Teebo G8, Logray G9",0
"ConnorPhillipz2",0,1,73760,BH,"Bossk 3* G9, Boba G9, Dengar G9, Greef Karga G9, The Mandalorian",0
"ConnorPhillipz2",,,119440,Bad Batch,"zHunter zEcho zzOmega 5* G9, zTech zWrecker",0
"7even Dark",,,110495,Phasma,"zPhasma FOE FOO zzKRU zKylo",1
"7even Dark",,,159295,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"7even Dark",0,1,101336,padme,"zzPadme 6* zGK zJKA Ahsoka G8, zBarriss",1
"7even Dark",1,1,120545,NS_Alt,"zzMT zzAV Talia Zombie zDaka",1
"7even Dark",0,1,113061,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"7even Dark",1,0,106727,Traya,"zzTraya zzDN zSion G9, Sith Empire Trooper G9, zzThrawn",1
"7even Dark",1,1,109835,JTR,"zzzJTR zScav Rey, zzBB-8 zzR2-D2 G8, zFinn",1
"7even Dark",,,98501,Disintegration,"Aurra G9, Greef Karga G8, zBoba zzBossk zzThe Mandalorian",1
"7even Dark",1,1,127574,Revan Offense,"zzzJKR zzGMY zBS zJolee HYoda G8",1
"7even Dark",1,1,91185,Ewoks,"zChirpa Elder zPaploo Teebo G9, zLogray",1
"7even Dark",1,1,102470,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"7even Dark",0,1,103527,BH,"zzJango zDengar G9, Cad zzEmbo zGreedo",1
"7even Dark",1,0,99803,Clones,"zCody zRex zEcho (501st), zzFives zARC Trooper",1
"7even Dark",0,1,86619,Phoenix,"Hera G8, zKanan G9, zZeb G8, zSabine zEzra",1
"7even Dark",1,0,89605,Wiggs,"Wedge G8, Biggs G9, zzzCLS zFulcrum zLeia G9",1
"7even Dark",1,0,129782,zMaul,"zDarth Maul, zDooku zSidious zSavage Sith Marauder",1
"7even Dark",1,0,90286,Troopers,"zVeers zzAdmiral Piett, zzMoff Gideon G9, Dark Trooper 5* G3, Range Trooper G6",0
"7even Dark",0,1,69119,Grievous,"GG G9, B2 6* G5, MagnaGuard G7, IG-88 T3-M4",0
"7even Dark",,,70288,Mon Mothma,"Mon Mothma 5* G6, Lando G9, Jyn G8, Chirrut K-2SO G8",0
"7even Dark",1,0,124519,EP (Counter, Rebel),"zzEP zKrennic zzWampa Stormtrooper G6, zStarck",0
"7even Dark",1,0,63774,Jawas,"Nebit G7, Jawa Engineer G7, Jawa Scavenger G7, Jawa G7, Dathcha G8",0
"7even Dark",1,0,8721,NestSolo (Counter),"Nest 4* G7",0
"FynnXninja",,,565075,Executor,"Executor 5* HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"FynnXninja",0,1,98024,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"FynnXninja",0,1,110275,DR,"zzzDR HK-47 zBSF Sith Marauder, zzThrawn",1
"FynnXninja",,,110394,Disintegration,"Aurra Greef Karga, zBoba zzBossk The Mandalorian",1
"FynnXninja",1,1,110894,Revan,"zzzJKR BS zGMY zJolee zGK",1
"FynnXninja",1,1,85277,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"FynnXninja",1,0,128133,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"FynnXninja",1,1,98585,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"FynnXninja",1,1,124146,zEP,"zzEP zzzVader Tarkin TFP zDN",1
"FynnXninja",1,0,75101,Wiggs,"Wedge G8, Biggs zzCLS Han G9, Leia G8",1
"FynnXninja",0,1,58031,Phoenix,"Hera G8, Chopper G8, Kanan G8, Zeb G8, Ezra G8",1
"FynnXninja",0,1,85770,Grievous,"GG B2 G9, B1 Droideka G8, zIG-88",0
"FynnXninja",1,1,63885,NS,"MT G5, AV Daka G9, Zombie G6, Spirit G8",0
"FynnXninja",1,0,85590,Troopers,"zVeers Starck zzAdmiral Piett, Snowtrooper G4, Shoretrooper 6* G8",0
"FynnXninja",0,1,63787,FO,"KRU G7, zKylo Hux G8, Phasma G7, FOTP G8",0
"FynnXninja",1,0,62755,Jawas,"Nebit G8, Jawa Engineer G9, Jawa Scavenger G7, Jawa G8, Dathcha",0
"DarthAtreyu",,,121987,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"DarthAtreyu",1,1,153654,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"DarthAtreyu",0,1,99145,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"DarthAtreyu",0,1,106090,BH,"zzBossk zBoba zDengar Cad zGreedo",1
"DarthAtreyu",1,0,80669,Wiggs,"Wedge G8, Biggs G8, zCLS zHan Ezra",1
"DarthAtreyu",1,1,135178,zEP,"zzEP zzzVader zzTarkin zDooku zKrennic",1
"DarthAtreyu",0,1,109691,padme,"zzPadme zGK zJKA zAhsoka Fives G2",0
"DarthAtreyu",1,1,86300,JTR,"JTR Scav Rey, BB-8 zR2-D2 zFinn G9",0
"DarthAtreyu",0,1,73587,Phoenix,"zHera Chopper zKanan Zeb G8, Sabine 5* G4",0
"Nathanx15",,,122742,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Nathanx15",1,1,142082,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn G9",1
"Nathanx15",0,1,122583,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Marauder",1
"Nathanx15",0,1,93789,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Nathanx15",1,0,96463,CLS,"zzzCLS zHan Chewbacca Chewpio G8, R2-D2 G8",1
"Nathanx15",1,1,109751,Revan Offense,"zzzJKR zGMY BS zJolee Ezra",1
"Nathanx15",0,1,114439,BH,"zzBossk Boba Dengar IG-88 Cad",1
"Nathanx15",1,1,113506,zEP,"zzEP zzVader Tarkin TFP DN G9",1
"Nathanx15",1,0,13881,SionSolo (Counter),"Sion G8",1
"Nathanx15",0,1,67414,padme,"Padme G8, GK G7, JKA Ahsoka Barriss G6",0
"Nathanx15",,,280464,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter 3*, Umbaran Starfighter 5*, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 2*, Clone Sergeant's ARC-170 5*, Plo Koon's Jedi Starfighter 6*",0
"Nathanx15",,,244745,HansMF,"Home One 6*, Han's MF, Rebel Y-wing 4*, Bistan's U-wing 4*, Phantom 6* Ghost 6* Cassian's U-wing 5*, Wedge X-wing",0
"Nathanx15",1,0,86006,Troopers,"Veers zzAdmiral Piett, Moff Gideon, Dark Trooper, Range Trooper G8",0
"Nathanx15",,,69140,Nute-OR,"Nute G6, Dooku Jango G7, zZaalbar Mission",0
"Nathanx15",1,1,55327,NS,"MT G8, AV 6* G9, Daka G9, Zombie G8, Spirit G8",0
"Nathanx15",1,0,76566,ShaakClones,"Shaak Ti G8, Rex Echo (501st) G9, zFives G8, ARC Trooper G8",0
"Nathanx15",,,48247,Iden Troopers,"Iden Versio 3* G8, Stormtrooper G8, Snowtrooper G8, Magma 4* G7, DT 6* G8",0
"Nathanx15",0,1,60959,Phoenix,"Hera G8, Chopper G8, Kanan G8, Zeb G8, Sabine 5* G8",0
"Nathanx15",1,0,52827,Wiggs,"Wedge 6* G8, Biggs G8, Leia G8, Chirrut 5* G8, Baze 6* G8",0
"Andru22",0,1,96290,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Andru22",1,1,109775,Revan,"zzzJKR zBS zzGMY zJolee GK G9",1
"Andru22",1,1,90142,Ewoks,"zChirpa Elder Paploo zWicket zLogray",1
"Andru22",1,0,139493,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Andru22",0,1,86329,BH,"zBossk Jango Boba Dengar G8, zGreef Karga G8",1
"Andru22",1,1,126558,zEP,"zzEP zzzVader Tarkin zSith Trooper, zBSF",1
"Andru22",0,1,78193,Phoenix,"Hera G9, Chopper zKanan zZeb G8, Ezra G9",1
"Andru22",1,0,75476,CLS,"zCLS Han G8, Chewbacca G8, R2-D2 Stormtrooper Han",0
"Andru22",1,1,62699,NS,"MT G8, AV Daka G8, Zombie Spirit G8",0
"Andru22",1,1,61113,Carth,"zCarth Onasi, Mission G6, Zaalbar G7, Juhani 6* G9, Canderous G7",0
"Andru22",1,0,46353,Troopers,"Veers G7, Starck G7, Moff Gideon 4* G9, Stormtrooper G8, Shoretrooper G7",0
"Andru22",0,1,67386,FO,"zzKRU Kylo G8, Hux 3* G8, Phasma G8, FOE",0
"Andru22",,,76548,Bad Batch,"zHunter 5* zEcho 4* zzOmega 6* G8, zTech 4* zWrecker 5*",0
"Andru22",1,0,48694,Jawas,"Nebit G7, Jawa Engineer G8, Jawa Scavenger G7, Jawa G8, Dathcha G9",0
