Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Nathanx15",779648964,4089461,2323407,1766054,131,-343,197,210,1084647,1238760,41,3,115,1,132,17,23,40,56,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,9,6,5
"LordLona",562299472,4328230,2588880,1739350,148,-8,108,177,1422742,1166138,67,5,55,0,177,3,14,52,82,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,14,12,6
"Andrew 006",652614445,5929028,3541083,2387945,148,-47,64,222,1912338,1628745,105,3,169,0,207,21,33,65,102,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,20,12,12
"Ashen Raen",331531321,3198304,1876765,1321539,142,139,133,305,1100313,776452,47,5,129,0,95,18,26,46,55,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,9,7,3
"MINI Andak",125136757,3283392,2030926,1252466,162,-97,275,193,1071400,959526,61,2,72,0,108,8,16,33,50,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,7,3
"Mini jennayliz",171376954,3333249,2002093,1331156,150,-7,74,231,1101065,901028,41,2,75,0,136,5,20,42,66,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,9,5
"7even Dark",332615312,5450135,3368231,2081904,161,-132,100,229,1747574,1620657,121,5,160,1,191,14,37,56,81,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16,9,9
"Dark AaronD",912793745,6740309,4163244,2577065,161,110,93,363,2410653,1752591,155,4,336,2,214,48,70,108,135,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,21,12,9
"Wayne",863479912,4214202,2458745,1755457,140,258,260,348,1513489,945256,87,3,210,0,171,30,45,60,76,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,12,9,6
"FynnXninja",726142322,3843843,2200494,1643349,133,-170,222,238,1121596,1078898,52,4,98,0,169,14,22,50,70,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,7,6
