Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Mol Eliza",719525127,3570418,2302620,1267798,181,-7,117,220,1261553,1041067,57,3,94,0,121,9,21,39,67,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9,8,4
"PhailHaüs",941664951,4219206,2413385,1805821,133,237,215,303,1468533,944852,49,2,201,1,173,33,37,51,73,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,13,8,7
"Fen Ryr Ω",527968993,4263612,2437999,1825613,133,276,90,182,1507408,930591,50,4,95,0,182,13,22,37,69,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,13,7,7
"champagnejustin",634353214,2458855,1552407,906448,171,-8,96,278,850223,702184,19,0,17,0,93,2,24,41,56,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,6,2
"BenWey",537663123,3362767,1859100,1503667,123,-82,172,216,984113,874987,38,0,84,0,135,7,19,37,63,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,12,9,5
"Zombie",642964183,4642278,2443826,2198452,111,-355,163,244,1128647,1315179,48,4,162,1,151,23,31,50,62,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,12,5,6
"Badgerfan",862925557,4427427,2442280,1985147,123,304,245,294,1526768,915512,42,0,197,1,195,32,41,50,67,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,13,9,6
"Xaniken Flywalker",147431224,2938820,1779739,1159081,153,-5,151,234,976310,803429,39,4,85,0,96,15,17,35,52,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,6,6,2
"Revan110603",752954966,2581740,1473575,1108165,132,-544,223,290,611560,862015,49,0,100,1,98,12,21,34,47,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,5,4,2
"Vesper",118557866,3257240,1746963,1510277,115,-151,406,336,894904,852059,51,0,143,0,122,18,33,48,61,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,12,9,6
"JustSomeGuy",125728594,3895600,2230838,1664762,134,149,183,253,1309051,921787,65,1,109,1,154,12,30,47,76,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,12,8,6
"Keiths on Tap",968998882,5127735,2949813,2177922,135,-114,223,384,1538665,1411148,78,4,332,1,181,51,57,74,92,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,15,9,7
"Falkor",159633194,4277003,2622831,1654172,158,158,122,244,1545292,1077539,74,4,127,0,172,14,31,48,69,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,14,10,7
"Mos Harris Cantina",965656478,3229267,1998347,1230920,162,70,240,396,1133754,864593,56,1,130,0,120,13,33,69,79,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,13,10,6
"DarthDidi",576815337,3346947,1749352,1597595,109,-140,205,284,900886,848466,39,2,146,0,101,25,27,39,49,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,11,7,4
"EthanC",866312437,3043555,1804031,1239524,145,-574,133,299,735215,1068816,49,2,126,1,104,15,25,41,59,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,7,5,3
"Scott Brooksbank",388284847,5275739,2965845,2309894,128,126,91,213,1723326,1242519,86,5,127,1,217,15,27,60,98,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,15,10,7
"Zephen",161145221,4828736,2684557,2144179,125,6,208,340,1480155,1204402,87,3,273,2,160,42,51,59,77,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,13,7,6
"Ooblick",179313524,2876705,1769584,1107121,159,237,209,297,1076811,692773,66,1,118,1,110,17,25,37,59,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,7,4,5
"Slide",686227566,4164718,2031618,2133100,95,-473,546,339,879047,1152571,77,3,211,1,143,30,40,59,67,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,12,7,5
"ShadowFang423",878662582,4891650,3030474,1861176,162,-111,46,165,1582756,1447718,90,0,79,1,202,11,21,44,87,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,15,10,6
"Chrisi",751865582,4078565,2332109,1746456,133,-371,175,276,1067525,1264584,54,3,174,1,139,23,34,44,53,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,10,5,5
"Ug II",957613321,4852788,2602003,2250785,115,51,345,272,1464073,1137930,74,4,211,1,185,29,40,50,68,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,14,6,5
"ToCorr",529831859,3080298,1963241,1117057,175,94,173,308,1125248,837993,75,4,135,1,122,19,26,42,55,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,10,8,5
"Viktor Maximus20",851785135,4799216,2687486,2111730,127,-16,74,148,1466969,1220517,50,2,87,1,226,11,19,35,63,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,15,9,9
"boolsis",253523842,6967826,4124855,2842971,145,-106,172,634,2159448,1965407,55,1,684,2,262,89,146,159,165,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,17,6,6
"RagnarKenobi",462421887,2905628,1756740,1148888,152,157,85,262,1034197,722543,41,2,86,0,107,15,18,41,51,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,6,5
"NovaDawn",384495293,2963108,1651962,1311146,125,-220,248,225,817967,833995,51,0,69,0,110,6,16,37,62,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,12,10,5
"Noster",685211787,4601606,2670088,1931518,138,-180,131,272,1348700,1321388,60,4,162,1,184,15,37,56,78,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,13,8,6
