Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Savage Opress,332968426,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
GrandMoffVarthul,446338585,30,2,28,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G9 4* Traya G9
MINI P5ych0,437481762,23,12,11,Vader P1 10%: Vader KRU Wat Tambor G7 C-3PO Shaak Ti
Thalias,273671943,29,7,22,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G8
DarthDidi,576815337,20,4,16,Vader P1 10%: Vader KRU G8 Wat Tambor G12 C-3PO Shaak Ti
Chrisi,751865582,36,13,23,Vader P1 10%: Vader KRU G12 Wat Tambor G11 6* C-3PO G8 5* Shaak Ti
Xaniken Flywalker,147431224,32,0,32,Vader+Nute 12%: Vader G12 Nute Thrawn G8 Wat Tambor G10 4* Traya G10 6*
Mol Eliza,719525127,33,9,24,Vader+Nute 12%: Vader Nute G9 Thrawn G11 Wat Tambor Traya G10
Ooblick,179313524,22,1,21,Vader P1 10%: Vader R3 KRU G7 Wat Tambor G10 C-3PO Shaak Ti
Mos Harris Cantina,965656478,23,0,23,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor Traya G7
Fireheadjake,471697669,38,0,38,Vader+Nute 12%: Vader G12 Nute G9 Thrawn G12 Wat Tambor Traya G1
Jace,652137157,54,0,54,Vader+Nute 12%: Vader G8 Nute G8 Thrawn G7 Wat Tambor G5 5* Traya G8
Daniel,498517398,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
JarJare Dingari,585258357,41,0,41,Vader+Nute 12%: Vader Nute G8 Thrawn G8 Wat Tambor G7 4* Traya G8
PhailHaüs,941664951,34,0,34,Vader P1 10%: Vader G8 KRU G10 Wat Tambor G2 C-3PO BB-8
JustSomeGuy,125728594,37,0,37,Vader+Nute 12%: Vader R3 Nute G9 Thrawn G9 Wat Tambor G11 Traya G8
BenWey,537663123,42,0,42,Vader+Nute 12%: Vader G12 Nute G11 Thrawn G8 Wat Tambor G9 Traya G8
Yani606,844674628,34,10,24,Vader P1 10%: Vader KRU G8 Wat Tambor R1 C-3PO G12 Shaak Ti R1
Slide,686227566,3,3,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
effbro,634874313,17,7,10,Vader P1 10%: Vader KRU G8 Wat Tambor C-3PO Shaak Ti
Connendarf,642411643,45,0,45,Vader+Nute 12%: Vader G8 Nute G10 Thrawn G7 Wat Tambor G11 Traya G9
Falkor,159633194,39,4,35,Vader+Nute 12%: Vader R3 Nute G9 Thrawn G12 Wat Tambor G11 5* Traya G7
Fen Ryr Ω,527968993,41,2,39,Vader+Nute 12%: Vader R3 Nute G8 Thrawn G12 Wat Tambor G9 Traya G6
E3PO,289128959,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Viktor Maximus20,851785135,37,0,37,Vader+Nute 12%: Vader Nute G8 Thrawn G12 Wat Tambor G7 5* Traya G8
Zephen,161145221,23,0,23,Vader+Nute 12%: Vader Nute G5 Thrawn Wat Tambor Traya G8
Badgerfan,862925557,13,2,11,Vader P1 10%: Vader KRU Wat Tambor G7 6* C-3PO BB-8
Ashla Delana,398771545,21,0,21,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G11 4* Traya G11
Mikey mike,343719337,39,0,39,Vader+Nute 12%: Vader Nute G8 Thrawn G9 Wat Tambor G9 5* Traya G7
Compass,714279428,21,6,15,Vader P1 10%: Vader KRU G8 5* Wat Tambor C-3PO G13 Shaak Ti
The senat3,543127863,25,0,25,Vader P1 10%: Vader KRU G8 Wat Tambor G9 C-3PO G12 Shaak Ti
Vesper,118557866,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
JediJaban,964357452,29,1,28,Vader+Nute 12%: Vader Nute G12 Thrawn G11 Wat Tambor G9 5* Traya G12
ShadowFang423,878662582,40,1,39,Vader+Nute 12%: Vader G12 Nute G11 Thrawn G9 Wat Tambor G10 Traya G9
boolsis,253523842,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
DarthMixtapes,345497754,37,0,37,Vader+Nute 12%: Vader Nute G9 Thrawn G7 Wat Tambor Traya G1
Mixtapes,657618997,33,6,27,Vader P1 10%: Vader KRU Wat Tambor G5 C-3PO G11 Shaak Ti G11
Zombie,642964183,26,0,26,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G9 Traya G8
EthanC,866312437,22,1,21,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G11 Traya G11
Keiths on Tap,968998882,9,0,9,Vader P1 10%: Vader KRU Wat Tambor G9 C-3PO Shaak Ti
CodexDragon,934289767,22,9,13,Vader P1 10%: Vader R3 KRU Wat Tambor G13 C-3PO G12 Shaak Ti
Scott Brooksbank,388284847,27,2,25,Vader+Nute 12%: Vader R4 Nute G11 Thrawn G11 Wat Tambor Traya G8
Dan So1o,528497989,33,7,26,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G12 Traya G11
HammerKnife,738554487,21,0,21,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G10 Traya G11
