Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
DarthChronic,996563696,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DarthChronic,996563696,8,0,8,Dooku+Asajj: Dooku G8 5* AV G8
Zephen,161145221,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Zephen,161145221,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zephen,161145221,11,0,11,Dooku+Asajj: Dooku G1 5* AV
Falkor,159633194,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Falkor,159633194,3,3,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Falkor,159633194,1,0,1,Dooku+Asajj: Dooku G11 AV
Slide,686227566,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Slide,686227566,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Slide,686227566,1,1,0,Dooku+Asajj: Dooku AV
Slide,686227566,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Zombie,642964183,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Zombie,642964183,8,8,0,Grievous: GG B2 B1 Nute MagnaGuard
Zombie,642964183,4,4,0,Dooku+Asajj: Dooku AV
Zombie,642964183,1,0,1,Geos: GBA Poggle Geo Soldier Sun Fac G11 Geo Spy
Keiths on Tap,968998882,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Keiths on Tap,968998882,18,0,18,Troopers: Veers G9 Piett Gideon G7 Dark Trooper G7 6* Range Trooper G7 6*
Keiths on Tap,968998882,5,0,5,Dooku+Asajj: Dooku G8 AV G11
Mixtapes,657618997,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Mixtapes,657618997,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Mixtapes,657618997,0,0,0,Dooku+Asajj: Dooku AV
Mixtapes,657618997,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Savage Opress,332968426,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Savage Opress,332968426,3,1,2,Troopers: Veers Piett Starck Dark Trooper G10 Range Trooper
Savage Opress,332968426,0,0,0,Dooku+Asajj: Dooku AV
Savage Opress,332968426,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
ToCorr,529831859,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
ToCorr,529831859,11,11,0,Dooku+Asajj: Dooku AV
ToCorr,529831859,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
The senat3,543127863,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
The senat3,543127863,1,0,1,Dooku+Asajj: Dooku AV G11
The senat3,543127863,1,0,1,Geos: GBA Poggle Geo Soldier Sun Fac G11 Geo Spy
GrandMoffVarthul,446338585,4,3,1,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper
GrandMoffVarthul,446338585,7,7,0,Grievous: GG B2 B1 Droideka MagnaGuard
GrandMoffVarthul,446338585,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
GrandMoffVarthul,446338585,0,0,0,Dooku+Asajj: Dooku AV
Chrisi,751865582,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Chrisi,751865582,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Chrisi,751865582,4,0,4,Dooku+Asajj: Dooku AV G8
Camostealth,879492163,0,0,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
Camostealth,879492163,17,0,17,Grievous: GG G8 B2 G8 B1 G9 Nute G8 Wat Tambor G10 5*
Camostealth,879492163,4,0,4,Dooku+Asajj: Dooku AV G8
Camostealth,879492163,3,0,3,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac G11 Geo Spy
Delara,117893553,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Delara,117893553,0,0,0,Dooku+Asajj: Dooku AV
Delara,117893553,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Delara,117893553,5,0,5,Troopers: Veers Piett Starck Dark Trooper G11 Range Trooper G8
BenWey,537663123,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
BenWey,537663123,1,0,1,Grievous: GG G11 B2 B1 Droideka MagnaGuard
BenWey,537663123,1,0,1,Dooku+Asajj: Dooku G11 AV
HammerKnife,738554487,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
HammerKnife,738554487,0,0,0,Dooku+Asajj: Dooku AV
Mos Harris Cantina,965656478,0,0,0,Dooku+Asajj: Dooku AV
Mos Harris Cantina,965656478,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mos Harris Cantina,965656478,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Mos Harris Cantina,965656478,14,14,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
Dan So1o,528497989,2,2,0,Grievous: GG B2 B1 Droideka MagnaGuard
Dan So1o,528497989,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Dan So1o,528497989,15,4,11,Troopers: Veers G11 Piett Starck G9 Dark Trooper G9 5* Range Trooper G8 5*
Dan So1o,528497989,3,0,3,Dooku+Asajj: Dooku G10 AV G11
Vesper,118557866,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Vesper,118557866,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Vesper,118557866,1,0,1,Dooku+Asajj: Dooku AV G11
PhailHaüs,941664951,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
PhailHaüs,941664951,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
PhailHaüs,941664951,8,6,2,Dooku+Asajj: Dooku G10 AV
boolsis,253523842,0,0,0,Troopers: Veers Piett Gideon Dark Trooper Range Trooper
boolsis,253523842,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
boolsis,253523842,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
boolsis,253523842,0,0,0,Dooku+Asajj: Dooku AV
Mikey mike,343719337,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Mikey mike,343719337,17,5,12,Troopers: Veers G9 Piett G9 Starck G10 Dark Trooper G9 6* Range Trooper G11 5*
Mikey mike,343719337,4,0,4,Dooku+Asajj: Dooku G8 AV
Mikey mike,343719337,3,2,1,Geos: GBA Poggle Geo Soldier Sun Fac G11 Geo Spy
Xaniken Flywalker,147431224,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Xaniken Flywalker,147431224,0,0,0,Dooku+Asajj: Dooku AV
Xaniken Flywalker,147431224,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mol Eliza,719525127,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Mol Eliza,719525127,0,0,0,Dooku+Asajj: Dooku AV
Mol Eliza,719525127,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Mol Eliza,719525127,9,1,8,Troopers: Veers G11 Piett G11 6* Starck G9 Dark Trooper G10 5* Range Trooper G11 6*
JustSomeGuy,125728594,10,10,0,Grievous: GG B2 B1 Droideka MagnaGuard
JustSomeGuy,125728594,2,2,0,Dooku+Asajj: Dooku AV
JustSomeGuy,125728594,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Viktor Maximus20,851785135,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Viktor Maximus20,851785135,19,18,1,Grievous: GG G11 B2 B1 Droideka MagnaGuard
Viktor Maximus20,851785135,19,2,17,Troopers: Veers G11 Piett G9 Starck G9 Dark Trooper G7 Range Trooper G7
Viktor Maximus20,851785135,4,3,1,Dooku+Asajj: Dooku G11 AV
JarJare Dingari,585258357,16,16,0,Troopers: Veers Piett Starck Dark Trooper Range Trooper
JarJare Dingari,585258357,13,0,13,Grievous: GG G10 B2 G8 B1 G11 Nute G8 Wat Tambor G10 5*
JarJare Dingari,585258357,3,1,2,Dooku+Asajj: Dooku G10 AV
JarJare Dingari,585258357,1,0,1,Geos: GBA Poggle Geo Soldier Sun Fac G11 Geo Spy
