Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
MINI P5ych0,437481762,15,15,0,GAS Special: GAS Ahsoka
MINI P5ych0,437481762,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
MINI P5ych0,437481762,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Fireheadjake,471697669,0,0,0,GAS Special: GAS Ahsoka
Fireheadjake,471697669,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
PhailHaüs,941664951,0,0,0,Finn: Finn RT RH Finn RH Poe Rey
PhailHaüs,941664951,15,15,0,CLS: CLS Han Chewbacca Chewpio C-3PO
PhailHaüs,941664951,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
PhailHaüs,941664951,4,0,4,GAS Special: GAS G12 Ahsoka
Viktor Maximus20,851785135,5,0,5,GAS Special: GAS G11 Ahsoka
Viktor Maximus20,851785135,1,0,1,ROLO: ROLO Cpt Solo Han CLS Chewbacca
Yani606,844674628,4,0,4,GAS Special: GAS Ahsoka G12
Yani606,844674628,17,5,12,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives
HammerKnife,738554487,0,0,0,GAS Special: GAS Ahsoka
HammerKnife,738554487,2,2,0,JKL: JKL HYoda GMY Jolee GK
HammerKnife,738554487,1,0,1,ROLO: ROLO Cpt Solo Han CLS Lando
Chrisi,751865582,20,20,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Thalias,273671943,17,17,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Thalias,273671943,20,0,20,ROLO: ROLO G12 Cpt Solo G12 Han G12 CLS G12 Chewbacca G12
The senat3,543127863,5,5,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
The senat3,543127863,4,0,4,GAS Special: GAS Ahsoka G12
The senat3,543127863,13,3,10,CLS: CLS Han Chewbacca R2 Chewpio G11 C-3PO G12
Jace,652137157,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Jace,652137157,4,0,4,GAS Special: GAS Ahsoka G12
Jace,652137157,16,0,16,CLS: CLS Han G12 Chewbacca G12 Chewpio G12 C-3PO G12
ToCorr,529831859,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
