Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Tigerhooligan,653853687,4,3,1,131412,Padme JKA Ahsoka R4 GK GMY
Mikey mike,343719337,0,0,0,133865,Padme JKA Ahsoka GK GMY
Mos Harris Cantina,965656478,0,0,0,143163,Padme JKA Ahsoka GK GMY
Zephen,161145221,0,0,0,147296,Padme JKA Ahsoka GK GMY
BenWey,537663123,10,0,10,121105,Padme R4 JKA R4 Ahsoka R4 GK R4 GMY G12
Daniel,498517398,6,0,6,130761,Padme JKA Ahsoka GK GMY G12
Ooblick,179313524,41,0,41,81191,Padme G12 JKA G1 3* Ahsoka G12 GK G13 GMY G11
Savage Opress,332968426,0,0,0,155063,Padme JKA Ahsoka GK GMY
Thalias,273671943,37,2,35,92094,Padme G12 JKA G11 Ahsoka G12 GK G8 GMY G12
EthanC,866312437,14,0,14,124958,Padme JKA Ahsoka G12 GK R3 GMY G12
JustSomeGuy,125728594,24,0,24,110386,Padme G12 JKA G12 Ahsoka G12 GK R3 GMY R1
Vesper,118557866,2,2,0,131345,Padme JKA Ahsoka GK GMY
Mixtapes,657618997,43,0,43,79106,Padme G8 JKA R1 Ahsoka G11 GK G7 GMY G7
Fen Ryr Ω,527968993,33,0,33,88863,Padme G10 JKA G11 Ahsoka G11 GK G9 GMY R3
Keiths on Tap,968998882,52,0,52,60364,Padme G1 JKA G9 Ahsoka G9 GK G8 GMY G11
Dan So1o,528497989,10,10,0,137010,Padme JKA Ahsoka GK GMY
PhailHaüs,941664951,43,5,38,86108,Padme G9 JKA G8 Ahsoka G11 GK G6 GMY
ShadowFang423,878662582,30,0,30,101332,Padme G9 JKA G11 Ahsoka G11 GK GMY G11
NovaDawn,384495293,14,5,9,121116,Padme JKA R3 Ahsoka G12 GK GMY R4
Ug II,957613321,13,0,13,131304,Padme G12 JKA G11 Ahsoka GK GMY
Aldynek,161831859,24,0,24,104259,Padme JKA G12 Ahsoka G12 GK G12 GMY G12
Scott Brooksbank,388284847,8,0,8,140110,Padme G12 JKA Ahsoka R3 GK GMY
champagnejustin,634353214,15,0,15,111921,Padme R1 JKA R1 Ahsoka GK GMY G11
DarthDidi,576815337,6,0,6,128759,Padme JKA Ahsoka GK GMY G12
Chrisi,751865582,27,0,27,100097,Padme G8 JKA Ahsoka G11 GK G8 GMY
Connendarf,642411643,49,11,38,83694,Padme G12 JKA G11 5* Ahsoka G10 GK G7 GMY G12
RagnarKenobi,462421887,0,0,0,133579,Padme JKA Ahsoka GK GMY
boolsis,253523842,0,0,0,151996,Padme JKA Ahsoka GK GMY
GrandMoffVarthul,446338585,13,0,13,126558,Padme G12 JKA Ahsoka GK GMY G11
Viktor Maximus20,851785135,32,11,21,106081,Padme G12 JKA R3 Ahsoka G12 GK GMY G11
effbro,634874313,6,0,6,135226,Padme JKA Ahsoka GK GMY G12
Revan110603,752954966,46,0,46,70244,Padme G0 0* JKA Ahsoka G7 GK G8 GMY G11
Yani606,844674628,23,4,19,114791,Padme G12 JKA Ahsoka G12 GK R4 GMY G12
Xaniken Flywalker,147431224,12,5,7,125845,Padme JKA R4 Ahsoka GK GMY G12
Compass,714279428,1,1,0,143553,Padme JKA Ahsoka GK GMY
The senat3,543127863,15,0,15,115809,Padme G12 JKA Ahsoka G12 GK GMY R2
Noster,685211787,8,0,8,125664,Padme R3 JKA Ahsoka R2 GK R3 GMY R4
Falkor,159633194,9,0,9,128804,Padme R4 JKA G12 Ahsoka R3 GK GMY
Zombie,642964183,30,2,28,103664,Padme G9 JKA Ahsoka G12 GK G12 GMY G11
JediJaban,964357452,16,0,16,117759,Padme G12 JKA R3 Ahsoka G12 GK GMY R3
HammerKnife,738554487,0,0,0,149509,Padme JKA Ahsoka GK GMY
Badgerfan,862925557,6,0,6,123637,Padme JKA Ahsoka GK GMY G12
Mol Eliza,719525127,16,0,16,127153,Padme G12 JKA Ahsoka G12 GK GMY R1
CodexDragon,934289767,26,0,26,105299,Padme G13 JKA G13 Ahsoka G12 GK R1 GMY G12
JarJare Dingari,585258357,37,0,37,90343,Padme G10 JKA G12 Ahsoka G11 GK G8 GMY G12
ToCorr,529831859,19,3,16,133293,Padme R2 JKA G11 Ahsoka G12 GK GMY
Slide,686227566,21,9,12,126006,Padme G12 JKA Ahsoka GK GMY G12
MINI P5ych0,437481762,5,0,5,135966,Padme JKA Ahsoka GK GMY G13
Krupted,432256136,52,26,26,87802,Padme G10 JKA G6 Ahsoka G12 GK GMY
Thy57,116686274,41,1,40,81890,Padme G9 JKA G11 Ahsoka G11 GK G8 GMY G11
