Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
MINI P5ych0,437481762,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
MINI P5ych0,437481762,29,0,29,EP: EP Mara Jade, The Emperor's Hand G9 4* Vader Thrawn G9 RG G7
MINI P5ych0,437481762,32,0,32,Troopers: Veers G12 Piett Dark Trooper G11 Range Trooper G8 Gideon G9
MINI P5ych0,437481762,40,0,40,Padme/BB: Padme Hunter G8 Echo G8 4* Tech G8 6* Wrecker G8 5*
Falkor,159633194,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Falkor,159633194,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
ToCorr,529831859,6,0,6,Padme/BB: Padme Hunter Echo Tech Wrecker G12
GrandMoffVarthul,446338585,7,0,7,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn Malak
GrandMoffVarthul,446338585,13,0,13,Troopers: Veers Piett Dark Trooper G11 Range Trooper G12 Starck
GrandMoffVarthul,446338585,41,0,41,CLS: CLS G10 C-3PO G12 Han G10 Chewbacca G9 Chewpio G8
Savage Opress,332968426,0,0,0,JMK: JMK CAT GK GAS Ahsoka
Savage Opress,332968426,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
Savage Opress,332968426,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Savage Opress,332968426,17,0,17,EP: EP Mara Jade, The Emperor's Hand G7 Vader Thrawn G12 Malak
Savage Opress,332968426,26,0,26,Troopers: Veers G12 Piett Dark Trooper G10 Range Trooper G12 Starck G12
Savage Opress,332968426,43,0,43,Padme/BB: Padme Hunter G8 6* Echo G7 4* Tech G7 4* Wrecker G7 4*
Viktor Maximus20,851785135,11,0,11,CLS: CLS R3 C-3PO Han R4 Chewbacca Chewpio G10
Viktor Maximus20,851785135,27,0,27,EP: EP Mara Jade, The Emperor's Hand G7 6* Vader Thrawn G12 RG G8
Viktor Maximus20,851785135,42,0,42,Padme/BB: Padme Hunter G7 Echo G8 Tech G8 Wrecker G7
Viktor Maximus20,851785135,47,0,47,Troopers: Veers G11 Piett G9 Dark Trooper G7 Range Trooper G7 Starck G9
Revan110603,752954966,2,0,2,EP: EP Mara Jade, The Emperor's Hand R3 Vader Thrawn Malak
Jace,652137157,25,0,25,CLS: CLS R4 C-3PO G12 Han G12 Chewbacca G12 Chewpio G12
Jace,652137157,45,0,45,Padme/BB: Padme G12 Hunter G9 4* Echo G8 3* Tech G8 4* Wrecker G8 6*
Scott Brooksbank,388284847,7,0,7,CLS: CLS C-3PO Han R4 Chewbacca Chewpio G12
Scott Brooksbank,388284847,21,0,21,EP: EP R3 Mara Jade, The Emperor's Hand G11 6* Vader Thrawn G12 Malak G12
Scott Brooksbank,388284847,43,0,43,Troopers: Veers G11 Piett G8 Dark Trooper G10 5* Range Trooper G9 5* Gideon G9
BenWey,537663123,37,0,37,CLS: CLS G11 C-3PO G12 Han G11 Chewbacca G9 Chewpio G10
E3PO,289128959,0,0,0,JMK: JMK CAT GK GAS Ahsoka
E3PO,289128959,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
E3PO,289128959,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
E3PO,289128959,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
E3PO,289128959,7,0,7,EP: EP Mara Jade, The Emperor's Hand G11 6* Vader Thrawn RG
E3PO,289128959,13,0,13,Troopers: Veers R3 Piett Dark Trooper G11 6* Range Trooper R3 Starck R3
Vesper,118557866,21,0,21,CLS: CLS R4 C-3PO G12 Han R3 Chewbacca G12 Chewpio G12
Camostealth,879492163,9,0,9,EP: EP Mara Jade, The Emperor's Hand G11 Vader Thrawn RG R3
Camostealth,879492163,16,0,16,Troopers: Veers R3 Piett Dark Trooper G12 Range Trooper G12 Starck R3
Camostealth,879492163,36,0,36,CLS: CLS R3 C-3PO G12 Han G8 Chewbacca G11 Chewpio G7 5*
Camostealth,879492163,48,0,48,Padme/BB: Padme G8 Hunter G9 5* Echo G8 4* Tech G9 5* Wrecker G8 5*
boolsis,253523842,0,0,0,JMK: JMK CAT GK GAS Ahsoka
boolsis,253523842,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
boolsis,253523842,0,0,0,SEE: SEE Malak Darth Malgus BSF DR
boolsis,253523842,0,0,0,CLS: CLS C-3PO Han Chewbacca Chewpio
boolsis,253523842,0,0,0,EP: EP Mara Jade, The Emperor's Hand Vader Thrawn RG
boolsis,253523842,0,0,0,Padme/BB: Padme Hunter Echo Tech Wrecker
boolsis,253523842,5,0,5,Troopers: Veers Piett Dark Trooper R3 Range Trooper R3 Gideon R4
JustSomeGuy,125728594,0,0,0,JMLS: JMLS JKL JKR GMY HYoda
