Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Yani606,844674628,27,0,27,101829,Shaak Ti G11 Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G12
RonaldoDiDrill,986352416,33,0,33,96456,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G10
Sundew66,447734397,0,0,0,142450,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Thy57,116686274,0,0,0,135128,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Chrisi,751865582,46,0,46,72332,Shaak Ti G9 Fives G8 Rex G11 Echo (501st) G8 ARC Trooper G8
Zephen,161145221,0,0,0,142748,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mos Harris Cantina,965656478,24,0,24,108582,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Savage Opress,332968426,0,0,0,145890,Shaak Ti Fives Rex Echo (501st) ARC Trooper
BenWey,537663123,6,0,6,126564,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
jeade,151969369,81,0,81,12040,Shaak Ti G0 0* Fives G4 Rex G0 0* Echo (501st) G5 ARC Trooper G0 0*
Mol Eliza,719525127,3,0,3,134841,Shaak Ti Fives Rex R4 Echo (501st) R4 ARC Trooper R4
champagnejustin,634353214,38,0,38,79651,Shaak Ti G13 Fives G13 Rex G13 Echo (501st) G12 ARC Trooper G1
EthanC,866312437,68,0,68,33644,Shaak Ti G1 3* Fives G9 Rex G6 Echo (501st) G6 5* ARC Trooper G0 0*
NovaDawn,384495293,77,0,77,30510,Shaak Ti G10 Fives G1 Rex G1 4* Echo (501st) G0 0* ARC Trooper G1 5*
Slide,686227566,0,0,0,137692,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Scott Brooksbank,388284847,27,0,27,109574,Shaak Ti Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G10
Daniel,498517398,0,0,0,139133,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Krupted,432256136,57,0,57,47627,Shaak Ti G1 Fives G8 Rex G10 Echo (501st) G7 6* ARC Trooper G7 5*
Harbinger,679556422,0,0,0,134402,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MINI P5ych0,437481762,0,0,0,153159,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ooblick,179313524,58,0,58,46925,Shaak Ti G11 Fives G7 Rex G7 Echo (501st) G7 ARC Trooper G0 0*
Thalias,273671943,41,0,41,81009,Shaak Ti G11 Fives G8 Rex G12 Echo (501st) G10 ARC Trooper G8
Keiths on Tap,968998882,0,0,0,151864,Shaak Ti Fives Rex Echo (501st) ARC Trooper
PhailHaüs,941664951,0,0,0,148335,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Vesper,118557866,0,0,0,141634,Shaak Ti Fives Rex Echo (501st) ARC Trooper
effbro,634874313,0,0,0,153043,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mixtapes,657618997,52,0,52,53442,Shaak Ti G7 Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G7
Noster,685211787,31,0,31,100197,Shaak Ti G12 Fives R1 Rex G12 Echo (501st) G11 ARC Trooper G10
Revan110603,752954966,59,0,59,49643,Shaak Ti G8 Fives G9 Rex G8 Echo (501st) G6 ARC Trooper G0 0*
Dan So1o,528497989,24,0,24,100407,Shaak Ti G12 Fives R3 Rex R3 Echo (501st) G11 ARC Trooper G11
Zombie,642964183,27,0,27,97994,Shaak Ti G11 Fives G12 Rex G12 Echo (501st) ARC Trooper G10
RagnarKenobi,462421887,18,0,18,113187,Shaak Ti Fives Rex G12 Echo (501st) G12 ARC Trooper G12
Xaniken Flywalker,147431224,0,0,0,135547,Shaak Ti Fives Rex Echo (501st) ARC Trooper
CodexDragon,934289767,29,0,29,88930,Shaak Ti G12 Fives G13 Rex G12 Echo (501st) G12 ARC Trooper G12
Ug II,957613321,0,0,0,142479,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ug c,659519779,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Falkor,159633194,30,0,30,104852,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
DarthDidi,576815337,5,0,5,126525,Shaak Ti G13 Fives Rex Echo (501st) ARC Trooper
ShadowFang423,878662582,45,0,45,72826,Shaak Ti G9 Fives G11 Rex G8 Echo (501st) G9 ARC Trooper G8
The senat3,543127863,11,0,11,118160,Shaak Ti Fives Rex R3 Echo (501st) R3 ARC Trooper G11
ToCorr,529831859,0,0,0,146301,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Compass,714279428,0,0,0,138313,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Badgerfan,862925557,0,0,0,125830,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mikey mike,343719337,43,0,43,85252,Shaak Ti G11 Fives G9 Rex G11 Echo (501st) G8 ARC Trooper G8
Tigerhooligan,653853687,0,0,0,136758,Shaak Ti Fives Rex Echo (501st) ARC Trooper
boolsis,253523842,0,0,0,116291,Shaak Ti Fives Rex Echo (501st) ARC Trooper
JustSomeGuy,125728594,36,0,36,101397,Shaak Ti G9 Fives G11 Rex G12 Echo (501st) G11 ARC Trooper G11
Aldynek,161831859,30,0,30,90649,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Connendarf,642411643,31,0,31,99450,Shaak Ti R1 Fives G10 Rex G12 Echo (501st) G12 ARC Trooper G11
