Player,Offense,Defense,GP,Name,Squad,Viable
"Quetz",,,122177,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Quetz",1,1,147804,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn",1
"Quetz",0,1,144362,padme,"zzPadme zGK zJKA zAhsoka zzzCAT",1
"Quetz",0,1,136721,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Quetz",1,0,124867,CLS,"zzzCLS zHan zChewbacca zR2-D2 Old Ben",1
"Quetz",,,286994,Malevolence,"Malevolence 6* Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Quetz",,,377781,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Biggs X-wing",1
"Quetz",,,495062,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Quetz",0,1,92412,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Quetz",0,1,118539,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Quetz",1,1,151020,GAS,"zzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Quetz",1,1,131880,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Quetz",1,1,73616,Ewoks,"zChirpa Elder Paploo Wicket Logray G9",1
"Quetz",0,1,99229,BH,"zzBossk Dengar Jango The Mandalorian, Boba",1
"Quetz",1,1,79473,Carth,"Carth Onasi, Mission Zaalbar Juhani G8, Canderous",1
"Quetz",1,1,105319,zEP,"zzEP zzzVader Tarkin G8, DT G8, TFP",1
"Quetz",0,1,68151,Phoenix,"Hera G8, Ezra Sabine G8, Kanan G8, Zeb G8",1
"Quetz",1,1,59973,Rogue1,"Jyn G8, Chirrut G8, Baze G8, K-2SO G8, Cassian G8",1
"Quetz",1,0,12366,NestSolo (Counter),"Nest G8",1
"Quetz",1,1,71084,NS,"MT G8, AV Daka G8, Zombie Spirit G8",0
"Quetz",,,374839,Executrix,"Executrix Tie Adv, Emperor's Shuttle 6*, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",0
"Quetz",1,0,80395,Troopers,"zVeers G8, zAdmiral Piett, Moff Gideon, Dark Trooper G8, Range Trooper G8",0
"JKI",,,123355,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"JKI",1,1,142073,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU Thrawn G9",1
"JKI",0,1,105462,DRMalak,"zzzDR HK-47 zBSF zzMalak 6* Sith Empire Trooper G9",1
"JKI",0,1,93254,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"JKI",1,1,136290,JTR,"zzzJTR zScav Rey, zzBB-8 R2-D2 G9, zFinn",1
"JKI",1,1,131249,Revan,"zzzJKR zBS zGMY zJolee zGK",1
"JKI",1,1,81144,Ewoks,"zChirpa Elder Paploo Wicket Logray G9",1
"JKI",1,1,91537,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"JKI",0,1,65889,Phoenix,"Hera G8, Chopper G8, Ezra G8, Kanan G8, Zeb G8",1
"JKI",0,1,91409,BH,"zzBossk Cad G9, Dengar G7, Jango G9, zBoba",0
"Klendathu",,,113510,Phasma,"zPhasma zFOTP zSith Trooper, zzKRU zKylo",1
"Klendathu",0,1,112659,padme,"zzPadme zGK zJKA zAhsoka zBarriss",1
"Klendathu",0,1,99032,DR,"zzzDR zHK-47 zBSF Sith Marauder, Sith Empire Trooper",1
"Klendathu",,,283005,HansMF,"Home One, Han's MF 6*, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Klendathu",0,1,92548,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Klendathu",0,1,72843,Grievous,"zzGG B2 G8, B1 Droideka G8, Dooku G8",1
"Klendathu",1,1,120847,Revan Offense,"zzzJKR zGMY zBS zJolee zHYoda",1
"Klendathu",1,1,84280,Ewoks,"zChirpa Elder zPaploo G9, Wicket zLogray",1
"Klendathu",1,1,78363,Carth,"zCarth Onasi, Mission G8, Zaalbar G8, Juhani Canderous",1
"Klendathu",1,1,98959,zEP,"zzEP zzzVader Tarkin TFP G8, DN G9",1
"Klendathu",1,0,69820,Wiggs,"Wedge G8, Biggs G8, CLS G9, Han Ezra",1
"Klendathu",1,0,71214,Wampa (Counter),"Rex Wampa G8, DT G8, Jyn G8, FOO",1
"Klendathu",1,0,12187,SionSolo (Counter),"Sion G8",1
"Klendathu",,,259786,Malevolence,"Malevolence 6* Hyena Bomber 5*, Vulture Droid 6*, Sun Fac SF, Soldier SF, Spy SF",0
"Klendathu",,,341923,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Jedi Consular's Starfighter, Rex's ARC-170 5*",0
"Klendathu",1,1,69785,NS,"MT G8, AV G8, Daka Zombie Spirit G8",0
"Klendathu",1,0,67645,Troopers,"Veers Admiral Piett G8, Moff Gideon G8, Dark Trooper G7, Range Trooper G7",0
"Klendathu",0,1,76791,BH,"Bossk Cad G8, Jango G8, Boba G8, Greedo G8",0
"Klendathu",0,1,73968,Phoenix,"Hera Chopper Sabine 6* G9, Kanan G8, Zeb G9",0
"Bigwintaz",0,1,122435,padme,"zzPadme zGK zJKA zAhsoka zBarriss",1
"Bigwintaz",0,1,115485,DRMalak,"zzzDR zHK-47 zBSF zzMalak 6* Sith Empire Trooper",1
"Bigwintaz",0,1,93168,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Bigwintaz",,,343848,HansMF,"Home One, Han's MF 5*, HT Ghost Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Bigwintaz",1,1,108897,Revan Offense,"zzzJKR zGMY BS zJolee Ezra",1
"Bigwintaz",1,0,116588,ShaakClones,"zzShaak Ti, zRex Echo (501st), zzFives ARC Trooper",1
"Bigwintaz",1,1,82694,Ewoks,"zChirpa Elder Paploo Scout Logray",1
"Bigwintaz",0,1,104958,BH,"zzBossk Dengar zZam Jango Boba",1
"Bigwintaz",1,1,87398,Carth,"Carth Onasi, zMission zZaalbar Juhani Canderous",1
"Bigwintaz",1,1,133822,zEP,"zzEP zzVader zTarkin TFP zzMara Jade, The Emperor's Hand",1
"Bigwintaz",1,0,113832,Troopers,"zVeers zStarck zzAdmiral Piett, DT zMoff Gideon",1
"Bigwintaz",0,1,84842,FO,"zzKRU Kylo FOO FOE FOST G9",1
"Bigwintaz",1,0,71401,Wiggs,"Wedge G8, Biggs G8, CLS Han Chewbacca",1
"Bigwintaz",0,1,69882,Phoenix,"Hera G9, Chopper G8, Sabine G8, Kanan G9, Zeb",1
"Bigwintaz",0,1,62849,Grievous-Wat,"GG G9, B2 G8, B1 G3, MagnaGuard G8, zWat Tambor",0
"Bigwintaz",1,1,69695,NS,"MT G8, AV Daka G9, Zombie Spirit G8",0
"Bigwintaz",1,0,120297,zMaul,"Darth Maul, zDooku zSidious Savage Sith Marauder",0
"Bigwintaz",1,1,48850,Rogue1,"Jyn 5* G8, Chirrut 5* G8, Baze 6* G8, K-2SO G8, Bistan G8",0
"Coleman Trebor",0,1,123282,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"Coleman Trebor",0,1,118755,DRMalak,"zzzDR HK-47 zBSF zzMalak zThrawn",1
"Coleman Trebor",,,411858,Negotiator,"Negotiator 6* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Coleman Trebor",,,323227,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Coleman Trebor",0,1,99627,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Coleman Trebor",0,1,100757,Grievous,"zzGG zB2 zB1 Droideka G8, MagnaGuard",1
"Coleman Trebor",1,0,136179,CLS,"zzzCLS zHan zzChewbacca zChewpio zzR2-D2",1
"Coleman Trebor",1,1,114389,Revan Offense,"zzzJKR zGMY BS zJolee HYoda",1
"Coleman Trebor",1,1,76317,Ewoks,"zChirpa G9, Elder Paploo G9, Wicket Logray G9",1
"Coleman Trebor",0,1,97648,BH,"zzBossk Cad Dengar G9, Jango Boba",1
"Coleman Trebor",1,1,73566,Carth,"Carth Onasi, Mission Zaalbar Juhani G8, Canderous",1
"Coleman Trebor",1,1,101468,zEP,"zEP zzzVader zTarkin TFP G9, DN",1
"Coleman Trebor",0,1,69588,Phoenix,"Hera G8, Chopper G8, Ezra Kanan G8, Zeb G8",1
"Coleman Trebor",1,0,80235,Wiggs,"Wedge Biggs Leia G9, Chirrut Baze",1
"Coleman Trebor",,,72459,Phasma,"Phasma G8, FOTP G9, FOO KRU G8, zKylo",0
"Coleman Trebor",,,303795,Malevolence,"Malevolence 5* Hyena Bomber 6*, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",0
"Coleman Trebor",1,0,74127,Troopers,"zVeers zAdmiral Piett, Moff Gideon G7, Dark Trooper, Range Trooper G8",0
"Coleman Trebor",,,79684,Mon Mothma,"zzMon Mothma G9, Hoth Rebel Scout G9, Lando Cara Dune G8, zPao",0
"Coleman Trebor",1,1,56600,NS_Alt,"MT G8, AV G9, Daka G8, Talia G7, Zombie G9",0
"Coleman Trebor",1,0,91712,ShaakClones,"Shaak Ti, Rex Echo (501st), zFives ARC Trooper G9",0
"Coleman Trebor",,,73613,Iden Troopers,"Iden Versio, Shoretrooper G9, Snowtrooper G9, Magma G9, DT",0
"Coleman Trebor",1,0,8779,SionSolo (Counter),"Sion G6",0
