Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Rooster",785451219,3613400,2127342,1486058,143,196,89,177,1277070,850272,42,3,51,0,197,1,20,34,59,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,11,6,4
"Sudzy",317925647,4352577,2682064,1670513,160,-61,67,295,1438870,1243194,71,2,138,0,182,16,33,68,93,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,19,13,11
"JKI",598811883,3142825,1736093,1406732,123,-96,132,306,916522,819571,53,4,132,1,130,18,28,42,54,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,9,8,5
"MarchMalo",222227525,2843414,1556877,1286537,121,-587,346,331,632958,923919,41,3,146,1,112,24,28,37,51,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,9,5,3
"CAPT SHAGnasty22",475577585,6755581,3825725,2929856,130,60,175,322,2167803,1657922,158,4,308,2,249,37,68,88,121,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,19,9,6
"Defiler66",771329682,4530003,2580253,1949750,132,319,255,270,1627385,952868,83,3,172,1,172,24,37,51,74,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,12,8,4
"Raxium",555937814,3557361,2036320,1521041,133,-77,191,246,1084440,951880,54,2,88,1,172,11,25,45,58,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,15,10,8
"spoof6449",559525272,3003594,1592288,1411306,112,-563,182,219,656546,935742,39,2,90,1,105,12,20,28,39,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,4,4,1
"Vinny Crimson",411928775,3300578,1943141,1357437,143,17,164,211,1080469,862672,45,5,69,0,131,12,18,38,67,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,14,7,5
"TheRealNoLie",346753534,8097964,4720824,3377140,139,-2,493,528,2601391,2119433,175,4,675,6,256,93,135,158,172,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,10,9
"Ryyath Aideron",776831575,6349737,3560302,2789435,127,51,390,431,2009614,1550688,115,4,436,3,235,57,85,102,122,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,21,9,8
"StubblyMango",663918176,3132560,1715251,1417309,121,14,163,217,952642,762609,39,2,86,0,116,11,19,32,49,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,9,6,4
"Will",573661833,5145164,3196352,1948812,164,-271,68,417,1548994,1647358,78,6,350,2,175,49,62,83,100,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,16,9,7
"Johnyrockz",838233492,4604094,2688494,1915600,140,5,122,297,1486951,1201543,69,5,209,1,187,32,39,56,71,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,11,7,4
"Ammo",675544966,6273104,3672476,2600628,141,-123,340,404,1914082,1758394,137,1,345,3,211,36,77,108,138,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,20,9,9
"Valshock",482282393,4342777,2317518,2025259,114,-355,185,320,1074839,1242679,63,2,226,2,148,32,42,52,62,0,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,11,5,4
"ReyChan",734418243,2977603,1642135,1335468,122,-67,146,142,878515,763620,20,4,52,0,126,9,9,23,37,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,2,1
"NedStark",779797893,3015611,1649757,1365854,120,-200,212,313,828568,821189,35,3,137,1,117,24,27,40,48,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,10,7,4
"Hooks",718388359,5846636,3295613,2551023,129,-1,118,382,1816971,1478642,93,3,357,2,201,54,66,86,117,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,18,11,11
"K2D2",564366774,6058889,3379798,2679091,126,-124,322,328,1760304,1619494,122,5,271,1,219,33,60,85,108,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,19,14,9
"Brink",942981999,3834489,2134302,1700187,125,-254,112,234,1043242,1091060,47,2,120,1,154,19,24,42,52,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,13,8,7
"GMDan",395673825,5002481,2712665,2289816,118,-87,246,331,1437911,1274754,60,3,270,1,167,36,51,61,91,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,14,7,6
