Player,Offense,Defense,GP,Name,Squad,Viable
"MINI Rainkoon",,,182445,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"MINI Rainkoon",,,187994,LV,"zzzzzzLord Vader, zzAdmiral Piett, zzzMaul zRG zzzVader",1
"MINI Rainkoon",,,124260,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"MINI Rainkoon",1,1,164509,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"MINI Rainkoon",,,173673,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"MINI Rainkoon",1,1,165754,GL Rey,"zzzzzzRey zzzJTR zzBB-8 zHoldo zResistance Hero Finn",1
"MINI Rainkoon",0,1,111553,Qira,"zQira L3-37 zVandor Chewbacca, zMission Zaalbar",1
"MINI Rainkoon",1,1,111126,NS,"zzMT zzAV zDaka Zombie Spirit",1
"MINI Rainkoon",,,638913,Executor,"Executor HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"MINI Rainkoon",,,164441,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zBarriss",1
"MINI Rainkoon",,,532851,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"MINI Rainkoon",1,0,160780,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzOld Ben",1
"MINI Rainkoon",,,329232,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"MINI Rainkoon",,,503886,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"MINI Rainkoon",0,1,104841,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"MINI Rainkoon",0,1,135881,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
