Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
ChameleonX,639981795,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
ChameleonX,639981795,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
ChameleonX,639981795,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
ChameleonX,639981795,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux HYoda
ChameleonX,639981795,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
ChameleonX,639981795,0,0,0,JKL + JML (6%): JKL JMLS BS Mace Old Ben
ChameleonX,639981795,0,0,0,Seps (1%): Dooku Jango B1 GG Nute
ChameleonX,639981795,0,0,0,SEE P1 5%: SEE Malak Darth Malgus EP DR
ChameleonX,639981795,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
DarthPr1mus,384256437,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
DarthPr1mus,384256437,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
DarthPr1mus,384256437,0,0,0,SEE P1 5%: SEE Malak Darth Malgus Sidious EP
DarthPr1mus,384256437,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
DarthPr1mus,384256437,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
DarthPr1mus,384256437,0,0,0,JKL + JML (6%): JKL JMLS Jolee GMY Old Ben
DarthPr1mus,384256437,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
DarthPr1mus,384256437,0,0,0,Seps (1%): Dooku Jango B1 GG Nute
DarthPr1mus,384256437,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
DigDoug,392251498,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
DigDoug,392251498,0,0,0,JKL + JML (6%): JKL JMLS BS Mace Old Ben
DigDoug,392251498,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
DigDoug,392251498,0,0,0,Imperial Troopers 5%: Veers Admiral Piett Moff Gideon Range Trooper Dark Trooper
DigDoug,392251498,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
DigDoug,392251498,0,0,0,Seps (1%): Dooku Jango Geo Spy GG Nute
DigDoug,392251498,0,0,0,SLKR+Armorer 12%: SL Kylo The Armorer HYoda Daka Zombie
DigDoug,392251498,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
DigDoug,392251498,0,0,0,SEE P1 5%: SEE Malak Darth Malgus BSF EP
DigDoug,392251498,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
LordCedric,988942664,0,0,0,Seps (1%): Dooku Jango Sun Fac Geo Spy Nute
LordCedric,988942664,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
LordCedric,988942664,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
LordCedric,988942664,0,0,0,SLKR+Armorer 12%: SL Kylo The Armorer HYoda Daka Zombie
LordCedric,988942664,0,0,0,Imperial Troopers 5%: Veers Admiral Piett Moff Gideon Range Trooper Dark Trooper
LordCedric,988942664,0,0,0,JKL + JML (6%): JKL JMLS Mace Ezra Old Ben
LordCedric,988942664,0,0,0,SEE P1 5%: SEE Malak Darth Malgus Vader Sith Empire Trooper
LordCedric,988942664,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
LordCedric,988942664,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
LordCedric,988942664,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
LabMonkey,564124574,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
LabMonkey,564124574,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
LabMonkey,564124574,0,0,0,SEE P1 5%: SEE Malak Darth Malgus Sidious EP
LabMonkey,564124574,0,0,0,JKL + JML (6%): JKL JMLS Mace GMY Old Ben
LabMonkey,564124574,0,0,0,Seps (1%): Dooku Jango B1 GG Nute
LabMonkey,564124574,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
LabMonkey,564124574,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
LabMonkey,564124574,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Obi Rod,211337543,0,0,0,Imperial Troopers 5%: Veers Admiral Piett Moff Gideon Range Trooper Dark Trooper
Obi Rod,211337543,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Obi Rod,211337543,0,0,0,Seps (1%): Dooku Jango Nute GBA AV
Obi Rod,211337543,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
Obi Rod,211337543,0,0,0,SEE P1 5%: SEE Malak Darth Malgus Sith Empire Trooper DR
Obi Rod,211337543,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Obi Rod,211337543,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
Obi Rod,211337543,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Obi Rod,211337543,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Obi Rod,211337543,0,0,0,JKL + JML (6%): JKL JMLS Jolee BS Mace
Obi Rod,211337543,0,0,0,SLKR+Armorer 12%: SL Kylo The Armorer HYoda Daka Zombie
AwesomeGuy318,791694137,0,0,0,GG (2%): GG B1 Droideka B2 Dark Trooper
AwesomeGuy318,791694137,0,0,0,SEE P1 5%: SEE Malak Darth Malgus Sion EP
AwesomeGuy318,791694137,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
AwesomeGuy318,791694137,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
AwesomeGuy318,791694137,0,0,0,JKL + JML (6%): JKL JMLS BS Mace Old Ben
AwesomeGuy318,791694137,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
AwesomeGuy318,791694137,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux HYoda
AwesomeGuy318,791694137,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
AwesomeGuy318,791694137,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
AwesomeGuy318,791694137,0,0,0,Seps (1%): Dooku Jango Nute GBA AV
Greedy greed0,485932238,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Greedy greed0,485932238,0,0,0,SLKR+Wat (9%): SL Kylo Hux Wat Tambor KRU Thrawn
Greedy greed0,485932238,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee Mace
Greedy greed0,485932238,0,0,0,SEE P1 5%: SEE Malak Vader EP DR
Greedy greed0,485932238,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Greedy greed0,485932238,0,0,0,Seps (1%): Dooku Jango B1 GG Nute
Greedy greed0,485932238,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
MINI Rainkoon,442432156,0,0,0,SEE P1 5%: SEE Malak Darth Malgus Sidious EP
MINI Rainkoon,442432156,0,0,0,JKL + JML (6%): JKL JMLS Jolee Mace Old Ben
MINI Rainkoon,442432156,0,0,0,Seps (1%): Dooku Jango Geo Spy GG Nute
MINI Rainkoon,442432156,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
MINI Rainkoon,442432156,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
MINI Rainkoon,442432156,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
MINI Rainkoon,442432156,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
MINI Rainkoon,442432156,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
MINI Rainkoon,442432156,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Fooster,159495267,0,0,0,SLKR+Armorer 12%: SL Kylo The Armorer HYoda Daka Zombie
Fooster,159495267,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Fooster,159495267,0,0,0,Seps (1%): Dooku Jango Sun Fac Geo Spy Nute
Fooster,159495267,0,0,0,SEE P1 5%: SEE Malak Vader EP DR
Fooster,159495267,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Fooster,159495267,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Fooster,159495267,0,0,0,JKL + JML (6%): JKL JMLS BS Mace Old Ben
Fooster,159495267,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
Fooster,159495267,0,0,0,GG (2%): GG B1 Droideka B2 Dark Trooper
Slapshot2626,456567694,0,0,0,SEE P1 5%: SEE Malak Darth Malgus Vader DR
Slapshot2626,456567694,0,0,0,GG (2%): GG B1 Droideka B2 HK-47
Slapshot2626,456567694,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Slapshot2626,456567694,0,0,0,JKL + JML (6%): JKL JMLS BS Mace Old Ben
Slapshot2626,456567694,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Slapshot2626,456567694,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
Slapshot2626,456567694,0,0,0,Seps (1%): Dooku Jango Nute GBA AV
Slapshot2626,456567694,0,0,0,SLKR+Armorer 12%: SL Kylo The Armorer HYoda Daka Zombie
Slapshot2626,456567694,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Frijolito,819538235,0,0,0,Seps (1%): Dooku Jango MagnaGuard B1 GG
Frijolito,819538235,0,0,0,JKL + JML (6%): JKL JMLS JKA GMY Old Ben
Frijolito,819538235,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Frijolito,819538235,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Frijolito,819538235,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Frijolito,819538235,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Frijolito,819538235,0,0,0,SEE P1 5%: SEE Malak Darth Malgus Sidious EP
Frijolito,819538235,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Thøl Bøhøn,745429198,0,0,0,Imperial Troopers 5%: Veers Admiral Piett Moff Gideon Range Trooper Dark Trooper
Thøl Bøhøn,745429198,0,0,0,GG (2%): GG B1 Droideka B2 IG-88
Thøl Bøhøn,745429198,0,0,0,JKL + JML (6%): JKL JMLS BS Mace Old Ben
Thøl Bøhøn,745429198,0,0,0,Seps (1%): Dooku Jango Geo Spy Nute AV
Thøl Bøhøn,745429198,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Thøl Bøhøn,745429198,0,0,0,SEE P1 5%: SEE Malak Darth Malgus Vader Traya
Thøl Bøhøn,745429198,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
Thøl Bøhøn,745429198,0,0,0,SLKR+Armorer 12%: SL Kylo The Armorer HYoda Daka Zombie
Thøl Bøhøn,745429198,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Thøl Bøhøn,745429198,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Black Eagle,766419695,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Black Eagle,766419695,0,0,0,JKL + JML (6%): JKL JMLS Jolee GMY Old Ben
Black Eagle,766419695,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Black Eagle,766419695,0,0,0,Seps (1%): Dooku Jango MagnaGuard GG Nute
Black Eagle,766419695,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Black Eagle,766419695,0,0,0,SEE P1 5%: SEE Malak Sith Marauder Sidious EP
Black Eagle,766419695,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
Black Eagle,766419695,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Black Eagle,766419695,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Revanator,226633786,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
Revanator,226633786,0,0,0,JKL + JML (6%): JKL JMLS Jolee BS Mace
Revanator,226633786,0,0,0,Seps (1%): Dooku Jango Geo Spy Nute GBA
Revanator,226633786,0,0,0,SEE P1 5%: SEE Malak Darth Malgus Vader EP
Revanator,226633786,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Revanator,226633786,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Revanator,226633786,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Revanator,226633786,0,0,0,GG (2%): GG B1 Droideka B2 Dark Trooper
Revanator,226633786,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
SgtArtemi,513346367,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
SgtArtemi,513346367,0,0,0,JKL + JML (6%): JKL JMLS Mace GMY Old Ben
SgtArtemi,513346367,0,0,0,Seps (1%): Dooku Jango GG Nute AV
SgtArtemi,513346367,0,0,0,SEE P1 5%: SEE Malak Vader Sidious EP
SgtArtemi,513346367,0,0,0,SLKR+Armorer 12%: SL Kylo The Armorer HYoda Daka Zombie
SgtArtemi,513346367,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
SgtArtemi,513346367,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
SgtArtemi,513346367,0,0,0,Imperial Troopers 5%: Veers Admiral Piett Moff Gideon Starck Dark Trooper
SgtArtemi,513346367,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Man Uel,642958524,0,0,0,SLKR+Armorer 12%: SL Kylo The Armorer HYoda Daka Zombie
Man Uel,642958524,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Man Uel,642958524,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Man Uel,642958524,0,0,0,JKL + JML (6%): JKL JMLS BS Mace Old Ben
Man Uel,642958524,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Man Uel,642958524,0,0,0,SEE P1 5%: SEE Malak Darth Malgus Sion EP
Man Uel,642958524,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
Man Uel,642958524,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Man Uel,642958524,0,0,0,Seps (1%): Dooku Jango GG Nute GBA
Man Uel,642958524,0,0,0,Imperial Troopers 5%: Veers Admiral Piett Moff Gideon Range Trooper Dark Trooper
Danius,946519398,0,0,0,Seps (1%): Dooku Jango MagnaGuard GG Nute
Danius,946519398,0,0,0,JKL + JML (6%): JKL JMLS Jolee GMY Old Ben
Danius,946519398,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Danius,946519398,0,0,0,SLKR+NS 11%: SL Kylo Zombie Daka Hux Thrawn
Danius,946519398,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
