Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Pruitt Igoe,281524475,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Dark Blue Shark,184887218,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
UMakeMeHurl,926246141,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
DirtyFupa,534635937,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Obi one flunker,423459935,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Spitfire4xw,696431228,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Slapshot2626,456567694,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Obi Rod,211337543,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
LΛRRY,287333749,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
FN TR8R,571911842,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
LabMonkey,564124574,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
vQ Snips,331781822,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
cadeskywalker,724986478,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Elias Lund,569759155,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
MINI Kamei,915971671,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Danius,946519398,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Revanator,226633786,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Black Eagle,766419695,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Thøl Bøhøn,745429198,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
LordCedric,988942664,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Demetrio,352339413,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Clerical Error,149567178,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
lίl ZΞRΦ,678833849,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Paploo Escobar,529326885,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
LeiaBuns,525429844,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
mIRRORMERE,838762166,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Vexitron,584136993,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
MINI Chowbacca,782851421,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
NewHope,277246277,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Fooster,159495267,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
DigDoug,392251498,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Rampager,391968748,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Greedy greed0,485932238,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
SgtArtemi,513346367,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Mini LoreleiPhoenix7827,176258463,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
TyloRen,559164599,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Leon,784135568,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
moby,945984121,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Man Uel,642958524,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
DarthLinkinxr,778169541,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Admiral Piett
MINI Rainkoon,442432156,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
DarkOoba,889672729,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
DarthPr1mus,384256437,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
AwesomeGuy318,791694137,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Frijolito,819538235,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Stormpooper,658989798,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
GarthOneEye,693794949,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
ChameleonX,639981795,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
089,737797193,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
