Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
NewHope,277246277,0,0,0,Troopers: Veers Admiral Piett Starck Dark Trooper Range Trooper
NewHope,277246277,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
NewHope,277246277,0,0,0,Dooku+Asajj: Dooku AV
NewHope,277246277,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
AwesomeGuy318,791694137,0,0,0,Troopers: Veers Admiral Piett Moff Gideon Dark Trooper Range Trooper
AwesomeGuy318,791694137,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
AwesomeGuy318,791694137,0,0,0,Dooku+Asajj: Dooku AV
AwesomeGuy318,791694137,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
FN TR8R,571911842,0,0,0,Troopers: Veers Admiral Piett Moff Gideon Dark Trooper Range Trooper
FN TR8R,571911842,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
FN TR8R,571911842,0,0,0,Dooku+Asajj: Dooku AV
FN TR8R,571911842,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
cadeskywalker,724986478,0,0,0,Troopers: Veers Admiral Piett Moff Gideon Dark Trooper Range Trooper
cadeskywalker,724986478,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
cadeskywalker,724986478,0,0,0,Dooku+Asajj: Dooku AV
cadeskywalker,724986478,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
mIRRORMERE,838762166,0,0,0,Troopers: Veers Admiral Piett Moff Gideon Dark Trooper Range Trooper
mIRRORMERE,838762166,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
mIRRORMERE,838762166,0,0,0,Dooku+Asajj: Dooku AV
mIRRORMERE,838762166,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
UMakeMeHurl,926246141,0,0,0,Troopers: Veers Admiral Piett Starck Dark Trooper Range Trooper
UMakeMeHurl,926246141,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
UMakeMeHurl,926246141,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
UMakeMeHurl,926246141,0,0,0,Dooku+Asajj: Dooku AV
MINI Rainkoon,442432156,0,0,0,Troopers: Veers Admiral Piett Moff Gideon Dark Trooper Range Trooper
MINI Rainkoon,442432156,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
MINI Rainkoon,442432156,0,0,0,Dooku+Asajj: Dooku AV
MINI Rainkoon,442432156,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
MINI Chowbacca,782851421,0,0,0,Troopers: Veers Admiral Piett Moff Gideon Dark Trooper Range Trooper
MINI Chowbacca,782851421,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
MINI Chowbacca,782851421,0,0,0,Dooku+Asajj: Dooku AV
MINI Chowbacca,782851421,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Clerical Error,149567178,0,0,0,Troopers: Veers Admiral Piett Moff Gideon Dark Trooper Range Trooper
Clerical Error,149567178,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Clerical Error,149567178,0,0,0,Dooku+Asajj: Dooku AV
Clerical Error,149567178,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Revanator,226633786,0,0,0,Troopers: Veers Admiral Piett Moff Gideon Dark Trooper Range Trooper
Revanator,226633786,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Revanator,226633786,0,0,0,Dooku+Asajj: Dooku AV
Revanator,226633786,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DarthLinkinxr,778169541,0,0,0,Troopers: Veers Admiral Piett Moff Gideon Dark Trooper Range Trooper
