Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
DarthLinkinxr,778169541,0,0,0,GAS Special: GAS Ahsoka
DarthLinkinxr,778169541,0,0,0,JKL: JKL HYoda GMY Jolee GK
DarthLinkinxr,778169541,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
DarthLinkinxr,778169541,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
DarthLinkinxr,778169541,4,0,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
DigDoug,392251498,0,0,0,GAS Special: GAS Ahsoka
DigDoug,392251498,0,0,0,JKL: JKL HYoda GMY Jolee GK
DigDoug,392251498,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
DigDoug,392251498,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
DigDoug,392251498,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
DigDoug,392251498,4,0,4,ROLO: ROLO Cpt Solo Biggs Baze G12 Lando
Spitfire4xw,696431228,0,0,0,GAS Special: GAS Ahsoka
Spitfire4xw,696431228,0,0,0,JKL: JKL HYoda GMY Jolee GK
Spitfire4xw,696431228,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Spitfire4xw,696431228,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Spitfire4xw,696431228,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Spitfire4xw,696431228,6,0,6,ROLO: ROLO Cpt Solo Leia Baze G10 Lando
FN Pruitt Igoe,281524475,0,0,0,GAS Special: GAS Ahsoka
FN Pruitt Igoe,281524475,0,0,0,JKL: JKL HYoda GMY Jolee GK
FN Pruitt Igoe,281524475,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
FN Pruitt Igoe,281524475,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
FN Pruitt Igoe,281524475,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
FN Pruitt Igoe,281524475,1,0,1,ROLO: ROLO Cpt Solo Leia Baze Lando
FN LeiaBuns,525429844,0,0,0,GAS Special: GAS Ahsoka
FN LeiaBuns,525429844,0,0,0,JKL: JKL HYoda GMY Jolee GK
FN LeiaBuns,525429844,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
FN LeiaBuns,525429844,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
