Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
DarthPr1mus,384256437,0,0,0,151207,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Fooster,159495267,0,0,0,157760,Shaak Ti Fives Rex Echo (501st) ARC Trooper
mIRRORMERE,838762166,0,0,0,160113,Shaak Ti Fives Rex Echo (501st) ARC Trooper
UMakeMeHurl,926246141,0,0,0,154866,Shaak Ti Fives Rex Echo (501st) ARC Trooper
TyloRen,559164599,0,0,0,154997,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Obi one flunker,423459935,0,0,0,140519,Shaak Ti Fives Rex Echo (501st) ARC Trooper
CT69 Battosai,268777242,0,0,0,160467,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DirtyFupa,534635937,0,0,0,157449,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Man Uel,642958524,0,0,0,155156,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Danius,946519398,2,0,2,148031,Shaak Ti Fives Rex R3 Echo (501st) ARC Trooper
AwesomeGuy318,791694137,0,0,0,154572,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Greedy greed0,485932238,0,0,0,154210,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Stormpooper,658989798,0,0,0,147989,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Vexitron,584136993,0,0,0,148893,Shaak Ti Fives Rex Echo (501st) ARC Trooper
LabMonkey,564124574,0,0,0,151064,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DigDoug,392251498,0,0,0,152719,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Demetrio,352339413,0,0,0,149532,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Rampager,391968748,0,0,0,162860,Shaak Ti Fives Rex Echo (501st) ARC Trooper
vQ Snips,331781822,0,0,0,151554,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Leon,784135568,0,0,0,138173,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MINI Kamei,915971671,0,0,0,143056,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MINI Rainkoon,442432156,0,0,0,152649,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MINI Chowbacca,782851421,0,0,0,154990,Shaak Ti Fives Rex Echo (501st) ARC Trooper
089,737797193,0,0,0,155236,Shaak Ti Fives Rex Echo (501st) ARC Trooper
NewHope,277246277,0,0,0,151487,Shaak Ti Fives Rex Echo (501st) ARC Trooper
LΛRRY,287333749,0,0,0,155099,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Clerical Error,149567178,0,0,0,151309,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Revanator,226633786,0,0,0,155261,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Spitfire4xw,696431228,0,0,0,151677,Shaak Ti Fives Rex Echo (501st) ARC Trooper
LeiaBuns,525429844,0,0,0,136940,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Obi Rod,211337543,0,0,0,159898,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Slapshot2626,456567694,0,0,0,155667,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SgtArtemi,513346367,0,0,0,154064,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthLinkinxr,778169541,4,0,4,137851,Shaak Ti Fives Rex R3 Echo (501st) R3 ARC Trooper
DarkOoba,889672729,0,0,0,154078,Shaak Ti Fives Rex Echo (501st) ARC Trooper
cadeskywalker,724986478,0,0,0,153506,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Frijolito,819538235,0,0,0,141755,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Dark Blue Shark,184887218,0,0,0,145922,Shaak Ti Fives Rex Echo (501st) ARC Trooper
moby,945984121,0,0,0,148007,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Black Eagle,766419695,0,0,0,147918,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Thøl Bøhøn,745429198,0,0,0,160566,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Elias Lund,569759155,0,0,0,160349,Shaak Ti Fives Rex Echo (501st) ARC Trooper
lίl ZΞRΦ,678833849,0,0,0,157499,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ChameleonX,639981795,0,0,0,153267,Shaak Ti Fives Rex Echo (501st) ARC Trooper
GarthOneEye,693794949,0,0,0,155436,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Paploo Escobar,529326885,0,0,0,154048,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mini LoreleiPhoenix7827,176258463,0,0,0,154684,Shaak Ti Fives Rex Echo (501st) ARC Trooper
LordCedric,988942664,0,0,0,158187,Shaak Ti Fives Rex Echo (501st) ARC Trooper
