Player,Offense,Defense,GP,Name,Squad,Viable
"Vaine87",,,170732,JMK,"zzzzzzJMK zJKA zzGMY zzShaak Ti, zGK",1
"Vaine87",1,1,122546,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Vaine87",0,1,116711,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper G8",1
"Vaine87",,,522121,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Vaine87",1,0,114242,CLS,"zzzCLS zHan zzChewbacca R2-D2 G8, zzOld Ben",1
"Vaine87",,,324159,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Vaine87",,,426074,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Biggs X-wing",1
"Vaine87",0,1,100864,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Vaine87",0,1,132418,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Vaine87",,,409013,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",1
"Vaine87",1,1,145272,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Vaine87",1,1,95692,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Vaine87",0,1,143732,BH,"zzBossk zBoba Cad zzJango zDengar",1
"Vaine87",1,1,102474,Carth,"zCarth Onasi, zMission zZaalbar zJuhani zCanderous",1
"Vaine87",1,1,130298,zEP,"zzEP zzzVader zzTarkin TFP DN",1
"Vaine87",1,0,130110,Troopers,"zVeers zStarck zzMoff Gideon, Range Trooper, zzAdmiral Piett",1
"Vaine87",0,1,101470,Phoenix,"zHera zEzra zZeb zKanan zSabine",1
"Vaine87",,,51666,Phasma,"zPhasma G8, FOTP G1, FOSFTP G1, FOST G7, Kylo G7",0
"Vaine87",1,0,92452,Wiggs,"Wedge G1, Biggs zFulcrum zzC-3PO zLeia",0
"Vaine87",1,0,92171,Thragma (Counter),"zzThrawn Magma G1, DT Krennic Shoretrooper",0
"Vaine87",1,1,80429,Rogue1,"zzJyn Chirrut G7, Baze G7, zCassian zK-2SO",0
"Vaine87",,,55203,Bad Batch,"Hunter G7, Echo G7, Omega G8, Tech G8, Wrecker G1",0
"Vaine87",1,0,45862,Jawas,"Nebit G5, Jawa Engineer G7, Jawa Scavenger G5, Jawa G1, Dathcha G7",0
"Vaine87",1,0,7806,SionSolo (Counter),"Sion G5",0
"Grae",,,174123,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Grae",,,167466,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"Grae",0,1,87087,Qira,"Qira L3-37 zVandor Chewbacca, Mission Zaalbar",1
"Grae",1,1,96425,NS,"zMT zzAV Daka Zombie Spirit",1
"Grae",,,561305,Executor,"Executor HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Grae",,,155294,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"Grae",,,507060,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"Grae",1,0,143131,CLS,"zzCLS zHan zzChewbacca zzR2-D2 Old Ben",1
"Grae",,,307853,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Grae",,,436510,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Grae",0,1,94030,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Grae",1,0,110275,Traya,"zzTraya DN zSion Sith Empire Trooper, zzThrawn",1
"Grae",0,1,121082,Grievous,"zzGG zB2 zB1 zDroideka MagnaGuard",1
