Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Nikolias",318762542,4915966,2782970,2132996,130,-192,244,292,1402744,1380226,79,5,209,1,183,33,41,61,81,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,16,11,9
"Barbar Jinx",815839493,5324762,3173442,2151320,147,161,371,471,1877887,1295555,106,0,344,2,198,42,79,103,118,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,17,10,6
"OldRepublic",378428173,6637268,3820682,2816586,135,-172,261,377,1944758,1875924,147,8,344,2,206,47,70,112,124,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,14,9,7
"Mankenstein",698877391,4069831,2425074,1644757,147,6,78,207,1341862,1083212,58,0,78,0,162,6,20,49,71,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,11,8,5
"Slay",759672246,5264696,2885210,2379486,121,137,395,359,1689988,1195222,91,4,286,1,181,42,55,77,89,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,17,9,6
"Yaru Corsin",236868213,6518220,3693490,2824730,130,76,278,325,2108101,1585389,143,3,261,1,230,33,64,96,121,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,19,10,8
"MasterJackson",621328742,6386660,3817853,2568807,148,146,337,376,2244410,1573443,152,5,348,2,207,43,76,95,126,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,17,9,6
"Jay Blanks",479662669,6058308,3541860,2516448,140,274,186,297,2194457,1347403,102,4,226,1,227,27,57,78,112,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,17,8,6
"Kiddbuu",715619198,4840467,2725194,2115273,128,-153,256,253,1400450,1324744,58,4,148,1,165,19,34,59,92,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,18,12,9
"B1g M1ke",853385374,5157085,2952200,2204885,133,-198,210,282,1483965,1468235,79,5,234,1,192,39,44,55,83,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,16,11,7
"Sublime",672191753,6119769,3410261,2709508,125,-78,140,331,1815324,1594937,115,1,285,1,228,41,55,91,128,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,20,13,10
"Ark",952871774,6092983,3661512,2431471,150,-208,420,390,1831028,1830484,91,3,394,3,213,59,74,85,108,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,1,14,6,5
"Vaine87",336554377,6306410,3542700,2763710,128,59,282,340,2006767,1535933,144,7,255,1,247,36,66,98,119,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,17,10,7
"Mol Monez",933372893,4402117,2771057,1631060,169,-2,57,256,1527136,1243921,67,3,140,0,187,18,27,58,79,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,11,9,6
"Rick",694835425,5330958,3165782,2165176,146,-94,287,354,1672381,1493401,83,4,291,2,193,40,58,73,95,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,16,11,7
"Hadōken",911323127,5889918,3294734,2595184,126,140,440,321,1932595,1362139,113,7,253,1,219,32,58,81,99,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,16,8,4
"Wcheck",599244313,3896742,2353661,1543081,152,30,131,231,1316284,1037377,65,0,76,0,151,10,23,52,91,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,16,10,7
