Player,Offense,Defense,GP,Name,Squad,Viable
"Scourge",,,122887,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Scourge",1,1,151094,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Scourge",1,1,163380,GL Rey,"zzzzzzRey zzzJTR zzBB-8 zHoldo zResistance Hero Finn",1
"Scourge",1,1,101625,NS,"zzMT zAV zDaka Zombie Spirit",1
"Scourge",0,1,146436,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Scourge",0,1,143056,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Scourge",,,495458,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Scourge",1,0,144751,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzOld Ben",1
"Scourge",,,320378,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Scourge",,,430845,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Scourge",0,1,103057,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Scourge",0,1,131517,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Scourge",1,0,134515,Traya,"zzTraya zzDN zSion zDooku zzEP",1
"Scourge",,,444291,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",1
"Scourge",,,121320,Disintegration,"zzAurra Greef Karga G8, zBoba zzBossk zzThe Mandalorian",1
"Scourge",1,1,149624,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Scourge",,,99293,Mon Mothma,"zzMon Mothma, zCassian Lando Biggs Wedge",1
"Scourge",1,1,142932,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
"Scourge",1,1,90786,Ewoks,"zChirpa Elder Paploo Scout zWicket",1
"Scourge",1,1,94574,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Scourge",0,1,109053,BH,"zzJango Cad zIG-88 zDengar zNest",1
"Scourge",1,0,118132,Troopers,"zVeers zStarck zDark Trooper, DT zzAdmiral Piett",1
"Scourge",0,1,87440,Phoenix,"Hera zZeb zKanan zEzra Sabine G8",1
"Scourge",,,96289,Bad Batch,"zHunter zEcho Omega zTech zWrecker",1
"Scourge",1,1,78499,Rogue1,"Jyn Chirrut G9, Baze G9, zK-2SO Bistan G8",1
"Scourge",1,0,63075,Jawas,"Nebit G7, Jawa Engineer G7, Jawa Scavenger G8, Jawa G8, Dathcha G9",0
"Raxle Alucard",,,171830,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Raxle Alucard",,,124154,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Raxle Alucard",1,1,158421,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Raxle Alucard",,,164493,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Raxle Alucard",,,560747,Executor,"Executor 5* HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Raxle Alucard",,,158523,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"Raxle Alucard",1,1,108179,NestSisters,"zzAV zzMT zDaka Zombie zNest",1
"Raxle Alucard",,,509201,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"Raxle Alucard",1,0,150523,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzOld Ben",1
"Raxle Alucard",,,313547,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Raxle Alucard",,,464445,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Raxle Alucard",0,1,102011,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Raxle Alucard",0,1,138007,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Raxle Alucard",1,0,115867,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper",1
"Raxle Alucard",,,108239,Mon Mothma,"zzMon Mothma, Scarif zPao Biggs Wedge",1
"Raxle Alucard",1,1,93553,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"Raxle Alucard",1,0,148497,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Raxle Alucard",0,1,151473,BH,"zzBossk zBoba zZam zJango zDengar",1
"Raxle Alucard",1,1,92764,Carth,"zCarth Onasi, zMission zZaalbar Juhani G8, zCanderous",1
"Raxle Alucard",1,0,122585,Troopers,"zVeers zStarck zDT zzAdmiral Piett, zIden Versio",1
"Raxle Alucard",0,1,99960,Phoenix,"zHera zZeb zKanan zEzra zSabine",1
"Raxle Alucard",,,125232,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"Raxle Alucard",1,0,66018,Jawas,"Nebit G8, Jawa Engineer G7, Jawa Scavenger G7, Jawa G9, Dathcha G7",0
"anonymous",,,125125,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
