Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"booba fit",825628324,7402396,4357871,3044525,143,0,344,453,2404034,1953837,166,6,502,4,252,70,99,136,156,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,22,10,9
"M'hael",935758315,8194801,4703448,3491353,134,72,374,435,2679596,2023852,182,6,554,5,252,77,108,138,157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,22,9,10
"Drcul",287631499,7150408,4047100,3103308,130,151,195,362,2384658,1662442,158,1,307,2,258,44,66,132,155,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,25,12,10
"Jaybird04",598422159,7431230,4281600,3149630,135,-21,294,403,2339523,1942077,165,4,454,4,246,61,89,120,152,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,22,8,10
"REM",977229337,7189362,4287989,2901373,147,174,256,439,2551274,1736715,154,1,486,4,248,72,96,123,150,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,24,11,11
"Mjmathes",637587321,7160691,4221228,2939463,143,-67,255,419,2258027,1963201,143,4,451,4,245,60,88,122,146,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,21,8,10
"POstaSU",447187272,8911302,5311223,3600079,147,-91,342,600,2810117,2501106,179,4,872,6,275,117,165,196,203,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,8,9
"KnightdeZero",271946832,4887503,3147463,1740040,180,92,273,502,1808555,1338908,129,2,349,2,173,50,85,91,106,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,13,5,5
"Sharkie",353925249,7923719,4575765,3347954,136,51,323,447,2583189,1992576,157,5,568,2,249,101,102,139,163,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,23,9,11
"Comdr Vimes",622727299,7412993,4350528,3062465,142,-4,151,384,2395187,1955341,157,5,400,1,252,62,85,120,161,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,24,12,10
"Thulcandra",179967557,7249169,4355167,2894002,150,133,378,338,2546590,1808577,178,5,336,2,251,40,72,106,151,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,23,10,10
"Wolfoar",891287445,7285720,4259919,3025801,140,-25,161,388,2323894,1936025,192,6,412,3,247,61,84,117,153,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,25,11,11
"Cue",551931678,8002618,4788104,3214514,148,58,492,468,2710620,2077484,190,3,609,5,255,96,109,144,173,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,26,11,11
"DocAphra",181137162,7269349,4299696,2969653,144,105,174,458,2484354,1815342,137,3,445,2,248,53,113,131,154,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,26,12,11
"Patr0nSa1nt",312594256,8121180,4747966,3373214,140,30,282,372,2655345,2092621,184,7,437,3,259,70,79,136,181,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,24,10,10
"MINI Ace Nightwing",898889991,8995645,5319165,3676480,144,-5,498,545,2927935,2391230,214,4,760,6,275,106,153,186,208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,10,12
"Brax Nightfighter",335812394,7451416,4394583,3056833,143,89,323,413,2521360,1873223,168,8,497,2,234,81,87,122,144,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,21,8,9
"VB Vipe",687898995,6898908,3940150,2958758,133,-167,215,273,2010909,1929241,139,4,295,2,231,37,57,73,111,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,21,12,11
"Jackalope",555161654,6456812,3660316,2796496,130,161,439,403,2165883,1494433,100,4,357,2,233,55,80,109,128,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,19,10,8
"Tyran MustaFarious",522414114,7594646,4304932,3289714,130,-36,390,447,2336609,1968323,162,4,516,4,255,72,106,131,161,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,23,10,11
"jrizzle1284",765926165,6194402,3711121,2483281,149,156,167,320,2191239,1519882,119,1,249,1,253,30,57,92,144,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,23,11,11
"Supersaber",329261985,8184413,4900556,3283857,149,34,359,442,2745150,2155406,184,6,574,5,261,79,110,137,163,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,25,8,11
"Infected Potatoes",987229161,5791351,3346040,2445311,136,-60,239,311,1795955,1550085,129,2,206,1,195,22,57,82,115,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,21,13,10
"Baron Grayson",793886741,7857685,4583714,3273971,140,86,503,448,2626452,1957262,179,4,501,3,251,63,110,142,161,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,22,10,9
"bad",236624384,6125520,3404041,2721479,125,-228,393,403,1685856,1718185,144,4,380,3,195,50,76,95,120,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,21,10,10
"DarthSuki",789948498,8398885,5050779,3348106,150,-10,441,463,2773378,2277401,185,5,595,4,262,85,110,160,189,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,25,7,9
"cowboykiller",598717476,7437668,4334702,3102966,139,57,41,411,2453582,1881120,154,3,480,4,253,70,93,117,149,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,26,11,12
"Tuck",695888196,6943038,4086514,2856524,143,-130,303,432,2123084,1963430,143,6,420,3,226,49,89,127,147,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,20,9,10
