Player,Offense,Defense,GP,Name,Squad,Viable
"Dark Helmutt",0,1,90061,Qira,"Qira L3-37 G8, zVandor Chewbacca, zMission zZaalbar",1
"Dark Helmutt",1,1,105744,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Dark Helmutt",,,165513,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Dark Helmutt",0,1,125958,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Dark Helmutt",0,1,145572,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Dark Helmutt",,,481390,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"Dark Helmutt",1,0,149789,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzOld Ben",1
"Dark Helmutt",,,329594,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Dark Helmutt",,,451993,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Dark Helmutt",0,1,118311,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Dark Helmutt",0,1,127315,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Dark Helmutt",1,0,125416,Traya,"zzTraya zzDN zSion zzEP zzThrawn",1
"Dark Helmutt",,,422565,Executrix,"Executrix Tie Adv, Emperor's Shuttle, TIE Reaper, Imperial TIE Fighter, Gauntlet Starfighter, First Order SF TIE Fighter, First Order TIE Fighter",1
"Dark Helmutt",,,107003,Mon Mothma,"zzMon Mothma, Wedge Biggs zCara Dune, Chirrut",1
"Dark Helmutt",1,1,85041,Ewoks,"zChirpa Elder Paploo Wicket Logray G9",1
"Dark Helmutt",1,0,134184,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Dark Helmutt",0,1,113473,BH,"zzBossk zDengar zBoba zJango zzThe Mandalorian",1
"Dark Helmutt",0,1,113213,FO,"zzKRU zKylo FOE zHux FOO",1
"Dark Helmutt",1,0,98619,zMaul,"zDarth Maul, Sidious zDooku Sith Marauder, zNest",1
"Dark Helmutt",0,1,92219,Phoenix,"zHera zEzra zKanan G8, zSabine zZeb G8",1
"Dark Helmutt",1,0,72309,Jawas,"Nebit G8, Jawa Engineer, Jawa Scavenger G9, Jawa Dathcha",1
"Dark Helmutt",1,0,91893,Troopers,"Veers zzAdmiral Piett, zzMoff Gideon G9, Dark Trooper G9, Range Trooper",0
"Dark Helmutt",,,92410,Bad Batch,"zHunter zEcho 6* G9, zzOmega G9, zTech zWrecker",0
"Smackdown48",,,167307,JMK,"zzzzzzJMK zJKA zzGMY zzShaak Ti, zGK",1
"Smackdown48",,,173655,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"Smackdown48",0,1,129747,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Assassin",1
"Smackdown48",,,507372,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter 6*, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Smackdown48",1,0,149933,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzOld Ben",1
"Smackdown48",,,397608,HansMF,"Home One, Han's MF, Rebel Y-wing 6*, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Smackdown48",0,1,94321,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Smackdown48",0,1,125282,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Smackdown48",1,0,130144,Troopers,"zVeers zzAdmiral Piett, zzMoff Gideon, zDark Trooper, Range Trooper",1
"Smackdown48",,,113303,Mon Mothma,"zzMon Mothma, zPao Wedge Lando Biggs",1
"Smackdown48",1,1,82204,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Smackdown48",0,1,143526,BH,"zzBossk Dengar zBoba zzJango IG-88",1
"Smackdown48",1,1,123811,zEP,"zzEP zzzVader Tarkin TFP zzMara Jade, The Emperor's Hand 6*",1
"Smackdown48",1,0,144855,501st,"zRex zARC Trooper, zEcho (501st), zzFives zAhsoka",1
"Smackdown48",0,1,105068,FO,"zzKRU zKylo zPhasma zHux FOO",1
"Smackdown48",0,1,74930,Phoenix,"Hera zEzra Kanan G8, Zeb G8, Chopper G9",1
"Smackdown48",1,0,75391,Thragma (Counter),"zThrawn Magma G8, DT G8, Stormtrooper G9, Shoretrooper G9",1
"Smackdown48",1,0,67600,QiraNest,"zQira zNest zzHYoda",1
"Smackdown48",1,1,93079,NS_Alt,"zzMT zzAV zDaka Zombie G8, Talia G9",0
"Smackdown48",,,384538,Executrix,"Executrix Tie Adv, Emperor's Shuttle 6*, TIE Reaper 4*, Imperial TIE Fighter, Gauntlet Starfighter 6*, First Order SF TIE Fighter, First Order TIE Fighter",0
"Smackdown48",1,1,84604,Carth,"zCarth Onasi, zMission zZaalbar Juhani G7, zCanderous",0
"Smackdown48",1,0,12877,SionSolo (Counter),"Sion G7",0
"KELLVES",,,123530,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"KELLVES",0,1,114923,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"KELLVES",1,0,112198,CLS,"zzzCLS zHan zzChewbacca R2-D2 Old Ben",1
"KELLVES",0,1,106247,DR,"zzzDR HK-47 BSF Sith Assassin G8, zzThrawn",1
"KELLVES",0,1,105712,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"KELLVES",0,1,113560,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"KELLVES",1,0,109725,Traya,"zzTraya DN Sion G9, zDooku zzEP",1
"KELLVES",1,1,121403,Revan Offense,"zzzJKR zzGMY zBS zJolee HYoda",1
"KELLVES",1,1,103366,Ewoks,"zChirpa Elder zPaploo zWicket zLogray",1
"KELLVES",1,0,112087,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives ARC Trooper",1
"KELLVES",1,1,91162,Carth,"Carth Onasi, Mission zZaalbar Juhani Canderous",1
"KELLVES",0,1,104300,BH,"zzBossk Dengar zBoba zJango zThe Mandalorian",1
"KELLVES",0,1,79831,Phoenix,"zHera zEzra Kanan G8, Sabine Zeb G8",1
"KELLVES",1,0,19848,NestSolo (Counter),"zNest",1
"KELLVES",,,377801,Negotiator,"Negotiator BTL-B Y-wing Starfighter 5*, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",0
"KELLVES",1,1,87849,NS,"zMT AV Daka Zombie G8, Spirit",0
"KELLVES",,,81383,Mon Mothma,"Mon Mothma, Wedge Lando Cara Dune, Chirrut",0
"KELLVES",1,0,73856,Troopers,"Veers Starck G8, Shoretrooper zStormtrooper Moff Gideon G9",0
"KELLVES",,,68152,Bad Batch,"Hunter G9, Echo G9, Omega G9, Tech G9, Wrecker G9",0
"KELLVES",1,0,55169,Jawas,"Nebit G8, Jawa Engineer G7, Jawa Scavenger G7, Jawa G5, Dathcha G8",0
"Kruggosvet",0,1,145284,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Kruggosvet",0,1,124151,DRMalak,"zzzDR zzHK-47 zBSF zzMalak Sith Empire Trooper",1
"Kruggosvet",,,504258,Negotiator,"Negotiator HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, BTL-B Y-wing Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter",1
"Kruggosvet",,,445904,HansMF,"Home One, Han's MF, Biggs X-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Kruggosvet",0,1,93300,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Kruggosvet",0,1,131402,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Kruggosvet",1,0,121637,Traya,"zzTraya zDN zSion zzEP zzThrawn",1
"Kruggosvet",1,0,131991,CLS,"zzzCLS zHan zzChewbacca Chewpio G8, zzR2-D2",1
"Kruggosvet",1,1,138736,GAS,"zzzzGAS zRex zEcho (501st), zzFives zARC Trooper",1
"Kruggosvet",1,1,144391,Revan Offense,"zzzJKR zzGMY zBS zJolee zzHYoda",1
