Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Dark Helmutt",526651765,7111733,4093089,3018644,135,124,222,336,2384359,1708730,156,0,300,1,249,35,69,110,139,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,21,10,7
"Brezenski",984531628,6823435,4006116,2817319,142,92,192,341,2301766,1704350,124,3,329,1,250,36,73,94,125,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,24,12,11
"DrunkenChewy",525874223,4752815,2889824,1862991,155,-46,131,250,1560855,1328969,72,6,146,1,175,16,33,57,87,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,15,8,9
"Warp the Errant",156635713,4460932,2852936,1607996,177,217,119,178,1727242,1125694,83,0,109,0,163,15,23,35,77,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,12,9,7
"Certified Waffle",574564517,4338998,2584139,1754859,147,92,65,219,1485117,1099022,59,0,106,0,190,14,26,48,76,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,14,10,8
"Corran Horn",449517421,5625999,3281711,2344288,139,-182,219,293,1662308,1619403,114,3,221,1,198,29,48,73,108,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,19,10,11
"Hudd",242611463,7135925,4151521,2984404,139,-6,397,406,2283304,1868217,153,4,375,2,253,39,95,120,144,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,23,10,11
"MonkeyOfBorealValley",175631523,4964530,2929025,2035505,143,71,392,210,1667715,1261310,85,1,98,0,211,13,24,61,94,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,16,10,8
"Saxmo",922466947,5497542,3121208,2376334,131,-44,221,206,1688065,1433143,101,0,138,0,211,23,26,60,90,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,15,11,6
"Kruggosvet",775667646,5117858,3001306,2116552,141,157,546,345,1772574,1228732,106,5,205,0,195,31,42,94,111,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,19,12,10
"Wedgie Antigua",644939851,7136035,4171173,2964862,140,33,340,360,2335826,1835347,172,3,406,3,238,58,77,99,132,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,20,6,8
"BootyMaster",941781972,6010580,3574162,2436418,146,76,123,230,2039495,1534667,121,4,199,1,218,29,42,57,88,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,18,11,9
"DarthBuckyLasek",949196553,4253158,2337431,1915727,122,89,380,294,1341466,995965,76,5,197,2,161,29,39,47,64,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,12,6,6
"The Exile",857332717,6572992,3941307,2631685,149,256,332,401,2424617,1516690,147,1,388,2,199,56,77,109,127,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,14,8,7
"TheIrishBuddaha",285796775,5372555,3182583,2189972,145,202,69,313,1915463,1267120,105,0,186,0,219,31,41,90,124,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,17,10,9
"Dark Helmut",922689332,7229358,4155347,3074011,135,126,197,336,2422734,1732613,159,0,312,1,253,39,70,111,145,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,22,10,8
"Aaron",714516234,5557893,3136683,2421210,129,29,216,286,1753598,1383085,84,4,242,1,205,38,50,61,86,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,16,11,8
"Austin",134846683,5624522,3233388,2391134,135,-57,299,358,1737998,1495390,106,3,289,2,232,41,59,85,108,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,16,10,8
