Player,Offense,Defense,GP,Name,Squad,Viable
"TenaciousM",,,176650,LV,"zzzzzzLord Vader, zzAdmiral Piett, zzzMaul zRG zzzVader",1
"TenaciousM",1,1,155041,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"TenaciousM",,,174030,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"TenaciousM",1,1,103460,NS,"zMT zzAV zDaka Zombie Spirit",1
"TenaciousM",,,565744,Executor,"Executor 6* HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"TenaciousM",,,163750,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"TenaciousM",0,1,143351,padme,"zzPadme zGK zJKA zAhsoka zC-3PO",1
"TenaciousM",,,472900,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"TenaciousM",1,0,149078,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zOld Ben",1
"TenaciousM",,,311657,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"TenaciousM",,,490080,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"TenaciousM",0,1,103490,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"TenaciousM",0,1,126836,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"TenaciousM",,,120661,Mon Mothma,"zzMon Mothma, zPao Hoth Rebel Scout, Scarif zCara Dune",1
"TenaciousM",,,124313,Disintegration,"Aurra zzGreef Karga, zBoba zzBossk zThe Mandalorian",1
"TenaciousM",1,1,86661,Ewoks,"zChirpa Elder Paploo zWicket Logray G9",1
"TenaciousM",1,0,143944,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"TenaciousM",1,1,92897,Carth,"zCarth Onasi, zMission Zaalbar Juhani Canderous",1
"TenaciousM",0,1,139103,BH,"zzJango zDengar zIG-88 zZam zEmbo",1
"TenaciousM",1,0,119175,Troopers,"zVeers zStarck DT zIden Versio, zDark Trooper",1
"TenaciousM",0,1,92980,Phoenix,"Hera Zeb zKanan Ezra Sabine",1
"TenaciousM",1,1,121961,Rogue1,"zJyn Chirrut G9, Baze zCassian zK-2SO",1
"TenaciousM",,,125444,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"TenaciousM",,,106597,Mando,"zzThe Mandalorian (Beskar Armor), zDash Rendar, Nest zIG-11 zKuiil",1
"TenaciousM",1,0,121812,EP (Counter, Rebel),"zzEP Shoretrooper Krennic zzWampa Range Trooper",1
"TenaciousM",1,0,66288,Jawas,"Nebit G9, Jawa Engineer G9, Jawa Scavenger G8, Jawa G8, Dathcha G8",1
"TenaciousM",1,0,24463,SionSolo (Counter),"zSion",1
"TenaciousM",,,122957,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",0
"TenaciousM",1,0,124344,zMaul,"Darth Maul, zSidious Sith Assassin, zSavage Sith Empire Trooper",0
"ShinyDemon",,,169674,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"ShinyDemon",1,1,101673,NS,"zzMT zAV zDaka Zombie Spirit",1
"ShinyDemon",,,582782,Executor,"Executor HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"ShinyDemon",0,1,136922,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Empire Trooper",1
"ShinyDemon",,,513453,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"ShinyDemon",1,0,145368,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 Old Ben",1
"ShinyDemon",,,306232,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"ShinyDemon",,,481259,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"ShinyDemon",0,1,96184,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"ShinyDemon",0,1,125248,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"ShinyDemon",,,116860,Mon Mothma,"zzMon Mothma, Bistan Scarif Wedge Biggs",1
"ShinyDemon",1,1,138892,Revan Offense,"zzzJKR zGMY zHYoda zJolee zJKA",1
"ShinyDemon",1,1,78068,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"ShinyDemon",1,0,147710,ShaakClones,"zzShaak Ti, zRex Echo (501st), zzFives zARC Trooper",1
"ShinyDemon",0,1,144452,BH,"zzBossk Dengar zBoba zJango zThe Mandalorian",1
"ShinyDemon",1,1,132296,zEP,"zzEP zzzVader Tarkin TFP zzMara Jade, The Emperor's Hand",1
"ShinyDemon",0,1,92818,FO,"zzKRU zKylo FOST FOO FOE G9",1
"ShinyDemon",0,1,88324,Phoenix,"Hera Zeb zKanan Ezra Sabine G8",1
"ShinyDemon",1,0,18787,NestSolo (Counter),"zNest",1
"ShinyDemon",1,1,82492,Carth,"zCarth Onasi, zMission Zaalbar Juhani G7, Canderous",0
"ShinyDemon",1,0,94709,Troopers,"Veers G8, zStarck G8, DT G8, zzAdmiral Piett, zDark Trooper G9",0
"ShinyDemon",1,1,93755,Rogue1,"zJyn Chirrut 6* G8, Baze G8, zCassian K-2SO G8",0
"JokerBillo7",,,123235,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"JokerBillo7",1,1,163514,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"JokerBillo7",,,152908,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"JokerBillo7",,,550197,Executor,"Executor 5* HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"JokerBillo7",,,171124,JMLS,"zzzJKR zzJKL zzzzzzJMLS zWat Tambor, zzzzGAS",1
"JokerBillo7",0,1,140439,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"JokerBillo7",1,0,150871,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzOld Ben",1
"JokerBillo7",,,320807,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
