Player,Offense,Defense,GP,Name,Squad,Viable
"Churro",,,180538,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Churro",,,174405,LV,"zzzzzzLord Vader, zzAdmiral Piett, zzzMaul zRG zzzVader",1
"Churro",,,169723,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Churro",1,1,103746,NS,"zzMT zzAV zDaka Zombie Spirit",1
"Churro",,,584245,Executor,"Executor HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Churro",,,158331,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"Churro",,,518470,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"Churro",1,0,153455,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zOld Ben",1
"Churro",,,317600,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Churro",,,450837,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing, Wedge X-wing",1
"Churro",0,1,101530,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Churro",0,1,134170,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Churro",1,0,120206,Traya,"zzTraya zDN zSion Sith Empire Trooper, zThrawn",1
"Churro",,,113718,Mon Mothma,"zzMon Mothma, zCara Dune, Hoth Rebel Scout, zPao Bistan",1
"Churro",1,0,151954,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Churro",0,1,148182,BH,"zzBossk zJango Dengar zZam zBoba",1
"Churro",1,1,94986,Carth,"zCarth Onasi, zMission zZaalbar Juhani Canderous",1
"Churro",1,1,82104,Ewoks,"zChirpa Elder Paploo Teebo Scout",1
"Churro",1,0,118520,Troopers,"zVeers zStarck zMoff Gideon, Shoretrooper zDark Trooper",1
"Churro",0,1,79609,Phoenix,"Hera Kanan G8, Ezra Zeb G8, Sabine G8",1
"Churro",1,1,91558,Rogue1,"Jyn Chirrut G8, Baze G8, Cassian K-2SO G8",1
"Churro",,,121636,Bad Batch,"zHunter zEcho zOmega zTech zWrecker",1
"Churro",1,0,123147,EP (Counter, Rebel),"zzEP Krennic DT G9, zzWampa zNest",1
"Churro",,,56210,Phasma,"Phasma G8, FOTP FOSFTP 5* G7, FOST 5* G8, Kylo G8",0
"Churro",1,0,103356,Wiggs,"Wedge Biggs Fulcrum G4, zzC-3PO Leia",0
"Churro",1,0,65740,Jawas,"Nebit G7, Jawa Engineer G9, Jawa Scavenger G8, Jawa Dathcha G7",0
"Heathcliff",,,174752,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Heathcliff",1,1,163965,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zResistance Hero Poe, zResistance Hero Finn",1
"Heathcliff",,,571854,Executor,"Executor HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"Heathcliff",,,506972,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"Heathcliff",,,269158,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Heathcliff",,,141919,JKL,"zzJKL zzzJKR zHYoda zzOld Ben, Aayla",1
"Heathcliff",0,1,80417,Geonosians,"zzGBA Sun Fac G9, Geo Soldier G9, Geo Spy G9, Poggle G9",1
"Heathcliff",0,1,126402,Grievous,"zzGG zB2 zB1 zMagnaGuard zNute",1
"Heathcliff",1,0,111315,Traya,"zzTraya zDN zSion zzEP zThrawn",1
"Heathcliff",,,129473,Disintegration,"Aurra zzGreef Karga, zBoba zzBossk zThe Mandalorian",1
"Heathcliff",1,0,146727,CLS,"zzzCLS zHan zzChewbacca zChewpio zzC-3PO",1
"Heathcliff",1,1,85570,Ewoks,"zChirpa G9, Elder zPaploo Wicket zLogray",1
"Heathcliff",1,0,143310,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Heathcliff",0,1,127494,BH,"zzJango IG-88 Dengar zZam Cad",1
"Heathcliff",1,0,101139,Wiggs,"Wedge Biggs Fulcrum zEzra Leia",1
"Heathcliff",0,1,84879,FO,"zzKRU Kylo G9, zSith Trooper G9, FOE FOO",1
"Heathcliff",0,1,92620,Phoenix,"zHera zKanan Chopper zZeb zSabine",1
"Heathcliff",1,0,20748,NestSolo (Counter),"zNest",1
"Heathcliff",1,1,87879,NS,"zzMT zAV zDaka Zombie Spirit G8",0
"Heathcliff",,,407162,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Ghost Cassian's U-wing 6*, Wedge X-wing",0
"Heathcliff",1,0,104759,Troopers,"zVeers G9, zzAdmiral Piett, zMoff Gideon, zDark Trooper, Range Trooper",0
"Heathcliff",,,107473,Mon Mothma,"zzMon Mothma, Lando zPao G9, Bistan G8, zKyle Katarn",0
"Heathcliff",,,100122,Bad Batch,"zHunter zEcho zzOmega G9, zTech zWrecker",0
"lyt0506",,,184816,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"lyt0506",,,125518,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"lyt0506",1,1,165372,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"lyt0506",,,177308,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
"lyt0506",1,1,167910,GL Rey,"zzzzzzRey zzzJTR zzBB-8 zResistance Hero Poe, zResistance Hero Finn",1
"lyt0506",0,1,122803,Qira,"zQira L3-37 zVandor Chewbacca, zMission zZaalbar",1
"lyt0506",1,1,134964,NS,"zzMT zzAV zDaka Zombie Spirit",1
"lyt0506",,,664720,Executor,"Executor HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Tie Adv, TIE Reaper",1
"lyt0506",,,161497,JMLS,"zBS zzzzzzJMLS zWat Tambor, zzJKL zJolee",1
"lyt0506",,,543727,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"lyt0506",1,0,154214,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 zzOld Ben",1
"lyt0506",,,349958,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"lyt0506",,,486130,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"lyt0506",0,1,118479,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"lyt0506",0,1,134904,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"lyt0506",1,0,143638,Traya,"zzTraya zDN zSion zzEP Sith Empire Trooper",1
"lyt0506",,,119268,Mon Mothma,"zzMon Mothma, zCara Dune, Hoth Rebel Scout, Scarif zPao",1
"lyt0506",1,0,139245,Troopers,"zVeers zzAdmiral Piett, zzMoff Gideon, zDark Trooper, Range Trooper",1
"lyt0506",,,159138,Disintegration,"zzAurra zzGreef Karga, zBoba zzBossk zThe Mandalorian",1
"lyt0506",1,1,95227,Ewoks,"zChirpa Elder Paploo Wicket zLogray",1
"lyt0506",1,0,150478,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"lyt0506",0,1,151078,BH,"zzJango zIG-88 zDengar zFennec Shand, zNest",1
"lyt0506",,,122030,Iden Troopers,"zIden Versio, Shoretrooper Snowtrooper Magma zDT",1
"lyt0506",1,0,115112,Wiggs,"Wedge Biggs zEzra zzC-3PO Leia",1
"lyt0506",0,1,86433,Phoenix,"zHera Kanan G8, Chopper Zeb G8, zSabine",1
"lyt0506",1,0,120757,zMaul,"zDarth Maul, zDooku zSidious Sith Assassin, zSavage",1
"lyt0506",1,1,87195,Rogue1,"zJyn Chirrut Baze G9, zCassian K-2SO G9",1
"lyt0506",1,0,92219,Jawas,"Nebit Jawa Engineer, Jawa Scavenger, Jawa Dathcha",1
"thedudesz",,,170311,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"thedudesz",0,1,90877,Qira,"Qira L3-37 zVandor Chewbacca, zMission Zaalbar",1
"thedudesz",1,1,103211,NS,"zzMT zzAV zDaka Zombie Spirit",1
"thedudesz",,,566426,Executor,"Executor 6* HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"thedudesz",0,1,126771,DRMalak,"zzzDR zHK-47 zBSF zzMalak Sith Empire Trooper",1
