Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jabba the Hutt,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"DooganDäzs",982253347,8467541,5043445,3424096,147,87,414,470,2882685,2160760,206,4,614,5,273,84,122,154,176,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,26,10,10
"Vitess",551746456,4908373,3055334,1853039,164,299,582,415,1906476,1148858,93,1,315,2,178,41,66,75,97,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,15,6,7
"MINI Vertigo",162795638,7948519,4704688,3243831,145,39,637,463,2632504,2072184,185,4,551,3,242,77,116,142,167,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,22,9,9
"Shenan",284374515,6718838,4083779,2635059,154,6,572,450,2251692,1832087,124,1,487,3,226,72,96,109,131,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,19,6,8
"Heathcliff",242813636,6454450,3804194,2650256,143,322,491,394,2395366,1408828,154,4,409,3,221,62,75,98,125,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,18,7,7
"ThomastheWankEngine",642554734,6702507,3881913,2820594,137,-168,510,431,1972423,1909490,117,4,496,3,226,70,86,104,122,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,20,7,9
"JubJub",598926799,6316347,3702662,2613685,141,61,426,420,2092246,1610416,117,4,428,3,198,59,86,94,104,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,16,6,6
"thedudesz",385349641,7719134,4448062,3271072,135,23,474,405,2471714,1976348,155,3,460,2,264,67,89,132,158,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,25,9,10
"OllyQween",267837168,6667115,3842017,2825098,135,128,502,421,2234215,1607802,136,3,410,3,241,60,82,117,132,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,22,10,10
"Robflat7",364735835,6785760,3889921,2895839,134,-17,514,463,2121703,1768218,140,4,476,4,233,62,99,120,137,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,20,7,8
"Ju'Ev",887524915,6607991,3729872,2878119,129,58,321,422,2105011,1624861,120,4,475,2,220,72,88,96,114,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,22,9,9
"PinkSy Snootles",453561971,7178588,3968898,3209690,123,-51,423,445,2131625,1837273,114,6,519,4,238,84,98,118,133,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,22,9,11
"DickLickly",815337783,8493821,5120154,3373667,151,-88,564,539,2702949,2417205,178,5,823,5,265,123,135,159,184,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,26,9,12
"Win More",928189196,7595463,4466013,3129450,142,-50,490,410,2399770,2066243,140,6,444,3,259,63,86,137,159,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,23,9,9
"Me",282951537,7214000,4108305,3105695,132,-7,360,422,2251373,1856932,138,5,489,4,247,62,99,108,128,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,21,7,7
"Choomba",358678557,6394162,3520225,2873937,122,130,545,414,2049495,1470730,128,6,440,3,211,67,81,96,109,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,21,8,8
"FrankDaArcher",336862624,6432155,3664538,2767617,132,78,414,429,2086389,1578149,114,3,456,3,223,67,84,101,112,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,18,5,5
"NΞKΘNΞΧU シ",656655975,6731470,3831120,2900350,132,-29,613,410,2078845,1752275,135,4,436,2,228,60,77,112,128,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,22,9,10
"Tiberius",948842412,6975743,4038559,2937184,137,-18,512,469,2201787,1836772,156,3,531,3,233,78,98,123,137,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,22,8,8
"Richie",873783647,6921006,4011630,2909376,137,20,545,474,2226076,1785554,152,6,536,3,216,85,101,120,138,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,21,9,9
"Djang0",976784988,7367702,4164786,3202916,130,114,412,425,2408336,1756450,152,5,497,2,240,67,98,116,124,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,21,8,8
"Luna Tuna",661356162,6933096,3960441,2972655,133,-27,613,472,2150534,1809907,149,7,563,4,224,78,100,115,136,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,22,9,10
"Mol",726788126,8094557,4842566,3251991,148,-62,615,486,2587309,2255257,185,5,605,4,258,87,117,156,184,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,26,10,11
"MINI Strategos",889667644,9479526,5630332,3849194,146,-6,708,555,3086164,2544168,238,5,802,6,283,100,166,200,221,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,28,10,11
"SolarWarden",221738514,8072643,4615573,3457070,133,86,363,505,2637098,1978475,183,4,646,6,250,91,125,154,166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,23,11,10
"Sandgoat",191343195,7551206,4327490,3223716,134,-49,476,466,2326499,2000991,162,4,572,4,265,84,109,129,153,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,21,8,8
