Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
BigDustbinlid,582651625,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
BigDustbinlid,582651625,0,0,0,Seps (1%): Dooku Jango Nute B1 GG
BigDustbinlid,582651625,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
BigDustbinlid,582651625,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Sakaradin,596159943,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Sakaradin,596159943,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Sakaradin,596159943,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
Sakaradin,596159943,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Sakaradin,596159943,0,0,0,SEE P1 5%: SEE Malak EP Darth Malgus Sidious
Sakaradin,596159943,0,0,0,JKL + JML (6%): JKL JMLS Jolee GMY Old Ben
Sakaradin,596159943,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Sakaradin,596159943,0,0,0,Seps (1%): Dooku Jango Nute B1 GG
Sakaradin,596159943,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Luna Tuna,661356162,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Luna Tuna,661356162,0,0,0,SLKR+Armorer 12%: SL Kylo The Armorer HYoda Daka Zombie
Luna Tuna,661356162,0,0,0,SEE P1 5%: SEE Malak Sith Trooper EP Traya
Luna Tuna,661356162,0,0,0,JKL + JML (6%): JKL JMLS JKR Mace Old Ben
Luna Tuna,661356162,0,0,0,Seps (1%): Dooku Jango GBA B1 GG
Luna Tuna,661356162,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Luna Tuna,661356162,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Luna Tuna,661356162,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
dark choice,668319961,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
dark choice,668319961,0,0,0,GG (2%): GG B1 Droideka B2 MagnaGuard
dark choice,668319961,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
dark choice,668319961,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee Old Ben
dark choice,668319961,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
dark choice,668319961,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
W5 Dviak,538112955,0,0,0,JKL + JML (6%): JKL JMLS Jolee BS Old Ben
W5 Dviak,538112955,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
W5 Dviak,538112955,0,0,0,SLKR+Armorer 12%: SL Kylo The Armorer HYoda Daka Zombie
W5 Dviak,538112955,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
W5 Dviak,538112955,0,0,0,Seps (1%): Dooku Jango Nute GG Geo Spy
W5 Dviak,538112955,0,0,0,SEE P1 5%: SEE Malak DR Vader EP
W5 Dviak,538112955,0,0,0,JKR + Rey (7%): JKR Rey Resistance Hero Finn Resistance Hero Poe GAS
W5 Dviak,538112955,0,0,0,JMK (8%): JMK GK Ahsoka CAT JKA
Churro,825183536,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Churro,825183536,0,0,0,SEE P1 5%: SEE Malak DR Vader Darth Malgus
Churro,825183536,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Churro,825183536,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee Mace
Churro,825183536,0,0,0,Seps (1%): Dooku Jango Nute B1 GG
Churro,825183536,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Choomba,358678557,0,0,0,JKL + JML (6%): JKL JMLS JKR Jolee BS
Choomba,358678557,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Choomba,358678557,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Choomba,358678557,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Choomba,358678557,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Shenan,284374515,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Shenan,284374515,0,0,0,SEE P1 5%: SEE Malak Vader EP Darth Malgus
Shenan,284374515,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Shenan,284374515,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Shenan,284374515,0,0,0,Seps (1%): Dooku Jango B1 GG MagnaGuard
Shenan,284374515,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
LoneStar JediPirateKing,151955278,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
LoneStar JediPirateKing,151955278,0,0,0,SEE P1 5%: SEE Malak Vader EP Sidious
