Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Larlagar,696831282,0,0,0,Troopers: Veers Admiral Piett Moff Gideon Dark Trooper Range Trooper
Larlagar,696831282,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Larlagar,696831282,0,0,0,Dooku+Asajj: Dooku AV
Larlagar,696831282,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DickLickly,815337783,0,0,0,Troopers: Veers Admiral Piett Starck Dark Trooper Range Trooper
DickLickly,815337783,0,0,0,Dooku+Asajj: Dooku AV
DickLickly,815337783,1,0,1,Grievous: GG B2 G11 B1 Nute MagnaGuard
DickLickly,815337783,7,0,7,Geos: GBA G11 Poggle G11 Geo Soldier G11 Sun Fac G9 Geo Spy G11
lyt0506,678332117,0,0,0,Troopers: Veers Admiral Piett Starck Dark Trooper Range Trooper
lyt0506,678332117,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
lyt0506,678332117,0,0,0,Dooku+Asajj: Dooku AV
lyt0506,678332117,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
dark choice,668319961,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
dark choice,668319961,12,0,12,Troopers: Veers G11 Admiral Piett Starck G10 Dark Trooper G9 5* Range Trooper G6 5*
dark choice,668319961,1,0,1,Dooku+Asajj: Dooku G11 AV
dark choice,668319961,2,0,2,Geos: GBA G11 Poggle G11 Geo Soldier Sun Fac Geo Spy
ThomastheWankEngine,642554734,1,0,1,Troopers: Veers Admiral Piett Moff Gideon Dark Trooper Range Trooper G11
ThomastheWankEngine,642554734,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
ThomastheWankEngine,642554734,0,0,0,Dooku+Asajj: Dooku AV
ThomastheWankEngine,642554734,6,0,6,Geos: GBA G9 Poggle G10 Geo Soldier G11 Sun Fac Geo Spy
MY SPINACH PUFFS,851124652,0,0,0,Troopers: Veers Admiral Piett Starck Dark Trooper Range Trooper
MY SPINACH PUFFS,851124652,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
MY SPINACH PUFFS,851124652,0,0,0,Dooku+Asajj: Dooku AV
MY SPINACH PUFFS,851124652,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Choomba,358678557,0,0,0,Troopers: Veers Admiral Piett Starck Dark Trooper Range Trooper
Choomba,358678557,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Choomba,358678557,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Choomba,358678557,1,1,0,Dooku+Asajj: Dooku AV
Sakaradin,596159943,0,0,0,Troopers: Veers Admiral Piett Starck Dark Trooper Range Trooper
Sakaradin,596159943,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Sakaradin,596159943,0,0,0,Dooku+Asajj: Dooku AV
Sakaradin,596159943,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Djang0,976784988,0,0,0,Troopers: Veers Admiral Piett Moff Gideon Dark Trooper Range Trooper
Djang0,976784988,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Djang0,976784988,0,0,0,Dooku+Asajj: Dooku AV
Djang0,976784988,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
DooganDäzs,982253347,0,0,0,Troopers: Veers Admiral Piett Moff Gideon Dark Trooper Range Trooper
DooganDäzs,982253347,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
DooganDäzs,982253347,0,0,0,Dooku+Asajj: Dooku AV
DooganDäzs,982253347,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Robflat7,364735835,0,0,0,Troopers: Veers Admiral Piett Starck Dark Trooper Range Trooper
Robflat7,364735835,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Robflat7,364735835,0,0,0,Dooku+Asajj: Dooku AV
Robflat7,364735835,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
OllyQween,267837168,0,0,0,Troopers: Veers Admiral Piett Starck Dark Trooper Range Trooper
OllyQween,267837168,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
OllyQween,267837168,0,0,0,Dooku+Asajj: Dooku AV
OllyQween,267837168,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Stormryder,363699387,0,0,0,Grievous: GG B2 B1 Nute MagnaGuard
Stormryder,363699387,0,0,0,Dooku+Asajj: Dooku AV
Stormryder,363699387,0,0,0,Geos: GBA Poggle Geo Soldier Sun Fac Geo Spy
Stormryder,363699387,5,0,5,Troopers: Veers Admiral Piett Starck Dark Trooper Range Trooper G7
Frijolito93,685533978,0,0,0,Troopers: Veers Admiral Piett Starck Dark Trooper Range Trooper
Frijolito93,685533978,0,0,0,Grievous: GG B2 B1 Droideka MagnaGuard
Frijolito93,685533978,0,0,0,Dooku+Asajj: Dooku AV
Frijolito93,685533978,2,0,2,Geos: GBA Poggle G11 Geo Soldier G11 Sun Fac Geo Spy
