Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Churro,825183536,0,0,0,GAS Special: GAS Ahsoka
Churro,825183536,0,0,0,JKL: JKL HYoda GMY Jolee GK
Churro,825183536,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Churro,825183536,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Churro,825183536,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
W5 Dviak,538112955,0,0,0,GAS Special: GAS Ahsoka
W5 Dviak,538112955,0,0,0,JKL: JKL HYoda GMY Jolee GK
W5 Dviak,538112955,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
W5 Dviak,538112955,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
W5 Dviak,538112955,1,0,1,Finn: Finn RT Resistance Hero Finn Resistance Hero Poe Rey
W5 Dviak,538112955,4,0,4,ROLO: ROLO Cpt Solo Biggs Baze G12 Lando
Win More,928189196,0,0,0,GAS Special: GAS Ahsoka
Win More,928189196,0,0,0,JKL: JKL HYoda GMY Jolee GK
Win More,928189196,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Win More,928189196,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Win More,928189196,4,0,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
DooganDäzs,982253347,0,0,0,GAS Special: GAS Ahsoka
DooganDäzs,982253347,0,0,0,JKL: JKL HYoda GMY Jolee GK
DooganDäzs,982253347,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
DooganDäzs,982253347,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
DooganDäzs,982253347,1,0,1,Finn: Finn RT Resistance Hero Finn Resistance Hero Poe Rey
DooganDäzs,982253347,4,0,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
Luna Tuna,661356162,0,0,0,GAS Special: GAS Ahsoka
Luna Tuna,661356162,0,0,0,JKL: JKL HYoda GMY Jolee GK
Luna Tuna,661356162,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Luna Tuna,661356162,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
NΞKΘNΞΧU シ,656655975,0,0,0,GAS Special: GAS Ahsoka
NΞKΘNΞΧU シ,656655975,0,0,0,JKL: JKL HYoda GMY Jolee GK
NΞKΘNΞΧU シ,656655975,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
NΞKΘNΞΧU シ,656655975,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
NΞKΘNΞΧU シ,656655975,14,0,14,ROLO: ROLO Cpt Solo Leia G10 Baze G8 Lando
IronPika,416882975,0,0,0,GAS Special: GAS Ahsoka
IronPika,416882975,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
IronPika,416882975,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
IronPika,416882975,9,0,9,ROLO: ROLO Cpt Solo Leia Baze G7 Lando
IronPika,416882975,8,0,8,JKL: JKL HYoda GMY JKR G12 Jolee G12
SolarWarden,221738514,0,0,0,GAS Special: GAS Ahsoka
SolarWarden,221738514,0,0,0,JKL: JKL HYoda GMY Jolee GK
SolarWarden,221738514,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
SolarWarden,221738514,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
SolarWarden,221738514,1,0,1,Finn: Finn RT Resistance Hero Finn Resistance Hero Poe Rey
SolarWarden,221738514,4,0,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
PinkSy Snootles,453561971,0,0,0,GAS Special: GAS Ahsoka
PinkSy Snootles,453561971,0,0,0,JKL: JKL HYoda GMY Jolee GK
PinkSy Snootles,453561971,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
PinkSy Snootles,453561971,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
OllyQween,267837168,0,0,0,GAS Special: GAS Ahsoka
OllyQween,267837168,0,0,0,JKL: JKL HYoda GMY Jolee GK
OllyQween,267837168,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
OllyQween,267837168,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
OllyQween,267837168,1,0,1,Finn: Finn RT Resistance Hero Finn Resistance Hero Poe Rey
OllyQween,267837168,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Sandgoat,191343195,0,0,0,GAS Special: GAS Ahsoka
Sandgoat,191343195,0,0,0,JKL: JKL HYoda GMY Jolee GK
Sandgoat,191343195,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Sandgoat,191343195,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Sandgoat,191343195,18,0,18,Finn: Finn G11 RT G11 Resistance Hero Finn G12 Resistance Hero Poe G12 JTR
DarthRader,986257863,0,0,0,GAS Special: GAS Ahsoka
DarthRader,986257863,0,0,0,JKL: JKL HYoda GMY Jolee GK
DarthRader,986257863,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
DarthRader,986257863,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Robflat7,364735835,0,0,0,GAS Special: GAS Ahsoka
Robflat7,364735835,0,0,0,JKL: JKL HYoda GMY Jolee GK
Robflat7,364735835,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Robflat7,364735835,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Robflat7,364735835,17,0,17,Finn: Finn R1 RT G10 Resistance Hero Finn R1 Resistance Hero Poe G9 JTR
Robflat7,364735835,9,0,9,ROLO: ROLO Cpt Solo Leia Baze G7 Lando
Stormryder,363699387,0,0,0,GAS Special: GAS Ahsoka
Stormryder,363699387,0,0,0,JKL: JKL HYoda GMY Jolee GK
Stormryder,363699387,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Stormryder,363699387,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Stormryder,363699387,1,0,1,Finn: Finn RT Resistance Hero Finn Resistance Hero Poe Rey
Stormryder,363699387,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 6* Lando
lyt0506,678332117,0,0,0,GAS Special: GAS Ahsoka
lyt0506,678332117,0,0,0,JKL: JKL HYoda GMY Jolee GK
lyt0506,678332117,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
lyt0506,678332117,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
lyt0506,678332117,1,0,1,Finn: Finn RT Resistance Hero Finn Resistance Hero Poe Rey
lyt0506,678332117,7,0,7,ROLO: ROLO Cpt Solo Biggs Baze G9 Lando
JubJub,598926799,0,0,0,GAS Special: GAS Ahsoka
JubJub,598926799,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
JubJub,598926799,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
JubJub,598926799,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 5* Lando
JubJub,598926799,2,0,2,JKL: JKL HYoda GMY JKR R2 Jolee R2
MY SPINACH PUFFS,851124652,0,0,0,GAS Special: GAS Ahsoka
MY SPINACH PUFFS,851124652,0,0,0,JKL: JKL HYoda GMY JKR GK
MY SPINACH PUFFS,851124652,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
MY SPINACH PUFFS,851124652,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Choomba,358678557,0,0,0,GAS Special: GAS Ahsoka
Choomba,358678557,0,0,0,JKL: JKL HYoda GMY Jolee GK
Choomba,358678557,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Choomba,358678557,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Choomba,358678557,8,0,8,ROLO: ROLO Cpt Solo Leia Baze G8 Lando
Vitess,551746456,0,0,0,GAS Special: GAS Ahsoka
Vitess,551746456,0,0,0,JKL: JKL HYoda GMY JKR GK
Vitess,551746456,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Vitess,551746456,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Vadodi,341753365,0,0,0,GAS Special: GAS Ahsoka
Vadodi,341753365,0,0,0,JKL: JKL HYoda GMY Jolee GK
