Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
DooganDäzs,982253347,0,0,0,154181,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Vitess,551746456,0,0,0,147060,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MINI Vertigo,162795638,0,0,0,138206,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Shenan,284374515,0,0,0,145117,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Heathcliff,242813636,0,0,0,143310,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ThomastheWankEngine,642554734,2,2,0,145283,Shaak Ti Fives Rex Echo (501st) ARC Trooper
JubJub,598926799,0,0,0,143463,Shaak Ti Fives Rex Echo (501st) ARC Trooper
thedudesz,385349641,0,0,0,141014,Shaak Ti Fives Rex Echo (501st) ARC Trooper
OllyQween,267837168,0,0,0,141686,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Robflat7,364735835,0,0,0,142516,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ju'Ev,887524915,0,0,0,148551,Shaak Ti Fives Rex Echo (501st) ARC Trooper
PinkSy Snootles,453561971,0,0,0,136022,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DickLickly,815337783,0,0,0,152162,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Win More,928189196,0,0,0,145418,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Me,282951537,0,0,0,153071,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Choomba,358678557,0,0,0,139162,Shaak Ti Fives Rex Echo (501st) ARC Trooper
FrankDaArcher,336862624,0,0,0,144749,Shaak Ti Fives Rex Echo (501st) ARC Trooper
NΞKΘNΞΧU シ,656655975,0,0,0,146197,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tiberius,948842412,0,0,0,145076,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Richie,873783647,0,0,0,133756,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Djang0,976784988,0,0,0,142360,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Luna Tuna,661356162,0,0,0,150980,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mol,726788126,0,0,0,145929,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MINI Strategos,889667644,2,0,2,149105,Shaak Ti Fives Rex R3 Echo (501st) ARC Trooper
SolarWarden,221738514,2,0,2,145448,Shaak Ti Fives R4 Rex R4 Echo (501st) ARC Trooper
Sandgoat,191343195,0,0,0,151681,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Xavier1212,319283538,0,0,0,145972,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Nathanx15,779648964,44,0,44,77094,Shaak Ti G8 Fives G9 Rex G12 Echo (501st) G9 ARC Trooper G8
LoneStar JediPirateKing,151955278,0,0,0,138403,Shaak Ti Fives Rex Echo (501st) ARC Trooper
IronPika,416882975,0,0,0,138186,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Churro,825183536,0,0,0,151954,Shaak Ti Fives Rex Echo (501st) ARC Trooper
HEK3,429258464,0,0,0,155204,Shaak Ti Fives Rex Echo (501st) ARC Trooper
danielooo,859116396,0,0,0,139632,Shaak Ti Fives Rex Echo (501st) ARC Trooper
lyt0506,678332117,0,0,0,150478,Shaak Ti Fives Rex Echo (501st) ARC Trooper
GhostCappy,589922992,0,0,0,147291,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Larlagar,696831282,0,0,0,148251,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Stormryder,363699387,0,0,0,152768,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MY SPINACH PUFFS,851124652,0,0,0,152604,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Douge Fresh,374765921,0,0,0,155325,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Kick,346486265,0,0,0,142636,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Macgruber,911786492,1,0,1,135531,Shaak Ti Fives Rex R4 Echo (501st) ARC Trooper
Vadodi,341753365,0,0,0,151423,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Frijolito93,685533978,0,0,0,136831,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Sakaradin,596159943,0,0,0,148158,Shaak Ti Fives Rex Echo (501st) ARC Trooper
W5 Dviak,538112955,0,0,0,158147,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Exile Vex,628696296,0,0,0,138851,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Dhraan,398525527,0,0,0,154844,Shaak Ti Fives Rex Echo (501st) ARC Trooper
BigDustbinlid,582651625,2,0,2,145931,Shaak Ti Fives R4 Rex R4 Echo (501st) ARC Trooper
DarthRader,986257863,0,0,0,149151,Shaak Ti Fives Rex Echo (501st) ARC Trooper
dark choice,668319961,0,0,0,148160,Shaak Ti Fives Rex Echo (501st) ARC Trooper
