Player,Offense,Defense,GP,Name,Squad,Viable
"Ronbonjovi",0,1,131091,padme,"zzPadme zGK zJKA zAhsoka zzC-3PO",1
"Ronbonjovi",1,0,143127,CLS,"zzzCLS zHan zzChewbacca zzR2-D2 Old Ben",1
"Ronbonjovi",,,414582,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Ronbonjovi",,,390919,Negotiator,"Negotiator 5* HT Anakin's Eta-2 Starfighter, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Clone Sergeant's ARC-170, Plo Koon's Jedi Starfighter, Rex's ARC-170",1
"Ronbonjovi",0,1,93304,DR,"zzzDR HK-47 BSF Sith Marauder, Thrawn G9",1
"Ronbonjovi",0,1,87198,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Ronbonjovi",0,1,107096,Grievous,"zzGG B2 zB1 zDroideka MagnaGuard",1
"Ronbonjovi",,,105691,Mon Mothma,"zMon Mothma, Cara Dune, Lando Wedge Biggs",1
"Ronbonjovi",1,1,134384,Revan Offense,"zzzJKR zGMY zBS zJolee zzHYoda",1
"Ronbonjovi",1,1,90989,Ewoks,"zChirpa Elder Paploo zWicket zLogray",1
"Ronbonjovi",0,1,90974,BH,"zBossk Dengar Cad IG-88 Boba",1
"Ronbonjovi",1,1,91498,Carth,"zCarth Onasi, zMission zZaalbar Juhani zCanderous",1
"Ronbonjovi",1,1,93548,zEP,"zEP zzzVader Tarkin TFP G9, Traya G8",1
"Ronbonjovi",0,1,72045,Phoenix,"Hera G8, Zeb G8, Kanan G8, Ezra Chopper G9",1
"Ronbonjovi",,,48059,Phasma,"Phasma G7, FOTP G9, FOSFTP 5* G5, FOST 2* G6, Kylo 5* G6",0
"Ronbonjovi",,,255760,Malevolence,"Malevolence Hyena Bomber 5*, Vulture Droid 4*, Sun Fac SF, Soldier SF, Spy SF",0
"Ronbonjovi",,,64941,Nute-Wat,"Nute G7, zDooku G9, Wat Tambor G7, Jango G7, Nest 6* G6",0
"Ronbonjovi",1,1,60000,NS,"MT 6* G6, zAV Daka G6, Zombie G5, Spirit G4",0
"Ronbonjovi",1,0,84180,ShaakClones,"zzShaak Ti, Rex Echo (501st) G9, Fives G9, Clone Sergeant",0
"Ronbonjovi",1,0,55912,Troopers,"Veers 6* G7, Starck 6* G6, Magma G7, Stormtrooper G8, Snowtrooper G7",0
"Tazzy",1,1,117752,NS,"zzMT zzAV zDaka Zombie Spirit",1
