Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"Drig Nast",243556496,5373333,3029748,2343585,129,-262,356,255,1475038,1554710,122,5,171,0,180,24,39,64,99,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,17,11,8
"Tazzy",237916523,4786669,2938080,1848589,158,96,40,122,1691297,1246783,62,2,53,0,183,4,14,34,67,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,12,8,9
"Dblade21",716657494,8108788,4734764,3374024,140,54,274,434,2676398,2058366,178,2,535,5,253,75,104,141,176,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,25,11,12
"VB Sixx",896226812,4587199,2729917,1857282,146,-25,87,185,1488766,1241151,77,2,111,0,178,13,26,37,58,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,13,10,6
"SkyDaddy69420",263849259,4203191,2414871,1788320,135,26,157,252,1348373,1066498,76,0,125,1,167,14,26,55,71,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,12,10,6
"Alvin Aaron",651532665,2963261,1788509,1174752,152,-56,22,116,961940,826569,11,0,32,0,120,2,9,19,38,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,3,2
"LudicrousDarth Helmet",753824854,4534120,2742360,1791760,153,27,149,183,1531398,1210962,77,2,132,0,152,20,22,35,68,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,14,11,8
"BigLarry",894945627,1977613,1115440,862173,129,-644,80,155,437525,677915,17,2,39,0,68,6,7,16,23,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5,4,1
"Phaser Phett",979926639,4963277,2944120,2019157,145,22,166,277,1640444,1303676,105,3,163,0,175,20,39,66,99,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,15,9,8
"Sel Cee",129412412,5255436,3018451,2236985,134,233,235,347,1839769,1178682,116,3,214,1,203,29,54,86,102,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,13,10,5
"Jedibookworm13",783853837,7179006,4024653,3154353,127,26,211,404,2246994,1777659,132,5,462,2,249,71,87,111,137,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,25,11,11
"RedSea",972629722,6148488,3646031,2502457,145,145,309,328,2142606,1503425,147,4,290,1,217,39,59,85,114,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,18,13,9
"0748",369747781,3820458,2115391,1705067,124,-117,255,300,1105573,1009818,68,2,104,0,139,8,38,56,89,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,16,12,8
"Mini Macgruber",296186527,5275353,3117685,2157668,144,-11,295,382,1711042,1406643,83,2,320,0,185,50,60,78,98,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,16,10,9
"Xekssit",224134779,1837536,1137762,699774,162,-111,35,126,596466,541296,17,0,16,0,89,2,5,15,27,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2
"MINI MinyMoe",636393757,2185434,1193291,992143,120,-214,100,125,595127,598164,13,1,17,0,75,3,7,17,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0
"Goool Nagui",822818433,4029801,2365261,1664540,142,136,126,169,1385093,980168,59,3,92,0,153,12,18,32,64,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,11,9,5
"BatDad",769562836,4569383,2637936,1931447,136,-212,75,203,1316941,1320995,72,5,86,0,179,13,19,57,73,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,13,6,5
"Obi",282135998,4794437,2802174,1992263,140,-117,82,259,1464693,1337481,80,4,156,0,186,15,39,54,80,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,14,8,6
"STI Ceth Senpai",758683694,9070629,5391690,3678939,146,-39,550,565,2921616,2470074,202,5,846,6,281,118,165,179,196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,10,11
"SonofaShepherd",836457952,4908822,2766903,2141919,129,40,115,190,1554448,1212455,97,1,88,0,210,4,30,46,69,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,14,11,6
"BigFatMario",599857977,5702144,3475332,2226812,156,31,224,320,1944655,1530677,125,3,250,2,210,30,54,79,97,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,17,7,6
"Sjur eido",214363494,3482523,2166829,1315694,164,264,32,100,1337423,829406,30,4,25,0,169,3,5,25,44,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6
"stillTRE",936553847,8939167,5314769,3624398,146,-128,519,566,2763044,2551725,200,2,843,6,280,121,158,180,192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,9,11
"Lorrail Ward",941633826,2633191,1590644,1042547,152,439,194,171,1050684,539960,34,0,56,0,122,7,13,21,40,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2
"Havic03",937215723,7032069,4126175,2905894,141,-104,159,358,2169503,1956672,132,0,361,2,226,41,76,104,134,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,18,10,9
"MINI Runningbaldman",353538441,5857335,3323296,2534039,131,-107,33,305,1745572,1577724,147,1,205,1,223,32,44,94,139,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,23,12,12
"Jrain Ciresc",895651238,2257694,1391827,865867,160,-253,0,181,680580,711247,16,0,60,0,106,7,12,17,25,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,3,2
"Grump",338478462,3997900,2527469,1470431,171,313,178,369,1590532,936937,73,2,229,1,169,33,46,56,66,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,10,6,3
"MINI Macgruber Xery",137915146,9206369,5528041,3678328,150,-18,387,581,3024343,2503698,198,4,942,6,273,152,164,183,201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,9,11
"Monkey326",265744789,6281639,3705176,2576463,143,108,91,233,2143972,1561204,146,2,147,0,234,18,34,83,120,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,18,12,8
"MangryGamer",826671465,5309123,2830802,2478321,114,-7,127,253,1556255,1274547,84,0,197,0,198,28,38,57,86,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,20,13,8
"lucio",145958295,4602849,2595395,2007454,129,-38,204,330,1407324,1188071,91,4,211,1,191,28,43,67,80,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,14,10,6
"CheezyPickens",424263872,4998505,2990162,2008343,148,-215,103,344,1490205,1499957,90,2,261,2,181,35,53,67,85,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,12,8,6
"BigAl37",559355763,5175309,3107461,2067848,150,73,238,309,1771042,1336419,100,5,216,1,205,23,52,65,94,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,17,9,8
"Other Hawk",958641287,5556083,3137579,2418504,129,-144,156,359,1619228,1518351,94,3,310,2,207,38,66,72,110,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,18,10,8
"Leon Puck",165546652,5459295,3340073,2119222,157,138,71,182,1957113,1382960,91,4,97,0,216,8,26,54,83,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,17,10,9
"Ronbonjovi",111396444,4694734,2766481,1928253,143,298,90,197,1730376,1036105,63,0,133,1,182,16,29,37,73,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,14,10,5
"Comrade",399264729,6416179,3844320,2571859,149,-163,450,519,1965813,1878507,134,3,547,5,206,74,105,119,137,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,20,5,9
"MiztaChocolate",177242788,6264180,3830449,2433731,157,222,112,296,2323740,1506709,153,4,229,2,218,28,53,87,113,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,17,11,7
"Bubbs1873",177526116,5562020,3277352,2284668,143,-104,286,338,1723272,1554080,118,4,287,2,192,36,57,74,94,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,17,7,8
"MangryTheHutt",842625749,3993500,2265852,1727648,131,237,97,206,1383089,882763,56,0,103,0,166,7,23,39,63,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,13,7,8
"Bootu",755437158,4336747,2474589,1862158,132,450,553,356,1640902,833687,93,6,227,1,144,32,47,62,75,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,14,8,5
"Blank",125927674,2570362,1481686,1088676,136,-46,47,103,800377,681309,17,1,13,0,91,1,5,19,33,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2
"Litnate101",282848736,2432434,1316948,1115486,118,-349,91,113,612707,704241,21,0,38,0,92,5,8,12,33,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1
