Player,Offense,Defense,GP,Name,Squad,Viable
"Eduardo Adras",,,173465,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Eduardo Adras",,,171430,LV,"zzzzzzLord Vader, zzAdmiral Piett, zzzMaul zRG zzzVader",1
"Eduardo Adras",,,165428,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zDooku",1
"Eduardo Adras",1,1,163823,GL Rey,"zzzzzzRey zzzJTR zzR2-D2 zResistance Hero Poe, zResistance Hero Finn",1
"Eduardo Adras",,,583773,Executor,"Executor 5* HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Tie Adv, TIE Reaper",1
"Eduardo Adras",,,163260,JMLS,"zzzzzzJMLS zzJKL zzHYoda zzOld Ben, zEzra",1
"Eduardo Adras",,,514730,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"Eduardo Adras",,,321270,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"Eduardo Adras",,,407018,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"Eduardo Adras",0,1,102445,Geonosians,"zGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"Eduardo Adras",0,1,137433,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"Eduardo Adras",1,0,132658,Traya,"zzTraya zDN zSion Sith Empire Trooper, zThrawn",1
"Eduardo Adras",,,135221,Disintegration,"Aurra G9, zzGreef Karga, zBoba zzBossk zThe Mandalorian",1
"Eduardo Adras",1,0,153816,CLS,"zzzCLS zHan zzChewbacca zChewpio zzC-3PO",1
"Eduardo Adras",,,115437,Mon Mothma,"zzMon Mothma, Wedge Lando Biggs zCara Dune",1
"Eduardo Adras",1,1,140586,Revan Offense,"zzzJKR zGMY zBS zJolee zJKA",1
"Eduardo Adras",1,1,83804,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"Eduardo Adras",1,0,151253,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"Eduardo Adras",1,1,82559,Carth,"Carth Onasi, Mission Zaalbar Juhani Canderous G8",1
"Eduardo Adras",0,1,141801,BH,"zzJango zZam zFennec Shand, Dengar zBoba Fett, Scion of Jango",1
"Eduardo Adras",1,0,122659,Troopers,"zVeers zStarck zMoff Gideon, DT zDark Trooper",1
"Eduardo Adras",0,1,124432,FO,"zzKRU zKylo zHux FOO FOE G8",1
"Eduardo Adras",,,131376,Bad Batch,"zHunter zEcho zzOmega zTech zWrecker",1
"Eduardo Adras",1,0,127035,EP (Counter, Rebel),"zzEP Shoretrooper Krennic zzWampa Range Trooper",1
"Eduardo Adras",1,0,20079,NestSolo (Counter),"zNest",1
"Eduardo Adras",0,1,67051,Phoenix,"Hera G8, Zeb G7, Kanan G7, Sabine G7, Chopper G7",0
"Eduardo Adras",1,1,62554,Rogue1,"Jyn G4, Chirrut G7, Baze G7, Bistan G7, Scarif G7",0
"Eduardo Adras",1,0,69891,Jawas,"Nebit G8, Jawa Engineer G7, Jawa Scavenger G7, Jawa G7, Dathcha",0
"MINI D Rizzo",,,171984,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"MINI D Rizzo",,,120715,Phasma,"zPhasma FOTP FOSFTP zFOST zKylo",1
"MINI D Rizzo",1,1,154637,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zThrawn",1
"MINI D Rizzo",1,1,99077,NS,"zzMT zzAV zDaka Zombie Spirit",1
"MINI D Rizzo",,,571765,Executor,"Executor HT Razor Crest, Xanadu Blood, Slave I, IG-2000 Imperial TIE Fighter, Tie Adv",1
"MINI D Rizzo",0,1,124049,DRMalak,"zzzDR HK-47 zBSF zzMalak Sith Empire Trooper",1
"MINI D Rizzo",,,512029,Negotiator,"Negotiator BTL-B Y-wing Starfighter, Anakin's Eta-2 Starfighter, Rex's ARC-170, Umbaran Starfighter, Ahsoka Tano's Jedi Starfighter, Plo Koon's Jedi Starfighter, Clone Sergeant's ARC-170",1
"MINI D Rizzo",1,0,147590,CLS,"zzzCLS zHan zChewbacca zzR2-D2 zzOld Ben",1
"MINI D Rizzo",,,297985,Malevolence,"Malevolence Hyena Bomber, Vulture Droid, Sun Fac SF, Soldier SF, Spy SF",1
"MINI D Rizzo",,,398362,HansMF,"Home One, Han's MF, Rebel Y-wing, Bistan's U-wing, Phantom Biggs X-wing, Cassian's U-wing, Wedge X-wing",1
"MINI D Rizzo",0,1,93127,Geonosians,"zzGBA Sun Fac, Geo Soldier, Geo Spy, Poggle",1
"MINI D Rizzo",0,1,124049,Grievous,"zzGG zB2 zB1 MagnaGuard zNute",1
"MINI D Rizzo",1,0,114960,Traya,"zzTraya DN zSion zDooku zzEP",1
"MINI D Rizzo",1,1,148893,Revan Offense,"zzzJKR zGMY zzHYoda zJolee zJKA",1
"MINI D Rizzo",1,1,82516,Ewoks,"zChirpa Elder Paploo Wicket Logray",1
"MINI D Rizzo",1,0,144947,ShaakClones,"zzShaak Ti, zRex zEcho (501st), zzFives zARC Trooper",1
"MINI D Rizzo",0,1,143964,BH,"zzBossk zzJango Cad Dengar zBoba",1
"MINI D Rizzo",1,1,86918,Carth,"zCarth Onasi, zMission Zaalbar Juhani G8, zCanderous",1
"MINI D Rizzo",1,0,122160,Troopers,"zVeers zStarck zzAdmiral Piett, Range Trooper, zDark Trooper",1
"MINI D Rizzo",0,1,62741,Phoenix,"Hera G8, Zeb G8, Kanan G8, Sabine G8, Ezra G8",1
"MINI D Rizzo",1,0,18612,NestSolo (Counter),"zNest",1
"MINI D Rizzo",,,107499,Mon Mothma,"zzMon Mothma, Wedge Lando Biggs Cara Dune G9",0
"MINI D Rizzo",1,1,53293,Rogue1,"Jyn G8, Chirrut 6* G8, Baze G8, K-2SO G8, Cassian G8",0
"Reaver",,,174152,JMK,"zzzzzzJMK zAhsoka zzzCAT zzzzGAS zGK",1
"Reaver",,,123107,Phasma,"zPhasma zFOTP FOSFTP zFOST zKylo",1
"Reaver",1,1,159378,SL Kylo,"zzzzzzSL Kylo, zSith Trooper, zHux zzKRU zzThrawn",1
"Reaver",,,165748,SEE,"zzzzzzSEE zBSF zzMalak zzzDR zzzVader",1
