Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,LS Toon GP,DS Toon GP,Zetas,Omicrons,Relic Levels,GLs,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Lord Vader,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"MINI Regal Eagle",853446878,8948920,5211625,3737295,139,-17,566,487,2852406,2359219,217,4,696,6,280,98,137,160,182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,10,9
"Reaver",465349416,8214299,4785556,3428743,139,-41,511,452,2591740,2193816,181,4,544,4,262,76,113,150,176,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,25,8,10
"Trexx",226485475,9568713,5726819,3841894,149,-22,380,604,3127827,2598992,222,6,899,6,288,125,192,207,220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,10,11
"Drew Crobar",524874271,9066262,5406456,3659806,147,-29,305,509,2943493,2462963,212,6,721,5,279,100,136,182,212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,28,10,11
"jascrue",184951318,8994895,5395920,3598975,149,7,374,564,2987477,2408443,206,4,846,5,281,134,154,185,201,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,29,11,12
"JimmyJames",262936149,9076064,5309404,3766660,140,-18,433,556,2905237,2404167,198,4,842,6,270,111,159,178,192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,10,9
"Jayson Bourne",838351578,8243178,4826287,3416891,141,-31,499,476,2624680,2201607,193,4,647,6,267,93,122,141,170,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,9,10
"Swgoh suxxxxx",194332578,9470020,5582928,3887092,143,-75,734,551,2975862,2607066,223,5,891,6,283,134,157,187,204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,11,11
"MINI D Rizzo",728562461,6432217,3610405,2821812,127,1,329,397,1993548,1616857,127,3,403,3,233,59,77,98,114,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,21,10,10
"ImperialCommanderShepard",297277437,7279127,4176997,3102130,134,32,857,475,2337903,1839094,144,2,450,3,237,62,112,144,157,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,20,8,6
"oh poodoo",713329634,8716235,5092600,3623635,140,-74,561,543,2715803,2376797,211,3,723,6,277,99,156,173,185,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,10,10
